Name,auction_value
Triston McKenzie,-2.520269583406602e+16
Randy Vásquez,-2.5022006491020388e+16
Beau Brieske,-2.4752573481322268e+16
Alec Marsh,-2.4602843931512236e+16
Johan Oviedo,-2.4427623701065084e+16
Tomoyuki Sugano,-2.434095793634131e+16
Zack Littell,-2.4233966422776028e+16
Hayden Birdsong,-2.404044007479637e+16
Reid Detmers,-2.391656036326151e+16
Jack Leiter,-2.3700161149576988e+16
Yariel Rodríguez,-2.3456181087131164e+16
Lucas Giolito,-2.334791503640389e+16
Luis Garcia,-2.3236334481001584e+16
Michael Lorenzen,-2.232316891425874e+16
Jackson Jobe,-2.2167787344737772e+16
Alex Cobb,-2.2028438300739376e+16
Bailey Falter,-2.1707120720490484e+16
Kris Bubic,-2.1244722814457704e+16
Drew Rasmussen,-2.120305794253826e+16
Joey Estes,-2.11796132699616e+16
Yimi García,-2.087184010134565e+16
Kyle Hendricks,-2.0807953898438824e+16
David Festa,-2.0536331382100676e+16
Tony Gonsolin,-2.0266858223475964e+16
Antonio Senzatela,-2.01072847298817e+16
Justin Anderson,-1.9945415650281184e+16
Rhett Lowder,-1.9787545964334524e+16
Matt Waldron,-1.972231313337365e+16
Michael Soroka,-1.9509799480053652e+16
Chris Paddack,-1.9308564864410136e+16
A.J. Puk,-1.8782679571552012e+16
Grant Holmes,-1.85428447571411e+16
Aaron Ashby,-1.842486571961759e+16
Blake Treinen,-1.837951180712058e+16
Steven Matz,-1.83567985246836e+16
Cade Cavalli,-1.8285407811231344e+16
Trevor Williams,-1.8128514704739536e+16
Seth Halvorsen,-1.773881691722698e+16
Mitch Spence,-1.7582341387634628e+16
Jose A. Ferrer,-1.7452894153100576e+16
Joey Cantillo,-1.7374292233183786e+16
Eury Pérez,-1.7122031193010268e+16
Evan Phillips,-1.7091992468664836e+16
Bubba Chandler,-1.7030804644008548e+16
Edwin Uceta,-1.677737067635016e+16
Hayden Wesneski,-1.653579650710456e+16
Shane Bieber,-1.6301950734219852e+16
Nick Nastrini,-1.6255437978464684e+16
DL Hall,-1.614539912664105e+16
Quinn Mathews,-1.6068812732709744e+16
Cade Povich,-1.5870628843945844e+16
Marcus Stroman,-1.5842186387574372e+16
Robert Garcia,-1.5796047300712986e+16
Jordan Montgomery,-1.5331907557208388e+16
Ian Anderson,-1.5113136811928954e+16
Jordan Wicks,-1.482163959971642e+16
Griffin Jax,-1.4747596816064074e+16
Camilo Doval,-1.4553317473545268e+16
Bobby Miller,-1.436352375777275e+16
Paul Blackburn,-1.3990121906682322e+16
Valente Bellozo,-1.3783590130034704e+16
Drew Thorpe,-1.3746632696899756e+16
Jake Bloss,-1.3519467929265678e+16
Omar Cruz,-1.3373346939775718e+16
Jesus Tinoco,-1.334553369077231e+16
Jason Foley,-1.3023627089043034e+16
Nate Pearson,-1.2751190673261882e+16
Kyle Wright,-1.27209162003708e+16
AJ Smith-Shawver,-1.23713785747801e+16
Chase Dollander,-1.220223508306856e+16
Tony Santillan,-1.1985644586469744e+16
Luke Weaver,-1.1846825958000472e+16
Victor Vodnik,-1.1735484950299852e+16
Jeremiah Estrada,-1.1595308295994854e+16
Bryse Wilson,-1.1586628715032606e+16
Griffin Canning,-1.155109138200581e+16
Cesar Rojas,-1.1397284323629472e+16
Caden Dana,-1.133539296203373e+16
Robert Stephenson,-1.120533860793673e+16
Joe Boyle,-1.1201291847466062e+16
Lance McCullers Jr.,-1.108515760650059e+16
Luis Peralta,-1.099576709939853e+16
Garrett Cleavinger,-1.0970860449105848e+16
Emilio Pagán,-1.085755172620795e+16
Anthony Bender,-1.0739013488154048e+16
Estarlin Cruz,-1.0686295024222338e+16
Andrew Painter,-1.0670342103465142e+16
Adam Mazur,-1.0546206823069484e+16
Jacob Misiorowski,-1.049809012414498e+16
Pierce Johnson,-1.0322721945231226e+16
Jovi Galvez,-1.0294752994985618e+16
Bryan Abreu,-1.0264485927798304e+16
Fraser Ellard,-1.0222999697100186e+16
Adrián Delgado,-1.0113453816686108e+16
Jhon Cabral,-9889601716047840.0
Raudy Rivera,-9879938708972258.0
Alex Vesia,-9771872758555936.0
Federik Jimenez,-9727510735969968.0
Jonas Uzcategui,-9696443749659308.0
José Alvarado,-9693541602846956.0
Hans Crouse,-9600547138526486.0
Keider Montero,-9545910639919408.0
Kenyi Perez,-9494391268464708.0
Cristofer Soriano,-9366362669040680.0
J.T. Ginn,-9329349928814572.0
Kelvin Carmona,-9309064320053586.0
Nelfri Payano,-9291318449851310.0
Alvaro Benua,-9289877520086878.0
