Name
Austin Riley
Garrett Crochet
Jackson Merrill
Tarik Skubal
Junior Caminero
Elly De La Cruz
Gunnar Henderson
Ronald Acuña Jr.
Matt Olson
Logan Webb
Zac Gallen
Riley Greene
Colt Keith
Freddie Freeman
Corbin Carroll
Cole Ragans
