Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,FPTS,FPTS/G,SPTS,SPTS/G,NameASCII,PlayerId,MLBAMID,HR_z,R_z,RBI_z,SB_z,OBP_z,PA_z,total_z,HR_contribution,R_contribution,RBI_contribution,SB_contribution,OBP_contribution,PA_contribution,value_above_replacement,dollar_value,Position,W,L,QS,ERA,GS,SV,HLD,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,FPTS/IP,SPTS/IP,RA9-WAR,QS_z,SV_z,HLD_z,ERA_z,WHIP_z,IP_z,QS_contribution,SV_contribution,HLD_contribution,ERA_contribution,WHIP_contribution,IP_contribution
Aaron Judge,NYY,159,686.0,559.0,152,79.0,25.0,1.0,48,111,117.0,115,16.0,178,7,5.0,1.0,,8.0,2.0,0.271946,0.1673,0.259639,0.644357,0.399216,0.575882,0.407445,0.975099,0.303936,3.66913,0.30838,0.0984312,-0.692624,133.951,53.7039,170.39,-0.594193,0.411156,54.65648609399796,-7.338844001293182,7.24863,3.640000104904175,,,,1197.2,7.529559748,1197.2,7.529559748,Aaron Judge,15640,592450,5.01597688580452,2.455085659608215,2.7632214804218136,0.1723502724762516,4.8145453852068885,1.6146467148549375,16.835826398372628,1.077,0.527,0.593,0.037,1.034,0.347,12.137273951710213,54.9,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shohei Ohtani,LAD,154,665.0,571.0,160,84.0,29.0,5.0,42,119,101.0,82,11.0,153,5,4.0,3.0,,33.0,8.0,0.280078,0.1236,0.230658,0.535857,0.373467,0.566131,0.393796,0.939599,0.286053,6.76264,0.311379,0.4104,1.94516,122.545,44.7546,156.417,2.35556,0.0,47.2189028263092,-16.625,5.44677,1.399999976158142,,,,1133.7,7.361688311,1133.7,7.361688311,Shohei Ohtani,19755,660271,4.218604331118682,2.7246981701232325,2.21036256519334,2.5521439147298106,3.4068693225085056,1.5219164989094884,16.63459480258306,0.906,0.585,0.475,0.548,0.731,0.327,11.936042355920645,54.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Soto,NYM,159,686.0,546.0,154,88.0,28.0,2.0,36,115,98.0,130,5.0,114,4,5.0,2.0,,9.0,3.0,0.282094,0.1893,0.165975,1.14053,0.420772,0.53798,0.409738,0.958752,0.255886,4.31205,0.295337,-1.6818,-1.18844,135.217,54.97,168.962,-2.87024,-4.2863,53.70103120803833,-12.63630437850952,6.6004,8.079999923706055,,,,1158.1,7.283647798,1158.1,7.283647798,Juan Soto,20123,665742,3.421231776432844,2.589891914865724,2.1067015185880016,0.26754201816639395,5.992993682520424,1.6146467148549375,15.993007625428326,0.735,0.556,0.452,0.057,1.287,0.347,11.294455178765912,51.2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Witt Jr.,KCR,159,686.0,622.0,184,109.0,36.0,8.0,31,109,97.0,51,5.0,107,7,5.0,2.0,,36.0,11.0,0.295927,0.074,0.155704,0.475261,0.353283,0.529766,0.374121,0.883049,0.233839,7.29197,0.313054,1.91994,1.53041,115.552,35.3047,142.487,3.45035,5.20944,36.79927706718445,12.559444427490234,7.45943,1.6799999475479126,,,,1061.4,6.675471698,1061.4,6.675471698,Bobby Witt Jr.,25764,677951,2.7567546475279787,2.387682531979461,2.072147836386222,2.8377191518002376,2.3034271053542823,1.6146467148549375,13.97237798790312,0.592,0.513,0.445,0.609,0.495,0.347,9.273825541240704,42.2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Acuña Jr.,ATL,131,567.0,490.0,143,89.0,26.0,2.0,26,98,70.0,63,2.0,99,8,3.0,2.0,,43.0,10.0,0.291942,0.1119,0.174924,0.639706,0.379756,0.51093,0.382909,0.890686,0.218988,6.83134,0.318853,1.355,3.35824,99.5174,33.1909,146.198,4.71324,-1.95827,36.03644227981568,-8.433271408081055,4.80085,31.36000061035156,,,,908.7,6.936641221,908.7,6.936641221,Ronald Acuna Jr.,18401,660670,2.092277518623114,2.0169653300213115,1.1391984169381735,3.5040613716312343,3.7506836360084512,1.0891754911640583,13.592361764386343,0.449,0.433,0.245,0.752,0.805,0.234,8.893809317723928,40.5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Tucker,CHC,156,672.0,581.0,161,95.0,33.0,2.0,32,102,95.0,81,6.0,105,3,5.0,2.0,,21.0,4.0,0.277002,0.1212,0.155643,0.778706,0.36657,0.503651,0.371586,0.870222,0.22665,5.23615,0.287804,0.915494,1.07525,111.822,33.2129,142.315,1.99074,-1.31866,35.99424147605896,-9.91865873336792,5.0042,7.679999828338623,,,,1009.2,6.469230769,1009.2,6.469230769,Kyle Tucker,18345,663656,2.8896500733089514,2.15177158527882,2.0030404719826627,1.4098429664481023,3.0298161629904383,1.5528265708913047,13.036947830900282,0.62,0.462,0.43,0.303,0.651,0.333,8.338395384237867,38.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Tatis Jr.,SDP,157,679.0,607.0,170,96.0,34.0,2.0,38,107,101.0,58,0.0,142,7,4.0,2.0,,19.0,5.0,0.279673,0.0847001,0.208711,0.405826,0.346962,0.530387,0.374349,0.877349,0.250714,5.10398,0.304776,1.29483,0.689686,114.497,35.0692,145.306,1.98452,2.67376,38.77106785774231,-4.801244020462036,5.84358,10.119999885559082,,,,1029.3,6.556050955,1029.3,6.556050955,Fernando Tatis Jr.,19709,665487,3.6870226279947897,2.3202794043507065,2.21036256519334,1.2194594750678176,1.9578633789060127,1.5837366428731212,12.978724094385788,0.792,0.498,0.475,0.262,0.42,0.34,8.280171647723373,37.8,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corbin Carroll,ARI,157,679.0,591.0,155,92.0,27.0,11.0,26,106,81.0,71,1.0,125,10,4.0,3.0,,41.0,9.0,0.263053,0.1048,0.184324,0.568564,0.350045,0.474629,0.355797,0.824674,0.211576,8.1854,0.292224,2.64205,3.32021,104.359,24.9305,127.508,5.96226,2.08472,28.297367572784424,-4.590275764465332,4.78367,10.239999771118164,,,,958.1,6.10254777,958.1,6.10254777,Corbin Carroll,25878,682998,2.092277518623114,2.2865778405363293,1.5192889211577487,3.3136778802509497,2.1264083826459292,1.5837366428731212,12.921967186087192,0.449,0.491,0.326,0.711,0.457,0.34,8.223414739424777,37.5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Ramírez,CLE,156,672.0,600.0,168,97.0,37.0,3.0,31,94,100.0,63,15.0,82,4,5.0,1.0,,31.0,8.0,0.279381,0.0935,0.121931,0.766824,0.349142,0.503388,0.357947,0.85253,0.224008,5.57292,0.278195,1.08035,1.98295,104.445,25.8362,136.821,3.0633,-0.766357,31.375588417053223,1.0336428880691528,5.66073,5.039999961853027,,,,994.1,6.372435897,994.1,6.372435897,Jose Ramirez,13510,608070,2.7567546475279787,1.8821590747638028,2.1758088829915607,2.361760423349526,2.077042136010463,1.5528265708913047,12.806351735534637,0.592,0.404,0.467,0.507,0.446,0.333,8.107799288872222,37.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elly De La Cruz,CIN,156,672.0,597.0,151,87.0,31.0,7.0,26,99,83.0,63,2.0,195,5,4.0,2.0,,54.0,15.0,0.252676,0.0938,0.289547,0.323955,0.327286,0.459062,0.338219,0.786348,0.206386,7.95439,0.327531,0.718502,3.62045,93.7752,15.166,110.837,4.33895,4.37426,13.047176361083984,11.424258708953856,4.83853,3.9600000381469727,,,,887.4,5.688461538,887.4,5.688461538,Elly De La Cruz,26668,682829,2.092277518623114,2.0506668938356887,1.5883962855613079,4.5511705742228,0.8821930923064046,1.5528265708913047,12.717530935440621,0.449,0.44,0.341,0.977,0.189,0.333,8.018978488778206,36.6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnar Henderson,BAL,157,679.0,592.0,162,93.0,30.0,5.0,34,107,90.0,74,1.0,145,6,4.0,3.0,,18.0,4.0,0.274024,0.1091,0.213373,0.51131,0.35842,0.514591,0.373853,0.873011,0.240567,5.94105,0.307322,1.60597,0.382844,114.226,34.7977,149.391,1.98881,-1.77463,40.361274003982544,5.500365734100342,7.07416,5.800000190734863,,,,1013.3,6.454140127,1013.3,6.454140127,Gunnar Henderson,26289,683002,3.1554409248708977,2.3202794043507065,1.8302720609737648,1.1242677293776753,2.5842625527146295,1.5837366428731212,12.598259315160794,0.677,0.498,0.393,0.241,0.555,0.34,7.899706868498379,36.1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir Guerrero Jr.,TOR,159,686.0,602.0,179,109.0,35.0,1.0,34,98,107.0,71,9.0,99,7,5.0,1.0,,5.0,2.0,0.297052,0.1039,0.144026,0.721396,0.375076,0.529062,0.38353,0.904138,0.23201,3.01992,0.305146,-2.06388,-1.0634,120.747,40.4998,154.922,-3.12728,-2.64373,39.98234844207764,-14.193732023239136,5.02516,15.68000030517578,,,,1065.1,6.698742138,1065.1,6.698742138,Vladimir Guerrero Jr.,19611,665489,3.1554409248708977,2.0169653300213115,2.417684658404018,-0.11322496459417553,3.4948319923163322,1.6146467148549375,12.586344655873322,0.677,0.433,0.519,-0.024,0.75,0.347,7.887792209210907,36.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yordan Alvarez,HOU,134,581.0,497.0,150,84.0,30.0,2.0,34,91,98.0,70,11.0,99,9,4.0,1.0,,3.0,1.0,0.301543,0.1209,0.170935,0.707288,0.395102,0.574034,0.406785,0.969136,0.272491,3.68556,0.315475,-0.72,-0.942277,113.139,45.1751,171.477,-1.66228,-0.0515301,45.85433256626129,-13.276530500501394,5.36484,18.76000022888184,,,,1000.9,7.469402985,1000.9,7.469402985,Yordan Alvarez,19556,670541,3.1554409248708977,1.7810543833206713,2.1067015185880016,-0.3036084559744603,4.589636483038215,1.1509956351276913,12.480220488971016,0.677,0.382,0.452,-0.065,0.985,0.247,7.781668042308601,35.6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Harper,PHI,154,665.0,568.0,159,91.0,37.0,1.0,30,94,99.0,87,10.0,144,5,5.0,0.0,,11.0,3.0,0.27938,0.1305,0.21583,0.604642,0.376534,0.507208,0.375873,0.883742,0.227828,3.69948,0.321606,-1.50719,-0.556741,112.952,35.1617,142.066,-2.06393,1.77789,31.387088537216187,-10.297114610671995,4.46523,21.239999771118164,,,,1005.9,6.531818181,1005.9,6.531818181,Bryce Harper,11579,547180,2.623859221747006,1.8821590747638028,2.141255200789781,0.4579255095466787,3.57453961977426,1.5219164989094884,12.201655125531017,0.563,0.404,0.46,0.098,0.767,0.327,7.503102678868602,34.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mookie Betts,LAD,157,679.0,587.0,163,97.0,34.0,3.0,29,108,88.0,79,3.0,94,6,4.0,2.0,,15.0,4.0,0.277977,0.1165,0.138333,0.842171,0.367134,0.495463,0.370411,0.862597,0.217485,5.3409,0.286509,0.444182,0.186669,112.345,32.9166,140.677,0.630851,-3.63502,33.65845441818237,2.2399792671203613,6.04276,11.760000228881836,,,,986.4,6.282802547,986.4,6.282802547,Mookie Betts,13611,605141,2.490963795966033,2.3539809681650836,1.7611646965702057,0.8386924923072483,3.060649566204617,1.5837366428731212,12.08918816208631,0.535,0.505,0.378,0.18,0.657,0.34,7.390635715423896,33.8,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freddie Freeman,LAD,157,679.0,589.0,169,106.0,35.0,3.0,25,96,94.0,74,9.0,113,10,5.0,1.0,,11.0,3.0,0.286829,0.1097,0.166858,0.657444,0.373118,0.480805,0.365865,0.853923,0.193977,4.46073,0.316558,0.167616,-0.344909,109.861,30.4325,137.617,-0.177293,-0.195901,30.366194546222687,-12.320901200175284,4.19893,23.920000076293945,,,,975.5,6.213375796,975.5,6.213375796,Freddie Freeman,5361,518692,1.9593820928421408,1.9495622023925572,1.968486789780883,0.4579255095466787,3.3877897875408673,1.5837366428731212,11.30688302497625,0.421,0.419,0.423,0.098,0.727,0.34,6.608330578313835,30.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Rodríguez,SEA,157,679.0,615.0,170,108.0,30.0,2.0,30,95,89.0,49,3.0,156,9,5.0,2.0,,28.0,7.0,0.275564,0.0714999,0.229311,0.311803,0.335115,0.475849,0.348153,0.810963,0.200285,5.31943,0.321159,1.3116,1.2296,100.181,20.753,135.068,2.5412,4.81801,29.786399126052856,7.043009519577026,6.14133,13.039999961853027,,,,925.0,5.891719745,925.0,5.891719745,Julio Rodriguez,23697,677594,2.623859221747006,1.91586063857818,1.7957183787719853,2.076185186279099,1.3101979039443554,1.5837366428731212,11.305557972193748,0.563,0.411,0.386,0.446,0.281,0.34,6.607005525531333,30.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Schwarber,PHI,154,665.0,554.0,126,66.0,20.0,1.0,38,101,84.0,98,4.0,191,6,4.0,3.0,,6.0,2.0,0.226659,0.1477,0.286839,0.514923,0.347014,0.473813,0.35383,0.820828,0.247154,3.85964,0.265155,-0.859788,-0.681332,101.154,23.3635,127.229,-1.54112,-0.00108,20.1116795539856,-16.52608152583707,2.65741,73.44000244140625,,,,890.3,5.781168831,890.3,5.781168831,Kyle Schwarber,16478,656941,3.6870226279947897,2.118070021464443,1.6229499677630874,-0.018033218904033147,1.960706174947036,1.5219164989094884,10.892632072174813,0.792,0.455,0.348,-0.004,0.421,0.327,6.194079625512398,28.5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Devers,BOS,157,679.0,597.0,160,91.0,34.0,3.0,33,98,97.0,69,13.0,147,7,4.0,2.0,,4.0,1.0,0.268858,0.102,0.216269,0.471635,0.349155,0.500231,0.35847,0.849386,0.231373,3.85509,0.302919,-0.273424,-0.958545,105.819,26.3908,130.15,-1.23197,-4.80306,22.1920884847641,-3.37806248664856,4.28074,36.91999816894531,,,,957.7,6.1,957.7,6.1,Rafael Devers,17350,646240,3.022545499089925,2.0169653300213115,2.072147836386222,-0.20841671028431788,2.077752835020718,1.5837366428731212,10.56473143310698,0.649,0.433,0.445,-0.045,0.446,0.34,5.866178986444565,27.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Lindor,NYM,159,686.0,607.0,156,95.0,31.0,2.0,28,99,81.0,62,1.0,131,10,4.0,3.0,,24.0,5.0,0.257009,0.0910999,0.19088,0.477263,0.334549,0.451415,0.340426,0.785964,0.194406,5.65246,0.283672,0.771574,1.21679,96.9473,16.7004,122.31,1.98837,3.02337,20.290014505386356,10.12337350845337,5.50035,14.84000015258789,,,,878.7,5.526415094,878.7,5.526415094,Francisco Lindor,12916,596019,2.3580683701850598,2.0506668938356887,1.5192889211577487,1.6954182035185292,1.2792551624209059,1.6146467148549375,10.51734426597287,0.506,0.44,0.326,0.364,0.275,0.347,5.818791819310455,26.8,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Olson,ATL,159,686.0,593.0,149,83.0,29.0,1.0,35,94,104.0,82,5.0,166,6,4.0,1.0,,1.0,0.0,0.250821,0.1189,0.241989,0.491345,0.345117,0.482107,0.354331,0.827224,0.231286,2.34103,0.286796,-0.466754,-1.25787,104.625,24.3777,126.963,-1.72462,0.53555,20.39341449737549,-11.714449644088743,3.25567,36.880001068115234,,,,926.1,5.824528301,926.1,5.824528301,Matt Olson,14344,621566,3.288336350651871,1.8821590747638028,2.314023611798679,-0.49399194735474505,1.8569987886043118,1.6146467148549375,10.462172593318858,0.706,0.404,0.497,-0.106,0.399,0.347,5.763620146656443,26.6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete Alonso,,159,686.0,599.0,145,80.0,27.0,1.0,38,92,104.0,69,6.0,157,13,5.0,1.0,,4.0,1.0,0.242257,0.101,0.22946,0.440164,0.33168,0.477298,0.346,0.808978,0.235041,3.00949,0.263355,-1.68497,-0.910161,100.025,19.7781,124.698,-2.59513,-0.940032,17.227935075759888,-14.090031683444977,2.68463,56.08000183105469,,,,905.0,5.691823899,905.0,5.691823899,Pete Alonso,19251,624413,3.6870226279947897,1.8147559471350485,2.314023611798679,-0.20841671028431788,1.1224093577728935,1.6146467148549375,10.34444154927203,0.792,0.39,0.497,-0.045,0.241,0.347,5.645889102609615,26.1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Chourio,MIL,152,658.0,599.0,162,101.0,30.0,3.0,27,94,80.0,48,3.0,133,5,4.0,3.0,,26.0,7.0,0.270389,0.0724999,0.202709,0.357656,0.326948,0.469526,0.341099,0.796474,0.199137,5.95211,0.30424,1.15428,1.32843,93.3467,16.3751,118.877,2.48271,0.354802,17.336234092712402,-7.4951987862586975,3.27939,17.079999923706055,,,,854.9,5.624342105,854.9,5.624342105,Jackson Chourio,28806,694192,2.2251729444040866,1.8821590747638028,1.4847352389559691,1.885801694898814,0.8637149180397512,1.491006426927672,9.832590297990096,0.478,0.404,0.319,0.405,0.185,0.32,5.134037851327681,23.8,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketel Marte,ARI,147,637.0,558.0,155,93.0,32.0,4.0,26,96,83.0,67,5.0,115,6,4.0,2.0,,8.0,2.0,0.278365,0.1048,0.180457,0.580748,0.358926,0.489008,0.362945,0.847934,0.210643,4.90342,0.307484,-0.214,-0.566728,101.568,27.0528,132.319,-0.780728,-1.03066,23.83723926544189,-0.3556592464447021,4.61593,29.520000457763672,,,,898.6,6.11292517,898.6,6.11292517,Ketel Marte,13613,606466,2.092277518623114,1.9495622023925572,1.5883962855613079,0.1723502724762516,2.611925144959975,1.3982762109822227,9.812787634995429,0.449,0.419,0.341,0.037,0.561,0.3,5.114235188333014,23.7,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent Rooker,ATH,149,644.0,567.0,140,78.0,25.0,2.0,36,90,91.0,63,3.0,194,8,4.0,1.0,,8.0,2.0,0.247137,0.0981001,0.300692,0.326248,0.329295,0.48515,0.348498,0.814445,0.238014,4.24347,0.305533,0.027,-0.54653,95.1959,19.862,132.902,-0.51953,-0.0184348,23.72479337453842,-15.318434974178672,3.08536,72.5199966430664,,,,861.9,5.784563758,861.9,5.784563758,Brent Rooker,19627,667670,3.421231776432844,1.7473528195062942,1.8648257431755444,0.1723502724762516,0.9920234239682566,1.4291862829640392,9.626970318523231,0.735,0.375,0.4,0.037,0.213,0.307,4.928417871860816,22.9,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Riley,ATL,157,679.0,608.0,163,96.0,32.0,2.0,33,92,101.0,56,1.0,165,10,5.0,1.0,,2.0,1.0,0.267166,0.0819,0.243477,0.336377,0.335595,0.486936,0.352898,0.822531,0.219771,3.18389,0.313015,0.0691416,-1.10452,102.774,23.3458,125.998,-1.03538,-3.9264,20.073792219161987,-1.5014047622680664,4.25337,32.959999084472656,,,,918.2,5.848407643,918.2,5.848407643,Austin Riley,18360,663586,3.022545499089925,1.8147559471350485,2.21036256519334,-0.3988002016646026,1.336439098169187,1.5837366428731212,9.569039550796019,0.649,0.39,0.475,-0.086,0.287,0.34,4.870487104133604,22.6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz Chisholm Jr.,NYY,141,609.0,547.0,135,82.0,22.0,3.0,28,85,78.0,51,3.0,153,5,4.0,2.0,,34.0,9.0,0.245842,0.0832,0.251113,0.331326,0.313949,0.447514,0.327311,0.761463,0.201672,6.33806,0.288242,0.937,1.85593,79.6373,8.39763,114.022,2.79293,-1.194,12.56375765800476,0.9809999465942384,3.49555,25.36000061035156,,,,760.5,5.393617021,760.5,5.393617021,Jazz Chisholm Jr.,20454,665862,2.3580683701850598,1.5788450004344086,1.41562787455241,2.6473356604199534,0.15307057693849252,1.2746359230549569,9.427583405585281,0.506,0.339,0.304,0.568,0.033,0.274,4.729030958922866,22.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Harris II,ATL,146,630.0,581.0,167,107.0,31.0,4.0,25,92,79.0,36,2.0,116,6,4.0,3.0,,21.0,5.0,0.287302,0.0579,0.184843,0.313239,0.3341,0.483743,0.350297,0.817843,0.196441,6.11476,0.319639,1.006,1.06459,94.0384,20.3422,124.247,2.07059,4.144,20.33761548995972,6.394000053405762,4.92751,37.08000183105469,,,,853.8,5.847945205,853.8,5.847945205,Michael Harris II,25931,671739,1.9593820928421408,1.8147559471350485,1.4501815567541896,1.4098429664481023,1.2547087119897613,1.3673661390004062,9.256237414169648,0.421,0.39,0.311,0.303,0.269,0.294,4.5576849675072335,21.2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manny Machado,SDP,154,665.0,605.0,162,100.0,30.0,1.0,31,85,100.0,53,5.0,131,3,4.0,0.0,,8.0,2.0,0.268129,0.0797,0.197094,0.404375,0.327699,0.473385,0.342376,0.801084,0.205256,3.47988,0.29364,-0.744876,-0.598886,95.0232,17.2327,123.786,-1.34376,-0.509414,17.570971727371216,0.4655855894088745,4.14988,39.0,,,,863.9,5.609740259,863.9,5.609740259,Manny Machado,11493,592518,2.7567546475279787,1.5788450004344086,2.1758088829915607,0.1723502724762516,0.9047714531706879,1.5219164989094884,9.110446755510376,0.592,0.339,0.467,0.037,0.194,0.327,4.411894308847961,20.6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcell Ozuna,ATL,154,665.0,593.0,154,93.0,27.0,1.0,34,88,99.0,62,1.0,164,4,5.0,1.0,,1.0,0.0,0.259993,0.0929,0.247003,0.37611,0.331335,0.479672,0.348243,0.811007,0.219679,2.3143,0.300604,-1.05575,-1.13947,98.1634,20.3729,122.865,-2.19523,-0.0017064,15.987244129180908,-16.426705637131818,2.24172,72.83999633789062,,,,872.9,5.668181818,872.9,5.668181818,Marcell Ozuna,10324,542303,3.1554409248708977,1.6799496918775398,2.141255200789781,-0.49399194735474505,1.1035484994237956,1.5219164989094884,9.108118868516756,0.677,0.361,0.46,-0.106,0.237,0.327,4.4095664218543416,20.6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trea Turner,PHI,156,672.0,618.0,171,113.0,34.0,2.0,23,92,81.0,41,1.0,129,6,4.0,2.0,,23.0,4.0,0.277273,0.0612999,0.191918,0.319406,0.326383,0.447592,0.334263,0.773974,0.170318,5.64175,0.315999,1.37687,1.47555,91.6357,13.0264,114.059,2.85242,-4.78587,14.150176525115969,2.414130687713623,4.0219,25.31999969482422,,,,839.3,5.380128205,839.3,5.380128205,Trea Turner,16252,607208,1.6935912412801948,1.8147559471350485,1.5192889211577487,1.600226457828387,0.8328268456709353,1.5528265708913047,9.01351598396362,0.364,0.39,0.326,0.344,0.179,0.333,4.314963537301205,20.2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Contreras,MIL,156,626.0,549.0,151,96.0,31.0,2.0,24,83,83.0,67,3.0,130,4,4.0,1.0,,7.0,2.0,0.275755,0.1077,0.208084,0.51758,0.357024,0.465828,0.355209,0.822852,0.190073,3.95145,0.31998,-0.843767,-0.727937,95.9777,22.7026,128.375,-1.5717,-2.56046,19.682426810264587,3.439539670944214,4.97207,24.71999931335449,,,,844.2,5.411538461,844.2,5.411538461,William Contreras,20503,661388,1.826486667061168,1.5114418728056542,1.5883962855613079,0.07715852678610922,2.5079444128440738,1.3497032407250826,8.861131005783395,0.392,0.325,0.341,0.017,0.538,0.29,4.1625785591209805,19.5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Merrill,SDP,157,679.0,629.0,176,110.0,33.0,6.0,26,85,95.0,40,1.0,113,4,5.0,1.0,,15.0,4.0,0.279268,0.0587999,0.165725,0.354803,0.324059,0.47557,0.342245,0.79963,0.196303,5.44852,0.301759,0.188568,-0.0200067,96.9522,17.5241,123.698,0.168561,4.82938,19.410052597522736,6.854382038116455,5.04778,26.15999984741211,,,,880.2,5.606369426,880.2,5.606369426,Jackson Merrill,29490,701538,2.092277518623114,1.5788450004344086,2.0030404719826627,0.8386924923072483,0.7057757302990364,1.5837366428731212,8.802367856519592,0.449,0.339,0.43,0.18,0.152,0.34,4.103815409857177,19.2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Yelich,MIL,136,588.0,505.0,135,90.0,25.0,3.0,17,81,65.0,73,5.0,127,5,4.0,2.0,,22.0,5.0,0.266426,0.1238,0.216239,0.572514,0.361617,0.429096,0.344017,0.790713,0.16267,5.90189,0.321809,0.904,1.20713,84.7974,16.0143,120.842,2.11113,-0.502143,16.7657253742218,-12.202142655849457,2.4936,119.44000244140624,,,,762.2,5.604411764,762.2,5.604411764,Christian Yelich,11477,592885,0.8962186865943568,1.4440387451769,0.9664300059292757,1.505034712138245,2.759039840082944,1.1819057071095076,8.75266769703123,0.192,0.31,0.207,0.323,0.592,0.254,4.054115250368815,19.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Walker,HOU,151,651.0,573.0,139,78.0,28.0,1.0,32,85,97.0,65,4.0,150,8,4.0,0.0,,5.0,2.0,0.242825,0.0999,0.230403,0.433587,0.326823,0.463383,0.339508,0.790206,0.220558,3.52145,0.270963,0.162713,-0.775963,91.5202,15.3675,124.153,-0.61325,4.19895,17.377783238887787,-7.476046562194824,3.2639,99.36000061035156,,,,816.0,5.403973509,816.0,5.403973509,Christian Walker,13419,572233,2.8896500733089514,1.5788450004344086,2.072147836386222,-0.11322496459417553,0.8568812737103654,1.4600963549458554,8.744395574191627,0.62,0.339,0.445,-0.024,0.184,0.313,4.045843127529212,19.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triston Casas,BOS,146,630.0,535.0,131,75.0,26.0,2.0,28,82,86.0,86,6.0,163,4,4.0,1.0,,2.0,1.0,0.245329,0.136,0.258949,0.525201,0.351628,0.459702,0.349688,0.81133,0.214372,3.02745,0.295616,-1.054,-1.08917,93.7297,20.0335,123.973,-2.14317,-1.06969,15.137713432312012,-12.419689178466797,2.44969,122.5199966430664,,,,819.6,5.61369863,819.6,5.61369863,Triston Casas,22514,671213,2.3580683701850598,1.477740308991277,1.6920573321666466,-0.3988002016646026,2.2129496544332428,1.3673661390004062,8.709381603112028,0.506,0.317,0.363,-0.086,0.475,0.294,4.0108291564496135,18.8,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oneil Cruz,PIT,146,630.0,563.0,144,85.0,30.0,3.0,26,80,86.0,57,4.0,183,5,4.0,1.0,,19.0,5.0,0.256039,0.0906001,0.290348,0.312039,0.327657,0.460362,0.338045,0.788019,0.204323,5.53684,0.328835,0.498,0.601503,87.8261,14.1299,114.607,1.0995,-1.38942,12.10416853427887,0.4605778455734253,3.46439,45.2400016784668,,,,800.0,5.479452054,800.0,5.479452054,Oneil Cruz,21711,665833,2.092277518623114,1.4103371813625227,1.6920573321666466,1.2194594750678176,0.9024753486760126,1.3673661390004062,8.68397299489652,0.449,0.303,0.363,0.262,0.194,0.294,3.9854205482341047,18.7,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
