Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,FPTS,FPTS/G,SPTS,SPTS/G,NameASCII,PlayerId,MLBAMID,HR_z,R_z,RBI_z,SB_z,OBP_z,PA_z,total_z,HR_contribution,R_contribution,RBI_contribution,SB_contribution,OBP_contribution,PA_contribution,value_above_replacement,dollar_value,Position,W,L,QS,ERA,GS,SV,HLD,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,FPTS/IP,SPTS/IP,RA9-WAR,QS_z,SV_z,HLD_z,ERA_z,WHIP_z,IP_z,QS_contribution,SV_contribution,HLD_contribution,ERA_contribution,WHIP_contribution,IP_contribution
Bubba Chandler,PIT,16,,,91,,,,12,50,,38,,80,4,,,,,,0.254167,0.0954629,0.199503,,,,,,,,0.296839,,,,,,,,,,0.745917,999.0,,,,330.6,,338.0,,Bubba Chandler,sa3017428,696149,,,,,,,-0.5834945936152717,,,,,,,0.0,1.0,P,5.0,6.0,8.0,4.50514,16.0,0.0,0.0,92.0,403.0,46.0,7.83389,3.74855,2.08985,1.178,0.1040399223566055,1.40728,0.709681,,,4.5218,3.5934782608695657,3.6739130434782608,0.876167,0.9230975614232468,-0.06246723211030757,-0.17483239589564367,-0.9376152466026946,-0.9626170005282653,0.6309397200983925,0.361,-0.024,-0.068,-0.367,-0.377,0.247
Tyler Jay,SEA,34,,,33,,,,4,16,,11,,28,2,,,,,,0.24865,0.0776277,0.193136,,,,,,,,0.288074,,,,,,,,,,-0.0217959,999.0,,,,137.60000000000002,,139.0,,Tyler Jay,17952,664079,,,,,,,-0.5841161808528306,,,,,,,0.0,1.0,P,2.0,2.0,0.0,3.78727,0.0,0.0,1.0,34.0,145.0,14.0,7.3904,2.97045,2.48797,1.059,0.1155079677700996,1.29367,0.739008,,,4.18273,4.0470588235294125,4.088235294117647,-0.00754271,-0.5562200472897499,-0.06246723211030757,-0.1180232031574149,0.7011892915900894,0.3197355788382112,-0.8683305687236587,-0.218,-0.024,-0.046,0.274,0.125,-0.34
Drew Rom,STL,12,,,11,,,,1,5,,4,,11,1,,,,,,0.240852,0.0830559,0.226646,,,,,,,,0.294022,,,,,,,,,,0.015074,999.0,,,,58.90000000000001,,58.0,,Drew Rom,24602,680723,,,,,,,-0.5849228629491016,,,,,,,0.0,1.0,P,1.0,1.0,0.0,3.65599,0.0,0.0,1.0,12.0,51.0,5.0,8.5995,3.15135,2.72883,0.993,0.1435896381735801,1.26991,0.742389,,,3.88099,4.908333333333334,4.833333333333333,0.0319809,-0.5562200472897499,-0.06246723211030757,-0.1180232031574149,1.0008845842948249,0.5879223342800516,-1.4370192989665056,-0.218,-0.024,-0.046,0.391,0.23,-0.562
Riley O'Brien,STL,51,,,46,,,,5,23,,24,,51,3,,,,,,0.236841,0.107517,0.231699,,,,,,,,0.296811,,,,,,,,,,0.139358,999.0,,,,233.30000000000004,,227.0,,Riley O'Brien,20348,676617,,,,,,,-0.6144917192418706,,,,,,,0.0,1.0,P,3.0,2.0,0.0,3.74837,0.0,0.0,4.0,51.0,219.0,21.0,8.96128,4.15837,2.155,0.878,0.124182142317295,1.35826,0.739054,,,3.98318,4.574509803921569,4.450980392156863,0.157268,-0.5562200472897499,-0.06246723211030757,0.05240437505727148,0.7899929698823974,-0.40931250760911414,-0.42888927717236786,-0.218,-0.024,0.02,0.309,-0.16,-0.168
Jhonathan Díaz,SEA,30,,,36,,,,4,17,,13,,30,2,,,,,,0.24985,0.0825809,0.191946,,,,,,,,0.292093,,,,,,,,,,0.0830829,999.0,,,,150.00000000000003,,152.0,,Jhonathan Diaz,20298,646242,,,,,,,-0.617298450851106,,,,,,,0.0,1.0,P,2.0,2.0,1.0,3.78847,2.0,0.0,1.0,37.0,159.0,16.0,7.39189,3.18022,2.32433,0.973,0.1093645691871643,1.31962,0.734573,,,4.16399,4.054054054054054,4.108108108108108,0.123233,-0.37130534620062533,-0.06246723211030757,-0.1180232031574149,0.6984498465013809,0.02682958962458595,-0.790782105508725,-0.145,-0.024,-0.046,0.273,0.01,-0.309
Jacob Lopez,ATH,30,,,27,,,,4,14,,12,,30,2,,,,,,0.234055,0.0946641,0.233687,,,,,,,,0.286273,,,,,,,,,,0.032204,999.0,,,,124.6,,120.0,,Jacob Lopez,25098,682052,,,,,,,-0.6256852037217007,,,,,,,0.0,1.0,P,2.0,1.0,0.0,3.79272,0.0,0.0,1.0,30.0,127.0,13.0,8.9118,3.61008,2.46859,1.082,0.13902248442173,1.28709,0.743115,,,4.1049,4.153333333333333,4.0,0.0194738,-0.5562200472897499,-0.06246723211030757,-0.1180232031574149,0.6887476451455368,0.3940061533671387,-0.9717285196769037,-0.218,-0.024,-0.046,0.269,0.154,-0.38
Cionel Pérez,BAL,56,,,52,,,,5,26,,25,,52,3,,,,,,0.245952,0.103176,0.216205,,,,,,,,0.301861,,,,,,,,,,0.0343143,999.0,,,,265.7000000000001,,263.0,,Cionel Perez,19614,672335,,,,,,,-0.6288742916638477,,,,,,,0.0,1.0,P,3.0,3.0,0.0,3.77677,0.0,0.0,7.0,56.0,241.0,23.0,8.36563,3.99219,2.0955,0.872,0.1130289062857627,1.38034,0.739941,,,4.03856,4.744642857142859,4.696428571428571,0.0383589,-0.5562200472897499,-0.06246723211030757,0.22283195327195784,0.7251594361162907,-0.658536563171227,-0.29964183848081166,-0.218,-0.024,0.087,0.284,-0.258,-0.117
Hogan Harris,ATH,57,,,52,,,,7,27,,24,,54,3,,,,,,0.240619,0.0981888,0.221614,,,,,,,,0.28866,,,,,,,,,,-0.0132436,999.0,,,,255.49999999999997,,249.0,,Hogan Harris,21520,663687,,,,,,,-0.6365364647271804,,,,,,,0.0,1.0,P,3.0,3.0,0.0,4.01266,0.0,0.0,7.0,57.0,244.0,25.0,8.52362,3.77649,2.25702,1.145,0.1234250143170356,1.3356,0.739108,,,4.32637,4.482456140350876,4.368421052631579,0.0249649,-0.5562200472897499,-0.06246723211030757,0.22283195327195784,0.18665301780336993,-0.15354180565995015,-0.27379235074250047,-0.218,-0.024,0.087,0.073,-0.06,-0.107
Kaleb Ort,HOU,58,,,53,,,,9,29,,23,,59,2,,,,,,0.2376,0.0924692,0.23966,,,,,,,,0.286737,,,,,,,,,,0.00489603,999.0,,,,263.70000000000005,,256.0,,Kaleb Ort,20061,672391,,,,,,,-0.6398693930996313,,,,,,,0.0,1.0,P,3.0,3.0,0.0,4.24121,0.0,0.0,10.0,58.0,248.0,27.0,9.21769,3.55651,2.59178,1.326,0.1471909880638122,1.30706,0.730483,,,4.34015,4.546551724137932,4.413793103448276,0.0273694,-0.5562200472897499,-0.06246723211030757,0.3932595314866442,-0.3350971280502801,0.16859834586825131,-0.24794286300418922,-0.218,-0.024,0.154,-0.131,0.066,-0.097
Wandy Peralta,SDP,53,,,50,,,,6,24,,22,,48,3,,,,,,0.2465,0.0964001,0.210386,,,,,,,,0.297156,,,,,,,,,,0.0897412,999.0,,,,225.40000000000003,,224.0,,Wandy Peralta,14295,593974,,,,,,,-0.642137863563562,,,,,,,0.0,1.0,P,3.0,2.0,0.0,3.78639,0.0,0.0,4.0,53.0,228.0,22.0,8.12995,3.7252,2.18242,0.954,0.1139854565262794,1.3576,0.741934,,,4.13377,4.252830188679246,4.226415094339623,0.148093,-0.5562200472897499,-0.06246723211030757,0.05240437505727148,0.7031982179884757,-0.40186287551350625,-0.37719030169574536,-0.218,-0.024,0.02,0.275,-0.157,-0.148
