Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,NameASCII,PlayerId,MLBAMID,HR_z,R_z,RBI_z,SB_z,BB/K_z,OBP_z,PA_z,total_z,value_above_replacement,dollar_value,Position,W,L,QS,ERA,GS,SV,HLD,BS,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,RA9-WAR,FPTS/IP,SPTS/IP,QS_z,SV_z,HLD_z,K-BB%_z,ERA_z,WHIP_z,IP_z
Javier Assad,CHC,34.8918,,,128.282,,,,17.5732,66.9036,,51.2343,0.305985,110.58,4.9679,,,,,,0.251601,0.0905094,0.195348,,,,,,,,0.290033,,,,,,,,,,0.968992,594.2899780273438,2.93659,0.438477,0.921128,2.93659,-0.438477,3.77183,469.2000000000001,,475.0,,Javier Assad,21741,665871,,,,,,,,1.1704577565304344,0.0,1.0,P,6.74157,6.01967,7.58373,4.2246,21.7993,0.0,0.496345,0.0,131.128,566.066,61.5513,7.58969,3.51648,2.15832,1.20614,0.1048386171460151,1.36902,0.726937,,,4.50791,1.29768,3.5816793893129777,3.6259541984732824,1.3215394383459536,-0.07670673606036282,-0.16523836699263383,-1.26316906730044,-0.12950119474768682,-0.38498014905899164,1.868513832344596
Alec Marsh,KCR,25.5278,,,106.028,,,,15.6682,59.9351,,38.7207,0.570041,103.242,7.33804,,,,,,0.253143,0.0832872,0.222071,,,,,,,,0.301263,,,,,,,,,,0.968637,503.8200073242187,0.890412,-0.46378,0.804724,0.890412,0.46378,3.92703,387.4,,395.0,,Alec Marsh,27451,679525,,,,,,,,1.1673284291623713,0.0,1.0,P,6.23875,7.75922,6.77449,4.61648,18.5926,0.0,0.18724,0.0,107.498,464.906,55.1402,8.64371,3.2418,2.66633,1.31179,0.1387842819094658,1.34653,0.690591,,,4.42584,0.568871,3.6205607476635513,3.691588785046729,1.1034386489755412,-0.07670673606036282,-0.18094025514977835,0.1329881414478742,-0.8663477429255191,-0.17865264459763702,1.2335490174722532
Danny Young,NYM,52.3667,,,46.5175,,,,4.9455,23.8657,,21.9979,0.783193,57.6566,5.59464,,,,,,0.233213,0.0968833,0.253931,,,,,,,,0.303753,,,,,,,,,,0.28331,999.0,2.34727,-0.551545,0.567675,2.34727,0.551545,4.2431,284.50000000000006,,276.0,,Danny Young,18439,664849,,,,,,,,1.167151748756855,0.0,1.0,P,3.93018,2.2752,0.0,3.75975,0.0,0.0531239,10.8809,0.0,52.5587,227.056,21.9564,9.87294,3.76686,2.621,0.846853,0.1570479124784469,1.3036,0.724931,,,3.77068,0.372248,5.367924528301888,5.2075471698113205,-0.7223752215473721,-0.07391759876701988,0.3622753295561636,0.8841562111995598,0.74454983597719,0.21519527743553224,-0.24273208509719865
Héctor Neris,,56.0417,,,48.8171,,,,7.02597,26.2708,,24.0694,1.06787,60.1264,2.58607,,,,,,0.229118,0.100406,0.250819,,,,,,,,0.286412,,,,,,,,,,0.150677,749.5,4.05872,1.21055,0.48286,4.05872,-1.21055,4.35619,302.9000000000001,,291.0,,Hector Neris,11804,593576,,,,,,,,1.1615356989219998,0.0,1.0,P,5.32625,3.38338,0.0,3.85387,0.0,2.97807,12.3345,3.17897,56.4426,239.72,24.1692,9.58741,3.83796,2.49805,1.12032,0.1504129469394683,1.29134,0.739343,,,4.07096,0.326674,5.408928571428573,5.196428571428571,-0.7223752215473721,0.07964936918013829,0.43611517240964476,0.6112655480885639,0.5675773007253332,0.327670831223716,-0.13836730115802418
Jake Cousins,NYY,53.9994,,,45.9595,,,,6.53057,25.0647,,29.2165,1.57377,66.8633,4.05695,,,,,,0.220363,0.120812,0.276482,,,,,,,,0.291702,,,,,,,,,,0.205855,750.0399780273438,1.14956,-1.79594,0.606946,1.14956,1.79594,4.19074,309.70000000000005,,290.0,,Jake Cousins,21620,664776,,,,,,,,1.156850568361813,0.0,1.0,P,3.1503,2.58827,0.0,3.71414,0.0,1.81314,14.0759,1.21313,55.8772,241.836,23.0596,10.7695,4.70583,2.28854,1.05186,0.1556707918643951,1.34538,0.75888,,,4.07904,0.430629,5.530357142857143,5.178571428571429,-0.7223752215473721,0.018487637697057975,0.5245746539348595,0.8275163755674568,0.8303096886422682,-0.16810232756204094,-0.1535602383704161
Michel Otañez,ATH,55.0887,,,46.8921,,,,4.80693,25.2979,,31.4226,0.0,73.0187,3.63334,,,,,,0.223112,0.128136,0.297757,,,,,,,,0.317989,,,,,,,,,,0.438698,690.3900146484375,2.86025,-1.53987,0.528158,2.86025,1.53987,4.29579,329.7000000000001,,314.0,,Michel Otanez,22533,671305,,,,,,,,1.1363069682345783,0.0,1.0,P,4.01649,1.54329,0.0,3.73311,0.0,1.61622,12.2519,3.00134,56.1104,245.229,23.2741,11.7121,5.04012,2.32376,0.771022,0.1696213185787201,1.39573,0.740614,,,3.5518,0.298405,5.887500000000002,5.607142857142857,-0.7223752215473721,0.00814884638457725,0.4319192649937823,1.4012900392669754,0.7946406598096322,-0.6300227299466221,-0.14729389072639457
Shawn Armstrong,TEX,59.6105,,,61.2213,,,,8.15936,31.1765,,20.9143,0.371763,62.9459,2.92305,,,,,,0.246862,0.0769373,0.231558,,,,,,,,0.299966,,,,,,,,,,0.486774,999.0,1.92247,-1.51484,0.526597,1.92247,1.51484,4.29787,320.6,,320.0,,Shawn Armstrong,12857,542888,,,,,,,,1.1152836741234577,0.0,1.0,P,2.95901,2.81668,0.0,4.02185,0.69717,1.50374,9.55718,1.91148,64.1846,271.836,28.6823,8.82631,2.93262,3.0097,1.14411,0.1546211317181587,1.27968,0.720653,,,3.97185,0.257447,5.009375,5.0,-0.7223752215473721,0.0022433657486447328,0.2950331193318859,0.7843447190358788,0.25172682822632386,0.434641871775935,0.06966899155216146
Eduard Bazardo,SEA,38.4149,,,37.7836,,,,4.80828,20.4262,,14.2633,0.0,42.8067,1.42128,,,,,,0.232063,0.0799063,0.239812,,,,,,,,0.286241,,,,,,,,,,0.201338,999.0,2.05902,-1.2657,0.874336,2.05902,1.2657,3.83422,211.9,,204.0,,Eduard Bazardo,20997,660825,,,,,,,,1.109360810401257,0.0,1.0,P,2.06919,0.978093,0.0,3.9363,0.0,0.738766,1.66715,0.0,42.9665,178.501,18.7921,8.96653,2.98768,3.00117,1.00717,0.1599061638116836,1.21134,0.697792,,,3.72384,0.0878608,4.927906976744185,4.744186046511628,-0.7223752215473721,-0.03791967785014479,-0.10576391926831491,1.0017137323475778,0.41258531091646666,1.061605929352147,-0.5004853435491028
Derek Law,WSN,67.0755,,,69.4084,,,,7.63741,32.3023,,23.628,0.0,61.9371,2.58563,,,,,,0.24968,0.0776716,0.203604,,,,,,,,0.296384,,,,,,,,,,0.324725,653.6799926757812,2.35823,0.297265,0.850965,2.35823,-0.297265,3.86538,396.0000000000001,,397.0,,Derek Law,13133,571882,,,,,,,,1.0909775741626389,0.0,1.0,P,4.28471,4.17981,0.0,3.73148,0.191661,9.98744,12.1335,3.36143,71.6775,304.204,29.7182,7.77697,2.96679,2.62135,0.958972,0.1259326115250587,1.29799,0.737565,,,3.92059,0.577523,5.500000000000002,5.513888888888889,-0.7223752215473721,0.4476587824543767,0.4259047923783089,-0.39559046723992425,0.7977055262828635,0.2666624761917896,0.2710116856425964
Mitch Spence,ATH,27.7592,,,127.118,,,,16.9205,65.861,,37.1256,0.0,97.4084,5.10758,,,,,,0.26375,0.0708238,0.185825,,,,,,,,0.299748,,,,,,,,,,0.760997,626.6400146484375,2.76987,-0.856006,0.798359,2.76987,0.856006,3.93552,431.50000000000017,,457.0,,Mitch Spence,27707,687765,,,,,,,,1.0778403904678104,0.0,1.0,P,6.12105,7.44981,7.62307,4.47212,19.9635,0.0,0.267462,0.0,121.94,524.196,60.5921,7.18942,2.74012,2.62376,1.24885,0.1150006875395774,1.34692,0.699958,,,4.41176,0.554316,3.5368852459016407,3.7459016393442623,1.3321420841047296,-0.07670673606036282,-0.1768651451653315,-0.8452114890751379,-0.594909629995664,-0.18223057820101213,1.6216218848605892
Gregory Soto,BAL,55.6188,,,46.8342,,,,4.79643,23.8191,,24.2705,1.84035,60.1547,3.58043,,,,,,0.232969,0.106039,0.262818,,,,,,,,0.308917,,,,,,,,,,0.349001,999.0,3.49674,-0.561546,0.674493,3.49674,0.561546,4.10068,302.50000000000006,,294.0,,Gregory Soto,19677,642397,,,,,,,,1.0646597632642614,0.0,1.0,P,2.7729,3.65249,0.0,3.72194,0.0,2.10235,12.249,2.15799,52.989,228.883,21.9136,10.2171,4.12226,2.47851,0.814657,0.156779333949089,1.34188,0.734366,,,3.64954,0.280681,5.707547169811322,5.547169811320755,-0.7223752215473721,0.033671884271720534,0.4317719510530318,0.8731097976887008,0.8156434564390757,-0.1359926670189215,-0.23116943762197364
Eli Morgan,CHC,55.302,,,57.6228,,,,8.68692,29.6911,,18.9847,1.05169,58.168,1.95593,,,,,,0.244121,0.0738755,0.22635,,,,,,,,0.289241,,,,,,,,,,0.233811,750.8599853515625,1.32856,0.579985,0.50664,1.32856,-0.579985,4.32448,270.9000000000001,,269.0,,Eli Morgan,20203,669212,,,,,,,,1.05047021850214,0.0,1.0,P,3.91312,2.5494,0.0,4.00967,0.0,0.277605,6.8973,1.71751,61.3124,256.983,27.3158,8.53843,2.78675,3.06394,1.27515,0.1524745151400566,1.24946,0.727997,,,4.13555,0.182025,4.440983606557379,4.409836065573771,-0.7223752215473721,-0.062131780940003226,0.15991677287542094,0.6960561487332947,0.2746287138974627,0.7118858550939495,-0.007510269610612524
Jonathan Cannon,CHW,29.5609,,,158.622,,,,23.1693,88.5365,,53.1723,0.0,116.465,6.24638,,,,,,0.261356,0.0797975,0.174783,,,,,,,,0.289871,,,,,,,,,,0.841068,680.5399780273438,2.77948,0.808267,1.63748,2.77948,-0.808267,2.81669,498.3000000000002,,526.0,,Jonathan Cannon,31730,686563,,,,,,,,1.0284945345654575,0.0,1.0,P,6.39205,10.6426,10.2428,4.75858,26.0724,0.0629653,0.187227,0.0,154.055,666.34,81.4536,6.80399,3.10637,2.19034,1.35357,0.0949859246611595,1.3748,0.68722,,,4.76673,0.625936,3.235714285714287,3.4155844155844157,2.0381936645225904,-0.07340090071287277,-0.1809409155226162,-1.6684021871750723,-1.1335364090888087,-0.438006959898772,2.484588242441009
Brusdar Graterol,LAD,18.7934,,,18.4005,,,,1.67212,7.74385,,5.75101,0.147649,17.116,0.72284,,,,,,0.240272,0.0692425,0.206077,,,,,,,,0.289449,,,,,,,,,,0.208504,999.0,0.744356,2.72153,1.22397,0.744356,-2.72153,3.36804,106.6,,104.0,,Brusdar Graterol,20367,660813,,,,,,,,1.0249463002604216,0.0,1.0,P,1.17241,1.02782,0.0,3.20697,0.0397779,0.735381,3.23438,0.873918,19.9937,83.056,7.12434,7.70462,2.58877,2.97617,0.752691,0.1368349120020866,1.20796,0.752282,,,3.51295,0.250836,5.33,5.2,-0.7223752215473721,-0.038097398795669604,-0.02615190983293981,0.05281216411262253,1.7839344305003642,1.0926146872480746,-1.1177904514246582
