Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Chase Allsup","BAL",0,0,0,6.05396,1,1,0,0,,3.968,18,4,3,3,1,3,0,0,2,5.44998,5.84297,0.932742,1.39215,0.131734,0.141234,-0.009499147534370422,0.274217,1.71536,0.291414,0.6543,,,6.06141,-0.0294696,-0.0549122,999,,,,,,,1.66319952011108,0.4191531117170106,1.8399996757507324,0.46370960328181254,,,,,,,,,,,,,,,,,,,"Chase Allsup","sa3025950",695482
"Aaron Nixon","NYY",0,0,0,6.02816,1,0,0,0,,1.56923,7,2,1,1,0,1,0,0,1,4.68697,6.13632,0.763809,1.35565,0.112223,0.146926,-0.03470257669687271,0.269907,1.73382,0.279388,0.658106,,,6.28035,-0.0294771,-0.0205134,999,,,,,,,5.412307882308961,3.4490196724893125,6.846153974533081,4.362745108466018,,,,,,,,,,,,,,,,,,,"Aaron Nixon","sa3023376",691004
"Jhonny Jimenez",,0,0,0,6.36786,1,0,0,0,,1.37586,6,2,1,1,0,1,0,0,1,4.93211,5.28529,0.933177,1.84495,0.116405,0.124741,-0.008335530757904053,0.273423,1.69791,0.273693,0.65569,,,6.64129,-0.0295036,-0.0275839,999,,,,,,,3.9813982248306283,2.893742707351649,5.879323124885559,4.273184307637362,,,,,,,,,,,,,,,,,,,"Jhonny Jimenez","sa3016506",699075
"Luis Jerez",,0,0,0,6.26286,1,0,0,0,,1.72,8,2,1,1,0,1,0,0,1,4.95975,4.65194,1.06617,1.62933,0.119983,0.112536,0.007446326315402985,0.286387,1.66842,0.295094,0.641977,,,6.10276,-0.0295158,-0.00750562,999,,,,,,,6.528000211715699,3.795348897168544,7.6000001430511475,4.418604660833636,,,,,,,,,,,,,,,,,,,"Luis Jerez","sa3021495",807829
"Dariel Polanco","SDP",0,0,0,6.37986,1,1,0,0,,2.47333,11,3,2,2,0,1,0,0,1,3.00237,4.09445,0.733279,1.71212,0.0719561,0.0981292,-0.026173122227191925,0.289587,1.65025,0.278892,0.632989,,,6.46644,-0.0295507,-0.0487676,999,,,,,,,9.502666854858397,3.8420485541037936,11.366666793823242,4.595687335693613,,,,,,,,,,,,,,,,,,,"Dariel Polanco","sa3022419",811595
"Isaiah Jackson","KCR",0,0,0,6.02789,1,0,0,0,,1.03538,6,1,1,1,0,1,0,0,1,6.91759,7.42162,0.932087,1.9667,0.133017,0.142709,-0.00969184935092926,0.26291,2.10723,0.273448,0.763727,,,7.13822,-0.0295867,-0.0450929,999,,,,,,,4.061800575256347,3.923010519742132,4.176892280578613,4.034169588817259,,,,,,,,,,,,,,,,,,,"Isaiah Jackson","sa3023174",694722
"Emmanuel Reyes","KCR",0,0,0,6.60598,1,1,0,0,,4.25971,18,5,3,3,1,2,0,0,1,3.03325,3.51767,0.862291,1.62336,0.0794756,0.092168,-0.012692362070083618,0.300968,1.53503,0.293462,0.571806,,,6.1229,-0.0296325,-0.0266363,999,,,,,,,2.221838665008544,0.5215941333813933,4.298539638519287,1.0091160500847676,,,,,,,,,,,,,,,,,,,"Emmanuel Reyes","sa3019071",800539
"Elian Serrata",,0,0,0,6.37211,1,0,0,0,,1.00909,6,1,1,1,0,1,0,0,1,5.76513,7.96617,0.723702,1.67183,0.108555,0.149999,-0.04144452512264252,0.284,2.28739,0.295899,0.746839,,,7.15896,-0.0297017,-0.0444262,999,,,,,,,3.8672726631164553,3.832432401781103,4.045454502105713,4.009009000494751,,,,,,,,,,,,,,,,,,,"Elian Serrata","sa3018871",801220
"Jacob Meador","LAD",0,0,0,6.23247,1,1,0,0,,2.87283,14,3,2,2,1,2,0,0,2,5.72516,6.10874,0.937209,1.71711,0.132088,0.140937,-0.008849546313285828,0.268064,1.77106,0.277571,0.67469,,,6.56663,-0.0297111,-0.0190943,999,,,,,,,-0.8410639286041244,-0.2927650307037147,-0.6358540058135986,-0.22133373124686553,,,,,,,,,,,,,,,,,,,"Jacob Meador","sa3020385",687138
"Yehizon Sanchez","MIN",0,0,0,6.05929,1,0,0,0,,1.73389,8,2,1,1,0,1,0,0,1,4.87349,5.18107,0.940634,1.41992,0.115427,0.122712,-0.007284983992576599,0.28399,1.72799,0.296143,0.658643,,,6.00408,-0.0297186,-0.0094883,999,,,,,,,6.630753779411317,3.824216317390435,7.66942822933197,4.423260696353296,,,,,,,,,,,,,,,,,,,"Yehizon Sanchez","sa3011574",691315
"Jecsua Liborius","LAD",0,0,0,6.64261,1,0,0,0,,0.871429,5,1,1,1,0,1,0,0,1,5.40323,7.62248,0.708854,2.1613,0.098978,0.139631,-0.04065295308828354,0.281665,2.29478,0.280873,0.760067,,,7.83216,-0.0297241,-0.0530241,999,,,,,,,2.848571264743805,3.2688523540635197,3.357142746448517,3.8524589872398667,,,,,,,,,,,,,,,,,,,"Jecsua Liborius","sa3021742",807403
"Javier Santos",,0,0,0,6.72372,1,0,0,0,,0.66331,5,1,1,0,0,1,0,0,0,5.33155,11.1366,0.478742,1.75364,0.0846277,0.176771,-0.0921432375907898,0.287102,2.86343,0.293494,0.790328,,,8.49253,-0.0297416,-0.0656727,999,,,,,,,-0.6915038585662843,-1.0425043447005438,0.31655144691467285,0.4772298153389945,,,,,,,,,,,,,,,,,,,"Javier Santos","sa3023208",703671
"Alexander Meckley","WSN",0,0,0,6.31118,1,1,0,0,,4.33051,19,5,3,3,1,2,0,0,2,3.76366,4.50192,0.836011,1.46623,0.0935192,0.111864,-0.01834435760974884,0.291808,1.64345,0.293802,0.620008,,,6.07828,-0.0298181,-0.0244716,999,,,,,,,4.745778560638431,1.0958935287613978,6.652553081512451,1.5362052355831852,,,,,,,,,,,,,,,,,,,"Alexander Meckley","sa3025591",814384
"Bladimir Pichardo","PIT",0,0,0,6.31287,1,0,0,0,,1.53684,7,2,1,1,0,1,0,0,1,3.63556,5.06689,0.717514,1.39788,0.0880252,0.122681,-0.03465557098388672,0.290029,1.71421,0.292048,0.633432,,,6.20549,-0.0298465,-0.0169306,999,,,,,,,5.172631597518921,3.365753431245475,6.684210538864136,4.349315069555722,,,,,,,,,,,,,,,,,,,"Bladimir Pichardo","sa3022123",808097
"Aiden Butler","SEA",0,0,0,5.71507,1,1,0,0,,3.9625,18,4,3,3,1,2,0,0,2,4.01506,3.47334,1.15596,1.64268,0.099943,0.0864586,0.0134844109416008,0.273561,1.48782,0.270457,0.644535,,,5.92293,-0.0298468,-0.0695662,999,,,,,,,4.622500705718993,1.1665616642188021,4.812500476837158,1.2145111321166815,,,,,,,,,,,,,,,,,,,"Aiden Butler","sa3067513",804210
"Javier Bartolozzi","LAD",0,0,0,5.97958,1,0,0,0,,1.93846,9,2,1,1,0,1,0,0,1,5.06951,4.24899,1.19311,1.68376,0.125616,0.105285,0.020331494510173798,0.275032,1.56101,0.281043,0.643021,,,6.01552,-0.0298572,0.00190937,999,,,,,,,8.144615411758426,4.201587307639375,8.692307710647583,4.484126985103125,,,,,,,,,,,,,,,,,,,"Javier Bartolozzi","sa3021568",812745
"Jhosep Chirinos",,0,0,0,5.65074,1,0,0,0,,1.18851,7,2,1,1,0,1,0,0,1,8.60757,7.73448,1.11288,1.87696,0.161159,0.144812,0.016346842050552368,0.255096,2.13421,0.27822,0.786246,,,6.74467,-0.0298888,-0.0399301,999,,,,,,,2.5949559211730966,2.1833735141812523,4.942537784576416,4.158608631319557,,,,,,,,,,,,,,,,,,,"Jhosep Chirinos","sa3019144",800242
"Jose Romero","SEA",0,0,0,5.75289,1,1,0,0,,3.73414,17,4,3,2,1,2,0,0,2,3.74068,4.42691,0.844988,1.33701,0.0906115,0.107234,-0.01662258803844452,0.278999,1.61924,0.281545,0.652668,,,5.87379,-0.0299174,-0.0819603,999,,,,,,,2.9326054096221927,0.7853504839484818,3.6706793308258057,0.983006366770333,,,,,,,,,,,,,,,,,,,"Jose Romero","sa3021791",808487
"Jose Ramirez","CLE",0,0,0,6.11537,1,0,0,0,,1.23914,6,1,1,1,0,1,0,0,1,6.19882,7.89938,0.784721,1.35139,0.133154,0.169683,-0.03652918338775635,0.270017,2.01799,0.292584,0.705755,,,6.55857,-0.0299291,-0.0373416,999,,,,,,,5.569602727890015,4.494748726793528,5.1956775188446045,4.192985757442647,,,,,,,,,,,,,,,,,,,"Jose Ramirez","sa3019479",802064
"Dwayne Matos",,0,0,0,5.97127,1,0,0,0,,1.79717,8,2,1,1,0,1,0,0,1,3.94792,4.30259,0.917568,1.45734,0.0984703,0.107317,-0.008846275508403778,0.281195,1.58144,0.283288,0.632431,,,5.95544,-0.0299785,-0.00875482,999,,,,,,,7.099053025245667,3.9501303053002546,7.985846638679504,4.443569404080686,,,,,,,,,,,,,,,,,,,"Dwayne Matos","sa3009508",684228
"Issac Solano",,0,0,0,6.02976,1,0,0,0,,1.65384,8,2,1,1,0,1,0,0,1,5.86026,5.64672,1.03782,1.51978,0.141937,0.136765,0.005172178149223328,0.26986,1.68022,0.286873,0.656917,,,6.08679,-0.0300004,-0.0164741,999,,,,,,,6.038412070274354,3.6511476377366754,7.269197344779968,4.395346393183335,,,,,,,,,,,,,,,,,,,"Issac Solano","sa3011441",691473
"Nathanael Cruz",,0,0,0,6.43071,1,0,0,0,,1.50096,7,2,1,1,0,1,0,0,1,4.99768,5.71731,0.874131,1.55956,0.118271,0.135301,-0.017030179500579834,0.284236,1.77218,0.29457,0.64839,,,6.36293,-0.0300006,-0.0188869,999,,,,,,,4.907126879692078,3.269318816922354,6.504815459251404,4.333761099503605,,,,,,,,,,,,,,,,,,,"Nathanael Cruz","sa3016457",691371
"Edwin Cervantes","CIN",0,0,0,6.07647,1,0,0,0,,1.54667,8,2,1,1,0,1,0,0,1,6.14009,5.63866,1.08893,1.88144,0.128681,0.118172,0.010508835315704346,0.276233,1.90009,0.286223,0.72331,,,6.56204,-0.0300415,-0.0136287,999,,,,,,,5.245333003997803,3.391379194998142,6.733333110809326,4.353448257257765,,,,,,,,,,,,,,,,,,,"Edwin Cervantes","sa3020965",800099
"Jeison Payano","BOS",0,0,0,6.50531,1,0,0,0,,1.5125,7,2,1,1,0,1,0,0,1,4.86864,5.12324,0.950304,1.68976,0.117939,0.124107,-0.006167657673358917,0.285219,1.6989,0.291436,0.633287,,,6.37241,-0.0300672,-0.0182919,999,,,,,,,4.992500352859497,3.3008265755132697,6.562500238418579,4.338842996050527,,,,,,,,,,,,,,,,,,,"Jeison Payano","sa3024609",823876
"Kamdyn Perry","TEX",0,0,0,6.34336,1,1,0,0,,3.49016,16,4,3,2,1,2,0,0,1,3.62148,4.70548,0.769629,1.527,0.0881129,0.114487,-0.026374556124210358,0.28906,1.6758,0.287798,0.629915,,,6.27012,-0.0300908,-0.0810496,999,,,,,,,-0.8728213787078847,-0.2500806726567338,0.45079636573791504,0.12916211853316556,,,,,,,,,,,,,,,,,,,"Kamdyn Perry","sa3023663",815076
"Denison Sanchez","BOS",0,0,0,6.37494,1,1,0,0,,2.83636,14,3,2,2,1,2,0,0,2,6.22789,6.17647,1.00832,1.74464,0.142039,0.140867,0.0011726170778274536,0.274095,1.8162,0.289221,0.674875,,,6.51939,-0.0301234,-0.0169134,999,,,,,,,-1.1109097003936759,-0.3916668929223384,-0.8181822299957275,-0.28846169202873667,,,,,,,,,,,,,,,,,,,"Denison Sanchez","sa3018907",805091
"Yohemy Nolasco",,0,0,0,6.04294,1,0,0,0,,1.22509,7,2,1,1,0,1,0,0,1,6.31556,6.31533,1.00004,2.06311,0.117561,0.117557,0.000004172325134277344,0.276169,2.13629,0.282705,0.772812,,,7.0351,-0.0301288,-0.0366363,999,,,,,,,2.86566002368927,2.3391439917102543,5.1254459619522095,4.18373290188875,,,,,,,,,,,,,,,,,,,"Yohemy Nolasco","sa3016500",694064
"Cole Hillier","SFG",0,0,0,5.70667,1,0,0,0,,1.91849,9,2,1,1,0,1,0,0,1,5.18284,4.90585,1.05646,1.29196,0.129129,0.122228,0.006901182234287262,0.27459,1.60488,0.291785,0.649853,,,5.64998,-0.0301435,-0.00113162,999,,,,,,,7.996807861328125,4.168287600413585,8.592437744140625,4.478756064582837,,,,,,,,,,,,,,,,,,,"Cole Hillier","sa3023232",815779
"Dairon De Jesus","ATH",0,0,0,6.69708,1,0,0,0,,1.19266,6,1,1,1,0,1,0,0,1,4.75412,5.40596,0.879423,1.91926,0.1087,0.123604,-0.014903783798217773,0.285641,1.79999,0.285221,0.657535,,,6.83352,-0.0301469,-0.0373248,999,,,,,,,5.2257049798965465,4.381544243697089,4.963314175605774,4.161540067693636,,,,,,,,,,,,,,,,,,,"Dairon De Jesus","sa3017765",700719
"Mario Zabala","SDP",0,0,0,5.62807,1,0,0,0,,0.992146,7,2,1,1,0,1,0,0,1,8.00381,8.21073,0.974799,1.99304,0.127073,0.130358,-0.0032852143049240112,0.267219,2.51505,0.282641,0.83085,,,7.23703,-0.0301931,-0.0502126,999,,,,,,,1.141876983642578,1.1509168156564198,3.9607276916503906,3.992083357363939,,,,,,,,,,,,,,,,,,,"Mario Zabala","sa3023061",683336
"Alex Bouchard","BOS",0,0,0,6.63991,1,1,0,0,,2.22,11,3,2,2,0,2,0,0,1,4.4654,6.27288,0.711859,1.58422,0.0966199,0.135729,-0.03910907357931137,0.29579,1.99032,0.301952,0.679241,,,6.7191,-0.0301962,-0.0528604,999,,,,,,,4.628000211715698,2.084684753185761,7.1000001430511475,3.198198221418902,,,,,,,,,,,,,,,,,,,"Alex Bouchard","sa3027439",827635
