Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Joey Meneses","ATH",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.247801,0.0558144,0.205198,0.272003,0.29409,0.388573,0.296964,0.682662,0.140771,2.29867,0.291395,,-0.00144985,0.105093,-0.0130647,88.7068,-0.00144985,-0.0178238,-0.01479736971668899,-0.01782381348311901,0.000125141,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Joey Meneses","14366",608841
"Kleyver Salazar","BOS",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.208615,0.0807003,0.271031,0.297753,0.273006,0.31577,0.261961,0.588776,0.107155,2.2289,0.272786,,-0.0012691,0.0766738,-0.041484,60.8025,-0.0012691,0.014259,-0.04746792931109667,0.01425904966890812,0.000123747,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Kleyver Salazar","sa3021241",808307
"Esteban Mejia","TEX",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.210674,0.06774,0.285067,0.237628,0.267466,0.323791,0.261352,0.591256,0.113117,4.2339,0.280185,,-0.000974751,0.0761797,-0.041978,65.9848,-0.000974751,0.00784248,-0.041065572353545576,0.007842478342354298,0.000122292,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Esteban Mejia","sa3018527",800354
"Brock Tibbitts","TOR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.194083,0.0830196,0.300436,0.27633,0.271674,0.291842,0.254424,0.563516,0.0977594,3.36656,0.271272,,-0.000861866,0.0705545,-0.0476032,60.4103,-0.000861866,0.014259,-0.047522907436359674,0.01425904966890812,0.000118122,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Brock Tibbitts","sa3025171",801903
"Ben Gobbel","LAA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.220071,0.0461862,0.271043,0.170402,0.267558,0.357373,0.273151,0.624931,0.137302,3.35242,0.275931,,-0.000447462,0.0857597,-0.032398,71.5295,-0.000447462,0.000712953,-0.034003308217506856,0.0007129529840312898,0.000115411,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Ben Gobbel","sa3019870",806534
"Cayden Wallace","WSN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.223611,0.0623925,0.247317,0.252277,0.279053,0.340724,0.273063,0.619777,0.117113,4.78596,0.283069,,-0.000471791,0.0856876,-0.0324701,72.6619,-0.000471791,0.000712953,-0.03287306969286874,0.0007129529840312898,0.00011358,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Cayden Wallace","sa3019996",691024
"Dylan Fien","ATH",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.21134,0.0557878,0.272573,0.204671,0.265951,0.313607,0.257066,0.579558,0.102267,3.13568,0.279723,,-0.00127011,0.0727001,-0.0454576,61.2996,-0.00127011,0.014259,-0.04701056226622313,0.01425904966890812,0.000111807,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Dylan Fien","sa3067509",814504
"Wyatt Hendrie","PIT",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.198041,0.0857883,0.280974,0.305325,0.279457,0.291867,0.258873,0.571325,0.0938264,4.03068,0.269106,,-0.000282208,0.074167,-0.0439907,61.038,-0.000282208,0.014259,-0.04646028851857409,0.01425904966890812,0.000109373,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Wyatt Hendrie","sa3017163",689134
"Connor Dykstra","SEA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.179097,0.0615789,0.345972,0.177988,0.262227,0.277172,0.245971,0.539399,0.0980751,3.60704,0.268423,,-0.00111876,0.063692,-0.0544657,60.5156,-0.00111876,0.014259,-0.04765569162555039,0.01425904966890812,0.000104536,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Connor Dykstra","sa3067036",683270
"Ben Ross","MIN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.202102,0.0762332,0.296455,0.257149,0.266153,0.330385,0.263664,0.596538,0.128283,4.14919,0.267123,,0.000145565,0.0780568,-0.0401009,65.4141,0.000145565,0.0072165,-0.04061792476568371,0.007216504774987698,0.000104047,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Ben Ross","sa3020353",805346
