Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Will Benson","CIN",62.238,229.675,203.907,44.0948,25.1703,9.29373,1.25476,8.37601,28.3672,25.7346,21.9463,0.77643,71.351,1.93734,1.48291,0.401953,2.58103,6.78565,1.87271,0.21625,0.0955535,0.310661,0.307582,0.296496,0.397369,0.301698,0.693864,0.181119,5.82162,0.284244,,0.27151,25.02,-2.11788,87.3776,0.27151,0.58,-3.1644598245620728,-1.7010995745658875,0.283997,999,,,,,,,229.1,3.69516129,229.1,3.69516129,,,,,,,,,,,,,,,,,,,"Will Benson","21853",666181
"Tom Murphy",,16.911,63.386,56.6645,12.4601,7.57273,2.45192,0.109933,2.32548,7.01513,7.76703,5.25666,0.00930126,18.6326,0.51412,0.383964,0.0849014,1.04105,0.378917,0.115696,0.219892,0.082931,0.293955,0.282122,0.290211,0.390161,0.297147,0.680372,0.170269,3.29981,0.280811,,-0.0596244,6.67084,-0.8187,88.8325,-0.0596244,0.21,-0.8962535113096237,1.514861062169075,0.282778,999,,,,,,,52.8,3.105882352,52.8,3.105882352,,,,,,,,,,,,,,,,,,,"Tom Murphy","13499",608596
"Rafael Marchán","PHI",44.957,159.582,144.335,32.0624,22.7726,6.50024,0.358317,2.43131,14.7012,14.6403,11.4327,0.281999,27.2237,1.92213,1.09023,0.801904,3.19603,0.744369,0.256847,0.222139,0.0716412,0.170594,0.419952,0.286038,0.322674,0.270367,0.608713,0.100535,3.04699,0.255948,,-0.192949,13.3249,-5.53096,69.1844,-0.192949,0,-6.021336629986763,3.4689042568206787,0.282065,999,,,,,,,115.2,2.56,115.2,2.56,,,,,,,,,,,,,,,,,,,"Rafael Marchan","21646",665561
"Christian Vázquez","HOU",31.363,116.257,105.127,23.6011,17.6655,3.91251,0.0519213,1.97116,11.0099,10.3054,7.17618,0.0836213,22.8909,0.78865,0.810673,0.923161,2.27028,1.41732,0.437676,0.224501,0.0617268,0.196899,0.313494,0.277132,0.318957,0.264092,0.596088,0.0944557,3.42386,0.266788,,-0.0644235,9.11509,-4.62157,67.0425,-0.0644235,0.87,-4.580338858067989,3.2899845838546753,0.277372,999,,,,,,,85.7,2.764516129,85.7,2.764516129,,,,,,,,,,,,,,,,,,,"Christian Vazquez","9774",543877
"Andrew Knizner","SEA",30.203,108.053,97.4297,20.4301,14.7613,3.65329,0.228215,1.78732,9.68012,9.48355,7.47714,0.0698001,23.1569,1.92206,0.634593,0.454455,2.20099,0.414375,0.128464,0.209691,0.0691988,0.21431,0.322891,0.277576,0.306906,0.261771,0.584482,0.0972156,2.96828,0.254961,,-0.128772,8.26818,-4.49912,71.3993,-0.128772,0.42,-3.7711609303951263,2.7504781782627106,0.276073,999,,,,,,,72.4,2.413333333,72.4,2.413333333,,,,,,,,,,,,,,,,,,,"Andrew Knizner","19514",668800
"Alan Roden","MIN",52.18,192.584,172.481,43.0676,30.9502,8.51249,0.799209,2.80568,21.2204,17.2021,14.8297,0.575485,32.7691,3.75939,1.25624,0.257452,4.33768,3.08833,0.937861,0.249694,0.0770036,0.170155,0.45255,0.320583,0.357114,0.299984,0.677698,0.10742,4.75235,0.291409,,-0.0896479,20.7114,-2.04386,90.4333,-0.0896479,0.9,-2.261119954288006,-1.7235463857650757,0.27049,999,,,,,,,188.7,3.628846153,188.7,3.628846153,,,,,,,,,,,,,,,,,,,"Alan Roden","31564",702176
"Ryan Waldschmidt","ARI",40.322,162.112,144.485,35.6834,24.4276,7.18497,0.661343,3.40941,18.9482,16.883,14.1038,0.536876,35.3531,2.14402,1.0945,0.284287,2.75573,3.69124,1.22005,0.246969,0.0870003,0.218078,0.398941,0.320904,0.376642,0.306739,0.697546,0.129673,5.053,0.302141,,-0.0263628,18.3235,-0.831267,94.7273,-0.0263628,0,-1.0394441187381744,-1.711195945739746,0.270398,999,,,,,,,164.6,4.115,164.6,4.115,,,,,,,,,,,,,,,,,,,"Ryan Waldschmidt","sa3025261",814439
"Everson Pereira","CHW",57.536,221.702,201.405,44.4465,27.7837,8.39337,0.606835,7.66255,24.817,24.3899,16.5308,0.177421,70.0589,2.28367,1.15693,0.325738,3.45491,3.60592,1.01021,0.220682,0.0745633,0.316005,0.235956,0.285762,0.382519,0.291842,0.668281,0.161837,4.56136,0.294648,,0.00102988,22.3775,-3.81833,85.3258,0.00102988,0.69,-3.8333550416864455,-1.1717283129692078,0.268625,999,,,,,,,211.3,3.643103448,211.3,3.643103448,,,,,,,,,,,,,,,,,,,"Everson Pereira","23695",677592
"Zack Gelof","ATH",41.804,160.835,145.822,31.7846,19.5981,6.45184,0.309278,5.42546,19.7906,16.4459,12.4935,0.135171,53.816,1.07702,0.908581,0.534154,1.95618,5.85986,1.41522,0.217969,0.077679,0.334604,0.232152,0.282938,0.378074,0.288689,0.661012,0.160105,5.52725,0.301286,,0.374339,15.8221,-3.1818,80.5914,0.374339,0.35,-3.304817348718643,0.38072013668715954,0.267198,999,,,,,,,145.2,3.457142857,145.2,3.457142857,,,,,,,,,,,,,,,,,,,"Zack Gelof","29766",680869
"Colby Thomas","ATH",67.481,261.292,240.957,55.1517,32.607,12.7748,0.707365,9.06247,30.6478,29.1965,14.176,0.0112721,81.3912,3.73625,1.81655,0.606378,3.32152,4.76258,1.20325,0.228886,0.0542534,0.311495,0.174171,0.280276,0.400606,0.294788,0.680882,0.17172,5.0053,0.302582,,0.126328,26.9984,-3.87525,84.7928,0.126328,0.17,-4.556926280260086,-1.882993534207344,0.261237,747.4500122070312,,,,,,,255.7,3.81641791,255.7,3.81641791,,,,,,,,,,,,,,,,,,,"Colby Thomas","31855",687515
