Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jason Foley","SFG",0.980163,0.757602,0,4.18885,24.809,0,0,0.6513,,25.2456,108.105,26.2359,12.65,11.75,2.36663,7.33276,0.592499,1.19326,18.5095,6.59859,2.61411,2.52422,0.843699,0.171217,0.0678297,0.1033872663974762,0.263467,1.32968,0.303282,0.691403,,,3.90063,0.157075,0.00649183,999,,,,,,,110.80000000000001,4.432,117,4.68,,,,,,,,,,,,,,,,,,,"Jason Foley","19531",671345
"Angel Bastardo","TOR",0.678527,0.443702,0,3.65406,13.936,0.273,0,0,,16.182,67.9523,13.5458,7.05,6.57,1.66779,6.26644,0.489371,0.695641,16.5845,9.22384,3.48523,2.64655,0.927582,0.24406,0.0922183,0.15184218436479568,0.222098,1.22434,0.277927,0.730217,,,3.71594,0.155903,0.139761,999,,,,,,,70.4,4.4,67,4.1875,,,,,,,,,,,,,,,,,,,"Angel Bastardo","sa3009716",682785
"Gunnar Hoglund","ATH",1.92608,3.01995,0.459882,4.96059,20.844,5.803,0,0.6384,,48.1152,206.938,47.9059,28.41,26.52,8.95311,15.3766,0.847851,2.24335,40.5473,7.58441,2.87621,2.63695,1.67469,0.195939,0.0743053,0.12163404375314713,0.253044,1.31523,0.278597,0.687168,,,4.96732,0.152881,0.0269605,999,,,,,,,154.70000000000005,3.2229166666666678,158,3.2916666666666665,,,,,,,,,,,,,,,,,,,"Gunnar Hoglund","31318",680684
"Eduarniel Núñez","ATH",1.80921,1.41029,0,4.2009,41.968,0,0,4.256,,45.0118,197.856,37.8395,22.44,21.01,4.79724,25.8095,1.30185,3.31157,49.6797,9.93333,5.16054,1.92486,0.959196,0.25109,0.130446,0.12064436078071594,0.224255,1.41405,0.289191,0.723817,,,4.25413,0.152844,0.154867,999,,,,,,,201.7,4.482222222222222,189,4.2,,,,,,,,,,,,,,,,,,,"Eduarniel Nunez","23162",674384
"Sammy Peralta","MIL",0.67278,0.403842,0,3.74047,13.471,0,0,0.621,,15.9285,66.9807,13.9211,7.1,6.62,1.61603,5.41548,0.489554,0.708856,15.1851,8.57997,3.05988,2.80402,0.913095,0.226709,0.0808514,0.14585734903812408,0.228753,1.21396,0.27931,0.716673,,,3.70086,0.152236,0.139807,999,,,,,,,73.4,4.5875,70,4.375,,,,,,,,,,,,,,,,,,,"Sammy Peralta","25589",671111
"Mitch Farris","LAA",1.37622,2.14328,1.75806,5.2295,4.865,4.721,0,0,,25.3332,111.404,25.9482,15.71,14.72,4.48459,10.3449,0.0944472,0.912175,22.464,7.98066,3.67518,2.1715,1.59322,0.201644,0.0928591,0.10878483206033707,0.259101,1.43263,0.293225,0.685768,,,4.99605,0.152208,-0.0327041,999,,,,,,,79.20000000000002,3.1680000000000006,84,3.36,,,,,,,,,,,,,,,,,,,"Mitch Farris","33628",815083
"Jose Corniell","TEX",0.656813,0.456431,0,3.66846,14.024,0.136,0,0.6445,,16.6337,68.3743,13.5984,7.25,6.78,2.19951,4.85905,0.478621,0.872759,16.9559,9.17433,2.62909,3.48955,1.19009,0.247987,0.0710655,0.17692109942436218,0.217079,1.10964,0.262121,0.728791,,,3.84919,0.150839,0.193947,999,,,,,,,84.80000000000001,4.988235294117648,79,4.647058823529412,,,,,,,,,,,,,,,,,,,"Jose Corniell","27984",692030
"Marco Raya","MIN",0.912586,0.627074,0,4.07024,19.897,0,0,0,,20.6081,88.4178,18.2313,9.97,9.32,2.28009,8.58616,0.591646,1.12602,20.0074,8.73767,3.74976,2.33019,0.995765,0.226283,0.0971089,0.1291736662387848,0.231639,1.30131,0.282732,0.71311,,,4.0456,0.149407,0.0996385,999,,,,,,,94.00000000000001,4.476190476190477,89,4.238095238095238,,,,,,,,,,,,,,,,,,,"Marco Raya","sa3014550",694397
"Josh Simpson","SEA",0.92661,0.695928,0,3.83058,22.941,0,0,0.65,,23.6126,101.556,19.7173,10.77,10.05,2.37261,11.562,0.9451,1.30488,25.1847,9.5992,4.40689,2.17823,0.904325,0.247989,0.113849,0.13413991034030914,0.22232,1.32469,0.283728,0.733585,,,3.94298,0.149187,0.157963,999,,,,,,,116.00000000000003,4.833333333333335,109,4.541666666666667,,,,,,,,,,,,,,,,,,,"Josh Simpson","25957",681006
"Paxton Schultz","WSN",1.17092,1.2615,0,4.56174,34.935,0.086,0,0.6515,,41.3526,180.694,38.1632,22.52,20.96,5.40257,19.1292,1.26908,1.77884,41.1398,8.95369,4.16328,2.15063,1.17582,0.227676,0.105865,0.12181131541728973,0.238839,1.38546,0.289292,0.699241,,,4.36064,0.146915,-0.160029,999,,,,,,,166.10000000000002,4.051219512195122,163,3.975609756097561,,,,,,,,,,,,,,,,,,,"Paxton Schultz","25501",687606
"Gregory Santos","SFG",1.34359,1.05377,0,4.26076,34.107,0,1,0.5862,,35.1275,152.626,35.7314,17.92,16.63,3.10115,13.2333,0.932155,1.9928,26.4479,6.77621,3.3905,1.99859,0.794544,0.173286,0.0867045,0.08658194541931152,0.260055,1.39391,0.302551,0.695709,,,4.07734,0.146006,0.0295039,999,,,,,,,144.5,4.128571428571429,152,4.3428571428571425,,,,,,,,,,,,,,,,,,,"Gregory Santos","21894",666619
"Reiver Sanmartin","SFG",1.02745,0.793359,0,4.20105,26.115,0,0,0.6513,,28.4286,122.96,29.2978,14.25,13.27,2.61281,9.94867,0.738626,1.10087,22.1235,7.00392,3.14958,2.22377,0.827171,0.179924,0.0809095,0.09901440143585205,0.261796,1.38053,0.30611,0.702375,,,3.93954,0.145965,0.0644931,999,,,,,,,109.9,3.9250000000000003,116,4.142857142857143,,,,,,,,,,,,,,,,,,,"Reiver Sanmartin","19754",665665
"Ryan Zeferjahn","LAA",2.18025,2.00893,0,4.4797,56.32,0.026,1,11.3918,,58.5441,256.116,49.9346,31.11,29.14,8.12997,30.1774,1.86505,4.17504,67.4641,10.3713,4.63918,2.23559,1.24982,0.263412,0.117827,0.14558544754981995,0.225171,1.3684,0.286001,0.712963,,,4.39604,0.141422,-0.0173002,999,,,,,,,289.20000000000005,4.901694915254238,272,4.610169491525424,,,,,,,,,,,,,,,,,,,"Ryan Zeferjahn","25420",666171
"Juan Burgos","ARI",0.852381,0.686873,0,4.22015,24.091,0,0,0.6504,,25.3996,109.538,22.9933,12.75,11.91,2.65342,10.7351,0.72429,1.48655,23.0142,8.15478,3.80382,2.14384,0.940204,0.210103,0.098003,0.11209958046674728,0.236274,1.32791,0.283884,0.698963,,,4.12456,0.140364,0.00649453,999,,,,,,,102.3,4.092,100,4,,,,,,,,,,,,,,,,,,,"Juan Burgos","27271",686228
"Alex Lange","KCR",1.86346,1.53933,0,4.49972,45.671,0,0,6.9259,,45.9229,202.915,41.2497,24.55,22.96,4.72533,25.0318,0.779211,3.18377,47.1975,9.2498,4.90574,1.88551,0.926073,0.232598,0.123361,0.10923672467470169,0.236118,1.44332,0.297487,0.699418,,,4.26052,0.13938,-0.0980451,999,,,,,,,210.30000000000004,4.571739130434784,203,4.413043478260869,,,,,,,,,,,,,,,,,,,"Alex Lange","19883",656638
"Joel Peguero","SFG",1.79895,1.52205,0,4.67073,47.033,0,2,4.0814,,49.8487,220.365,50.2577,27.81,25.87,5.44681,22.1935,1.60247,2.6255,44.7869,8.08612,4.00695,2.01802,0.983401,0.20324,0.100713,0.10252762585878372,0.257013,1.45342,0.308378,0.688635,,,4.25235,0.137438,-0.19036,999,,,,,,,219.5,4.39,226,4.52,,,,,,,,,,,,,,,,,,,"Joel Peguero","21951",666711
"Justin Sterner","ATH",2.62248,2.20287,0,4.60116,60.749,0.026,9,10.2941,,65.4292,279.551,57.6755,35.91,33.45,11.6159,24.3569,2.03969,3.96534,69.5247,9.56335,3.35037,2.85441,1.5978,0.248701,0.0871287,0.16157253831624985,0.229574,1.25376,0.270799,0.701267,,,4.61649,0.136695,-0.206907,445.55999755859375,,,,,,,323.59999999999997,4.978461538461538,310,4.769230769230769,,,,,,,,,,,,,,,,,,,"Justin Sterner","27694",686993
"Anthony Molina","ATL",0.370854,0.298751,0,4.35116,9.855,0.048,0,0,,16.8162,71.8673,17.5513,8.72,8.13,1.81193,4.43323,0.428609,0.606168,12.937,6.92387,2.37266,2.91819,0.969741,0.180013,0.0616864,0.11832639575004578,0.262634,1.30734,0.302221,0.682056,,,3.89626,0.13636,-0.011827,999,,,,,,,65.40000000000002,3.8470588235294128,70,4.117647058823529,,,,,,,,,,,,,,,,,,,"Anthony Molina","26952",683627
"Scott Alexander","SFG",1.52069,1.61705,0,4.02489,27.038,0.065,0,0,,26.833,114.135,26.7615,12.89,12,2.35849,8.23363,0.848161,1.1385,17.1178,5.74144,2.76163,2.07901,0.791057,0.149978,0.0721394,0.07783878594636917,0.255448,1.30418,0.286129,0.697471,,,4.04973,0.135274,0.113432,999,,,,,,,112.00000000000001,4.148148148148149,116,4.296296296296297,,,,,,,,,,,,,,,,,,,"Scott Alexander","10591",518397
"Seth Halvorsen","COL",1.98039,2.00684,0,4.67965,46.903,0,5,0.6093,,48.9652,214.935,48.8664,27.33,25.46,5.74151,20.7835,1.53362,2.51556,43.472,7.99032,3.8201,2.09165,1.05531,0.202257,0.096697,0.10555977374315262,0.254997,1.42244,0.302796,0.68688,,,4.31134,0.133938,-0.141948,694.6099853515625,,,,,,,204.4,4.171428571428572,210,4.285714285714286,,,,,,,,,,,,,,,,,,,"Seth Halvorsen","33294",678020
