Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Edwin Arroyo","CIN",7.50997,29.5591,27.6012,6.83279,5.18538,1.26594,0.0715432,0.309923,2.95538,2.75396,1.69842,0.0297197,6.10821,0.12738,0.0864134,0.0456927,0.426076,0.645711,0.115385,0.247554,0.0574585,0.206644,0.278056,0.293378,0.332289,0.276463,0.625667,0.0847352,4.66111,0.306677,-0.0559599,0.0358006,2.61445,-0.878182,70.091,-0.0201593,-0.00715826,-1.0679793637245893,0.10873625660315156,0.00247549,999,1.96808,-0.238698,2.02468,1.96808,0.238698,2.30043,22,2.75,22,2.75,,,,,,,,,,,,,,,,,,,"Edwin Arroyo","sa3017626",695490
"Jacob Stallings","BAL",30.1337,99.9874,89.498,18.0568,12.8269,3.33987,0.17336,1.71663,9.0112,8.68876,7.79882,0.0916796,27.3604,1.49736,0.508372,0.684899,2.48594,0.465491,0.130937,0.201757,0.077998,0.273639,0.28504,0.275451,0.300491,0.258872,0.575942,0.098734,3.10911,0.268183,-0.233208,-0.105967,7.41568,-4.3986,64.3154,-0.339175,-0.736874,-4.544491469860077,1.1000487804412842,-0.000310908,999,1.75076,0.376309,1.65238,1.75076,-0.376309,2.79682,66.3,2.21,66.3,2.21,,,,,,,,,,,,,,,,,,,"Jacob Stallings","13723",607732
"Adael Amador","COL",39.1663,146.57,130.463,31.4259,22.4126,6.18686,0.228174,2.5982,15.9813,14.2064,13.2233,0.138297,26.253,1.49244,0.358391,1.03287,2.63247,4.13329,1.70663,0.24088,0.0902186,0.179116,0.503689,0.317044,0.351546,0.297827,0.668589,0.110666,4.28255,0.282707,0.0161051,-0.116433,15.5062,-1.81213,75.9535,-0.100328,-1.21424,-4.27759125828743,-0.609825074672699,-0.00112508,999,4.4582,0.34566,1.62419,4.4582,-0.34566,2.83441,133.2,3.415384615,133.2,3.415384615,,,,,,,,,,,,,,,,,,,"Adael Amador","27962",691182
"Nick Sogard","BOS",24.1969,89.8407,80.2805,18.8124,13.6849,4.17988,0.109013,0.838598,9.53592,7.74947,8.60525,0.093784,20.1298,0.498686,0.339653,0.116628,1.75596,1.29677,0.429604,0.234333,0.0957834,0.224061,0.427488,0.311135,0.320452,0.283783,0.631587,0.0861192,3.81053,0.301312,-0.0469852,-0.0664005,8.48021,-2.13516,75.8353,-0.113386,-0.30683,-2.6721358373761177,-0.43129926174879074,-0.00115239,999,4.03779,0.961065,1.78577,4.03779,-0.961065,2.61897,76.3,3.179166666,76.3,3.179166666,,,,,,,,,,,,,,,,,,,"Nick Sogard","25483",686765
"César Prieto","STL",12.8453,40.9704,38.7529,9.50373,6.82592,2.25381,0.0520529,0.371937,3.73853,3.61703,1.82657,0.0391917,8.60671,0.224336,0.105443,0.0611613,0.707672,0.29577,0.197927,0.245239,0.0445826,0.210071,0.212226,0.282446,0.334877,0.271178,0.617323,0.089638,2.97426,0.305619,0.00470958,-0.0802436,3.44797,-1.393,70.9936,-0.075534,-0.117403,-1.4801248610019684,0.08082759380340576,-0.00129756,999,3.19899,0.0225922,1.98433,3.19899,-0.0225922,2.35423,28.8,2.215384615,28.8,2.215384615,,,,,,,,,,,,,,,,,,,"Cesar Prieto","30163",693409
"Dustin Harris","CHW",10.871,28.0674,25.4737,5.74857,3.93632,1.09847,0.0991436,0.614635,3.10288,2.44687,2.16552,0.0875006,6.86691,0.228849,0.153987,0.0453298,0.342992,1.11902,0.278356,0.225667,0.0771541,0.244658,0.315355,0.29059,0.348957,0.281379,0.639547,0.12329,5.61529,0.282921,-0.0194758,0.0685975,2.59453,-0.721846,78.0008,0.0491217,0.0148327,-0.6806631647050381,-0.2945522181689739,-0.00258785,999,0.851106,-0.186436,2.01537,0.851106,0.186436,2.31283,28.8,2.618181818,28.8,2.618181818,,,,,,,,,,,,,,,,,,,"Dustin Harris","25705",687957
"Santiago Espinal","LAD",33.4553,123.501,112.407,27.643,21.1928,5.05687,0.0882105,1.30514,12.4232,10.6825,8.13847,0.107197,16.7408,0.785165,1.04401,1.12688,2.48403,1.3918,0.595966,0.24592,0.065898,0.135552,0.486146,0.29881,0.32731,0.277679,0.62612,0.0813895,3.25047,0.276065,0.0893935,-0.16381,11.0454,-3.5472,75.4593,-0.0744166,-1.06711,-3.6565513610839844,-0.5508267879486084,-0.00282077,999,2.35103,0.0575752,1.71605,2.35103,-0.0575752,2.71193,94.8,2.872727272,94.8,2.872727272,,,,,,,,,,,,,,,,,,,"Santiago Espinal","19997",669289
"Bryan Ramos","BAL",9.81373,37.3182,34.4992,7.32692,4.84447,1.77017,0.0541113,0.658168,3.58829,3.93823,2.43355,0.0118928,9.40193,0.246443,0.111919,0.0271187,0.468369,0.304111,0.143506,0.21238,0.0652107,0.251939,0.258835,0.268346,0.32406,0.26208,0.592406,0.111681,3.30126,0.271628,0.030006,-0.0475416,2.86495,-1.54449,66.5253,-0.0175356,0.0152817,-1.48988395370543,0.16672813799232244,-0.0039619,999,1.93835,-0.41719,1.94138,1.93835,0.41719,2.41149,26.4,2.64,26.4,2.64,,,,,,,,,,,,,,,,,,,"Bryan Ramos","25621",682868
"Tomás Nido","DET",5.96246,21.0239,19.5999,4.32398,3.5183,0.466447,0.0069977,0.33224,1.80731,1.71155,0.943993,0.0184968,5.33819,0.0882322,0.0749657,0.316837,0.410164,0.0391047,0.0250188,0.220613,0.044901,0.253911,0.176838,0.258666,0.295979,0.245557,0.554645,0.0753659,2.00166,0.285035,-0.0245101,-0.0323436,1.33198,-1.15216,53.4479,-0.0568537,-0.0213269,-1.2103735506534576,0.4387396704405546,-0.00491366,999,1.72759,0.0935407,2.03232,1.72759,-0.0935407,2.29024,5.4,0.9,5.4,0.9,,,,,,,,,,,,,,,,,,,"Tomas Nido","13755",621512
"Kyle McCann","COL",9.93788,33.4742,30.2131,6.28849,4.10024,1.14469,0.0475056,0.996054,3.25159,3.66178,2.71603,0.0672836,11.3057,0.321384,0.173592,0.0500588,0.574138,0.11918,0.0404936,0.208138,0.081138,0.337745,0.240235,0.279017,0.348072,0.276389,0.62709,0.139935,2.78593,0.292644,-0.0359341,-0.039423,2.95874,-0.996493,61.2679,-0.0753571,-0.166117,-1.6120083257555962,0.4488556236028671,-0.00506017,999,0.902852,-0.0670522,1.9508,0.902852,0.0670522,2.39893,24.9,2.49,24.9,2.49,,,,,,,,,,,,,,,,,,,"Kyle McCann","25575",668832
