Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,K,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,Pos,QS+W,SV+HLD,Impact_ERA,Impact_WHIP,QS+W_Z,SV+HLD_Z,K_Z,Impact_ERA_Z,Impact_WHIP_Z,Total_Z,Rep_Level,Z_Above_Rep,Base_Value,Value,Target,Tier,Primary_Pos,Pos_Tier
Félix Bautista,BAL,0.609155,0.403758,0.0,3.21415,9.75051,0.0,0.0599373,0.544661,0.165017,10.0201,41.3041,7.05559,3.88963,3.57846,0.918153,4.80243,0.150416,0.287588,13.8232,12.4159,4.31351,2.87838,0.824679,0.334669,0.11627,0.2183990702033043,0.19483,1.18342,0.285825,0.753682,,,3.09119,0.166207,0.113679,999.0,0.70093,0.0438713,1.35935,0.70093,-0.0438713,3.18753,60.5,6.05,54,5.4,,,,,,,,,,,,,,,,,,,Felix Bautista,20666,642585,RP,0.609155,0.6045982999999999,1.0307515225133246,1.0637101210898736,-0.7168849125797937,-0.5429226484422323,-0.9062482801335102,0.2593287222734574,0.14026486660252596,-1.8992779973857046,4.921431591770853,-6.820709589156557,0.0,0.0,False,7,RP,RP 7
Brent Headrick,NYY,1.95927,1.74854,0.0,3.97175,42.5453,0.0,0.213456,5.40755,0.784419,47.9956,200.86,43.2128,23.0225,21.1807,6.95092,15.9873,1.10665,1.99246,49.7115,9.32176,2.9979,3.10943,1.30342,0.247493,0.0795944,0.1678991019725799,0.236291,1.23345,0.287297,0.731322,,,4.07019,0.165599,0.213085,999.0,1.11024,0.28954,0.868895,1.11024,-0.28954,3.84147,223.3,4.652083333333334,215,4.479166666666667,,,,,,,,,,,,,,,,,,,Brent Headrick,27702,687396,RP,1.95927,5.6210059999999995,0.8971108551751517,2.6941116545524757,-0.5186849139908893,0.10575038103647531,-0.11372196292389272,0.22570581437798787,0.3552558204964065,0.09223227765292204,4.921431591770853,-4.829199314117931,0.0,0.0,False,7,RP,RP 7
Evan Phillips,LAD,1.17256,0.773529,0.0,3.46782,19.3202,0.0,0.555909,3.09508,1.31098,19.3704,79.8077,16.6484,8.11271,7.46369,2.19867,6.05634,0.306757,0.734996,20.5886,9.56598,2.81393,3.39951,1.02156,0.257977,0.0758866,0.1820907369256019,0.228009,1.17213,0.287676,0.743482,,,3.53675,0.165268,0.198208,999.0,0.649312,3.21392,1.27688,0.649312,-3.21392,3.2975,109.8,5.778947368421052,107,5.631578947368421,,,,,,,,,,,,,,,,,,,Evan Phillips,17734,623465,RP,1.17256,3.650989,1.4466273496963218,2.274958918928886,-0.634175758022603,-0.14899304731655805,-0.7568470115738418,0.3639597070764797,0.299984744869065,-0.9533440037879831,4.921431591770853,-5.874775595558836,0.0,0.0,False,7,RP,RP 7
Jaden Hill,COL,2.09957,2.67202,0.0,4.46697,42.6083,0.0,0.147855,3.08557,2.59419,44.4962,194.166,43.7513,24.0052,22.0848,5.55594,17.4781,0.634039,3.453,43.256,8.74916,3.53521,2.47487,1.12377,0.222778,0.0900163,0.1327619329094886,0.252555,1.37606,0.30698,0.696416,,,4.22531,0.16517,0.21784,999.0,2.50667,-2.44366,0.673955,2.50667,2.44366,4.10139,175.4,3.986363636363636,180,4.090909090909091,,,,,,,,,,,,,,,,,,,Jaden Hill,30250,677955,RP,2.09957,3.233425,-1.6167011039752717,-3.8479479372422123,-0.49808855012409037,-0.20298836051274166,-0.256279666708878,-0.406748884124568,-0.5074050659194075,-1.9767825287057,4.921431591770853,-6.898214120476553,0.0,0.0,False,7,RP,RP 7
Luke Little,CHC,1.06439,0.617144,0.0,3.5838,19.4801,0.0,0.0,1.13392,0.0,19.9356,87.0665,15.5524,8.62866,7.93837,1.46546,11.9291,0.34282,1.57232,22.2372,10.0391,5.3854,1.86412,0.661588,0.255405,0.137011,0.1183942854404449,0.21141,1.37851,0.282517,0.741366,,,3.89161,0.161414,0.148822,999.0,1.60497,0.0769015,1.17242,1.60497,-0.0769015,3.43678,100.1,5.005,93,4.65,,,,,,,,,,,,,,,,,,,Luke Little,28036,681432,RP,1.06439,1.13392,1.23193740493774,-1.7729299256495146,-0.6500553637209041,-0.47447591698780534,-0.7204407486259793,0.3099454584014481,-0.23378529035905152,-1.9281158192816386,4.921431591770853,-6.849547411052491,0.0,0.0,False,7,RP,RP 7
Philip Abner,ARI,1.02332,1.27237,0.0,4.1595,25.7723,0.0,0.0135177,1.11143,0.604324,26.1853,112.152,25.304,13.1543,12.102,2.82603,9.76447,0.29648,0.884213,24.2946,8.35013,3.35609,2.48806,0.971317,0.216622,0.0870646,0.1295571327209472,0.249292,1.33924,0.302193,0.704362,,,3.90256,0.159946,0.0875218,999.0,2.93846,-3.44632,1.08423,2.93846,3.44632,3.55436,109.5,4.211538461538462,110,4.230769230769231,,,,,,,,,,,,,,,,,,,Philip Abner,33821,691769,RP,1.02332,1.1249476999999999,-0.05685209923372217,-1.3004058349941887,-0.6560845345263883,-0.47563612751503015,-0.6750068984567859,-0.014303527019679003,-0.1714764646478316,-2.2362911103855847,4.921431591770853,-7.157722702156438,0.0,0.0,False,7,RP,RP 7
Kohl Drake,ARI,1.42571,1.5686,1.36417,4.45535,5.01199,4.06708,0.0,0.0,0.0,23.0503,99.927,22.7374,12.403,11.4108,3.09661,9.11271,0.197528,1.00047,20.0927,7.84521,3.55806,2.20492,1.20907,0.201074,0.0911936,0.1098806411027908,0.253161,1.38176,0.294798,0.706784,,,4.45442,0.158931,0.246193,999.0,2.34499,-1.78001,1.04981,2.34499,1.78001,3.60026,83.50000000000001,3.630434782608696,86,3.739130434782609,,,,,,,,,,,,,,,,,,,Kohl Drake,sa3021723,684442,SP,2.78988,0.0,-0.8077413122235411,-2.1248821270089193,-0.39674944862095424,-0.6211034172977374,-0.7677980402016745,-0.20322116227939724,-0.28019504767485276,-2.4772650479738045,4.8385671445016785,-7.315832192475483,0.0,0.0,False,7,SP,SP 7
Carlos Rodriguez,MIL,1.44286,2.11963,0.683423,4.37692,20.6166,1.81232,0.0,0.591039,0.0,30.6191,131.352,28.2266,16.1856,14.8908,4.20814,12.6758,0.427366,1.34793,28.2932,8.31634,3.72587,2.23205,1.23692,0.2154,0.096503,0.1188968122005462,0.240579,1.33585,0.283147,0.705972,,,4.44774,0.158456,0.13255,999.0,1.79221,-0.178067,0.968882,1.79221,0.178067,3.70816,125.4,4.04516129032258,121,3.903225806451613,,,,,,,,,,,,,,,,,,,Carlos Rodriguez,30161,692230,RP,2.126283,0.591039,-0.8061193551972787,-1.416591799416877,-0.49416702006012886,-0.5446760051737057,-0.5867052588696676,-0.20281309104785789,-0.18679718829022454,-2.1329735296401697,4.921431591770853,-7.054405121411023,0.0,0.0,False,7,RP,RP 7
Dauri Moreta,,1.41929,1.38505,0.0,3.90907,27.4041,0.0,0.0338786,1.69813,1.50096,28.3172,119.38,23.7294,13.3688,12.2993,3.61403,11.9434,0.854952,1.30357,31.6878,10.0713,3.79595,2.65316,1.14864,0.265437,0.100046,0.1653913483023643,0.223583,1.25976,0.283992,0.728575,,,3.95965,0.155162,0.167125,999.0,0.945058,1.5066,1.0693,0.945058,-1.5066,3.57426,128.60000000000005,4.592857142857144,121,4.321428571428571,,,,,,,,,,,,,,,,,,,Dauri Moreta,21101,664294,RP,1.41929,1.7320086,0.726514565255268,0.8445218016712671,-0.5979552244740975,-0.39713691919089994,-0.5117418352357878,0.18278517160111166,0.11136186025284277,-1.2679432434319933,4.921431591770853,-6.189374835202846,0.0,0.0,False,7,RP,RP 7
Scott Barlow,ATH,3.13328,3.06805,0.0,4.29716,54.7272,0.0867954,4.81688,11.9664,3.36163,54.9244,240.198,47.8919,28.5047,26.2243,6.42965,29.0759,1.44713,3.40035,58.3936,9.56847,4.76442,2.00832,1.05357,0.243106,0.12105,0.1220564618706703,0.230558,1.40134,0.290152,0.713046,,,4.30451,0.154843,-0.0265056,999.0,1.9128,-1.11445,0.648008,1.9128,1.11445,4.13599,301.4,5.4799999999999995,290,5.2727272727272725,,,,,,,,,,,,,,,,,,,Scott Barlow,14993,605130,RP,3.13328,16.78328,-0.9592649856657265,-6.138339828665512,-0.3463375359206067,1.5491470354693704,0.0780060581483124,-0.24134328945523612,-0.8094248613020395,0.2339143079131928,4.921431591770853,-4.68751728385766,0.0,0.0,False,7,RP,RP 7
