Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,K,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,Pos,norm_name,Impact_AVG,Impact_OBP,R_Z,HR_Z,RBI_Z,SB_Z,Impact_OBP_Z,Total_Z,Rep_Level,Z_Above_Rep,Base_Value,Value,Target,Tier,Primary_Pos,Pos_Tier
Daylen Lile,WSN,132.293,545.839,498.724,132.568,87.2055,26.8227,7.8808,10.6586,65.308,59.0708,35.8995,0.444694,97.0056,5.95555,4.08538,1.17527,6.97639,14.0095,4.63882,0.265814,0.0657693,0.177718,0.370076,0.320239,0.415315,0.318899,0.735554,0.149502,6.52495,0.308517,0.499883,0.0531351,67.0851,2.59,104.062,0.553019,-1.3342,3.1805636882781982,-9.052286863327026,1.25727,206.1999969482422,1.95105,-1.29773,0.763589,1.95105,1.29773,3.98188,611.7,4.634090909,611.7,4.634090909,,,,,,,,,,,,,,,,,,,Daylen Lile,29995,695734,OF,Daylen Lile,10.319801904262876,2.3133768505680283,1.0628149161853053,0.14038777107619688,0.8980555747644591,0.8563390068507841,0.26011673424319437,3.6010463668147357,4.93721430821242,-1.3361679413976844,0.0,0.0,False,7,OF,OF 7
Nolan Schanuel,LAA,141.038,598.594,516.938,134.916,97.6259,23.3707,1.36154,12.5578,70.1025,57.117,65.6343,2.93638,84.3468,9.15504,4.26867,2.59746,11.9748,6.23521,1.68697,0.26099,0.109647,0.140908,0.778148,0.351857,0.384346,0.325623,0.736202,0.123356,3.67036,0.288375,-0.951036,-0.562648,76.8366,6.10811,107.675,-1.51368,-1.34602,3.9013267755508423,-12.228546619415283,1.25593,581.97998046875,3.1747,0.0393731,0.585686,3.1747,-0.0393731,4.21909,664.4,4.712056737,664.4,4.712056737,,,,,,,,,,,,,,,,,,,Nolan Schanuel,33189,694384,1B,Nolan Schanuel,8.202984563320706,21.463308376941004,1.2366984828075371,0.35196974701177947,0.8264473244276992,0.053351595492497655,2.413340342579124,5.175941862565143,5.94346703347981,-0.7675251709146673,0.0,0.0,False,7,1B,1B 7
Luis García Jr.,WSN,122.656,500.999,466.898,124.184,83.7903,23.7996,1.8462,14.7475,58.1793,61.5065,27.5333,1.40901,79.2349,1.71012,4.57515,0.282799,8.48098,13.4022,4.62458,0.265976,0.0549567,0.158154,0.347489,0.306415,0.419616,0.31244,0.726031,0.15364,4.87579,0.289904,-0.189621,0.0496888,58.9467,-0.250218,99.6367,-0.139932,-0.197754,-0.355685755610466,-4.11671981215477,1.2478,253.36000061035156,1.55424,0.0813532,0.649046,1.55424,-0.0813532,4.1346,550.1,4.472357723,550.1,4.472357723,,,,,,,,,,,,,,,,,,,Luis Garcia Jr.,20391,671277,2B,Luis Garcia Jr.,9.736882712837465,-4.802474377792597,0.8042762194745106,0.5959151201721339,0.9873258252226667,0.7936124742776636,-0.539991550071613,3.0042183470324106,4.290443792376481,-1.28622544534407,0.0,0.0,False,7,2B,2B 7
Heliot Ramos,SFG,144.191,607.587,548.307,138.766,90.7636,24.7182,1.86702,21.417,73.732,71.245,45.3198,1.52959,147.768,9.3616,4.03003,0.568644,11.1447,6.2411,2.44805,0.253081,0.0745898,0.243205,0.306695,0.318684,0.422152,0.32151,0.740836,0.169072,3.97805,0.306273,-0.190569,-0.704383,75.962,4.17094,105.569,-0.894952,-4.3531,3.104127526283264,-11.713276386260986,1.22307,218.3999938964844,3.39718,-0.759459,0.357198,3.39718,0.759459,4.52374,679.5,4.71875,679.5,4.71875,,,,,,,,,,,,,,,,,,,Heliot Ramos,22515,671218,OF,Heliot Ramos,4.364200679991785,1.6302796655047926,1.3683306457140736,1.3389363862327741,1.3442492287975132,0.05395995919553681,0.18330909743048146,4.5904775116397225,4.93721430821242,-0.3467367965726975,0.0,0.0,False,7,OF,OF 7
Nick Gonzales,PIT,95.2299,393.987,361.014,93.1233,62.0859,20.8788,2.92041,7.23814,43.2477,40.005,23.8064,0.371343,80.2907,4.80408,3.61599,0.74659,7.07749,2.24292,1.45226,0.257949,0.0604244,0.20379,0.296503,0.309566,0.392111,0.305376,0.701677,0.134161,4.20793,0.309942,0.251881,-0.742436,44.0962,-2.45636,92.8941,-0.490554,-0.220486,-3.808709144592285,2.473775565624237,1.20454,999.0,2.5075,-0.141859,0.878968,2.5075,0.141859,3.82804,391.6,4.122105263,391.6,4.122105263,,,,,,,,,,,,,,,,,,,Nick Gonzales,27490,693304,2B,Nick Gonzales,4.6308748973498695,-2.5352261034441304,0.2627474128468089,-0.2406714567084612,0.19927955916890477,-0.35900228023011815,-0.2850615257233404,-0.3040578461500225,4.290443792376481,-4.594501638526503,0.0,0.0,False,7,2B,2B 7
Samuel Basallo,BAL,108.749,426.1,386.148,92.7684,57.3584,18.7156,0.362733,16.3317,50.3162,55.7574,33.1784,1.79624,104.024,3.86073,2.622,0.291628,8.52388,2.61445,0.978179,0.240241,0.0778651,0.24413,0.31895,0.304849,0.417469,0.312212,0.722318,0.177228,3.04451,0.284772,-0.0235999,-0.489014,50.0552,-0.291817,101.059,-0.512614,0.140587,0.0192532539367675,-2.9615850150585175,1.19945,172.0500030517578,2.31258,-0.101361,0.364509,2.31258,0.101361,4.51399,454.2,4.166972477,454.2,4.166972477,,,,,,,,,,,,,,,,,,,Samuel Basallo,28824,694212,C,Samuel Basallo,-1.8846297425726288,-4.751780418134224,0.5191028181381314,0.772404255743506,0.7766169542987922,-0.3206278546630317,-0.5342915071975113,1.391796990373968,3.475655594645327,-2.083858604271359,0.0,0.0,False,7,C,C 7
Christian Walker,HOU,135.146,567.926,508.096,117.509,69.444,21.6073,0.775511,25.6823,67.2272,77.7554,46.297,1.53232,145.18,8.34256,4.96041,0.230698,8.33895,2.96443,1.02574,0.231274,0.0815194,0.255631,0.318894,0.303241,0.428491,0.31592,0.731732,0.197217,2.90165,0.268347,-0.566858,-0.636213,68.4259,1.32097,102.745,-1.20307,1.7711,0.6340353488922119,-8.7064528465271,1.174,208.6699981689453,2.72506,1.05449,0.95017,2.72506,-1.05449,3.73311,631.6,4.678518518,631.6,4.678518518,,,,,,,,,,,,,,,,,,,Christian Walker,13419,572233,1B,Christian Walker,-7.035904661335341,-7.246620093072276,1.1324191170532552,1.8141157259326688,1.582860321535992,-0.2844792759211565,-0.8148119717063055,3.7361236400899482,5.94346703347981,-2.207343393389862,0.0,0.0,False,7,1B,1B 7
Ryan O'Hearn,PIT,124.712,510.721,454.588,120.305,82.6196,22.5698,1.31107,13.8045,60.2309,60.3174,46.8281,2.70301,95.8802,5.29115,3.65107,0.362675,8.8473,3.08644,0.975211,0.264646,0.0916901,0.187735,0.488402,0.337849,0.411164,0.326394,0.749013,0.146518,3.21444,0.305549,-0.521258,-0.653735,65.8769,5.53127,107.292,-1.17499,-1.07324,3.2391364574432373,-8.96890377998352,1.15225,280.5400085449219,1.62929,0.131155,0.620919,1.62929,-0.131155,4.17211,579.9,4.6392,579.9,4.6392,,,,,,,,,,,,,,,,,,,Ryan O'Hearn,16442,656811,1B/OF/DH,Ryan O'Hearn,8.875562875384855,11.158336424243318,0.8786822107733261,0.4908594107643547,0.9437444092765916,-0.2718771612509005,1.2546464401372246,3.921027770954818,4.93721430821242,-1.0161865372576022,0.0,0.0,False,7,1B,1B 7
Cole Young,SEA,96.1799,370.251,325.957,75.9618,51.6085,15.9778,1.63031,6.74526,39.5705,35.4514,35.1527,0.7718,65.5845,4.51448,2.63875,1.98759,5.98099,5.00744,1.85963,0.233042,0.094943,0.177135,0.535991,0.313985,0.354145,0.296342,0.66813,0.121102,4.41103,0.270096,0.0979676,-0.357539,38.724,-5.02395,95.2145,-0.259571,-0.761172,-2.3478797376155853,0.8291040658950806,1.14842,999.0,1.55715,0.101113,0.712126,1.55715,-0.101113,4.0505,347.1,3.615625,347.1,3.615625,,,,,,,,,,,,,,,,,,,Cole Young,31680,702284,2B,Cole Young,-3.9374266435027807,-0.7463506086482264,0.12938529976238497,-0.29558116832342,0.0323866690401969,-0.07346176676223738,-0.08391986929164753,-0.11725009238453525,4.290443792376481,-4.407693884761016,0.0,0.0,False,7,2B,2B 7
Spencer Horwitz,PIT,115.727,477.782,418.22,107.9,70.6217,25.263,0.878017,11.137,57.0072,52.2411,50.7674,1.34277,88.2829,5.3091,2.99183,0.494454,8.73115,1.87003,0.836517,0.257998,0.106256,0.184776,0.575053,0.343558,0.402492,0.327847,0.74605,0.144494,2.92316,0.3007,-0.344358,-0.796117,62.1918,5.73811,108.288,-1.14048,0.659999,3.552543044090271,-8.470755577087402,1.12316,739.7899780273438,2.28104,1.95152,0.574175,2.28104,-1.95152,4.23443,537.4,4.63275862,537.4,4.63275862,,,,,,,,,,,,,,,,,,,Spencer Horwitz,26477,687462,1B/2B,Spencer Horwitz,5.3851725419196645,13.166335881705686,0.7617673179335954,0.1936843260928264,0.6477418951017669,-0.39751717687294874,1.4804264556625657,3.197202479765117,4.290443792376481,-1.0932413126113638,0.0,0.0,False,7,1B,1B 7
Joey Bart,PIT,81.9321,307.891,271.039,63.8432,44.8172,11.0198,0.360652,7.64552,31.6303,32.5014,29.1004,0.00700655,84.8048,5.92637,1.35361,0.471804,6.77179,1.28687,0.590836,0.23555,0.094515,0.275437,0.343145,0.321612,0.363493,0.305419,0.685105,0.127943,2.53524,0.312309,-0.278775,-0.511641,34.4709,-1.90887,92.9234,-0.790416,-2.42496,-3.3727550506591797,3.896963357925415,1.10168,999.0,2.65085,-0.0690726,0.875465,2.65085,0.0690726,3.83271,298.6,3.641463414,298.6,3.641463414,,,,,,,,,,,,,,,,,,,Joey Bart,21524,663698,C,Joey Bart,-2.594273954068375,1.7276391077717423,-0.15858431035208906,-0.1952869446209308,-0.07573306608798484,-0.45775034785161023,0.19425622010269086,-0.7104169771513074,3.475655594645327,-4.186072571796634,0.0,0.0,False,7,C,C 7
Colt Emerson,SEA,72.7091,290.532,259.281,61.0762,41.6031,13.0441,1.14715,5.28188,31.2053,29.2458,23.7119,1.20693,62.9707,4.51688,2.39306,0.629672,4.94613,5.66769,1.25848,0.23556,0.0816153,0.216743,0.376554,0.308052,0.355832,0.292503,0.663884,0.120271,5.02707,0.28846,-0.362792,0.165128,29.4807,-4.84793,92.5696,-0.197664,2.15641,-2.742023006081581,3.4654691219329834,1.09711,999.0,2.63335,-0.696367,1.0451,2.63335,0.696367,3.60653,268.6,3.679452054,268.6,3.679452054,,,,,,,,,,,,,,,,,,,Colt Emerson,sa3022923,806068,SS,Colt Emerson,-2.479138398736763,-2.3093796966575235,-0.17399791256596914,-0.4586102500128749,-0.1950532727602926,-0.00526615811510573,-0.25966729314966047,-1.1237832453764107,6.2323935944793165,-7.356176839855728,0.0,0.0,False,7,SS,SS 7
Cedric Mullins,TBR,111.251,450.662,400.252,89.7136,55.6371,18.4421,1.82112,13.8133,52.5703,48.9756,40.7829,0.321339,101.972,3.66215,3.62269,2.34154,3.68603,18.8206,4.40786,0.224143,0.0904957,0.226272,0.399941,0.299248,0.382853,0.29874,0.6821,0.15871,5.90289,0.263461,-0.413375,1.30044,48.0112,-5.23789,89.9269,0.887061,-1.43825,-4.478303790092468,-0.1253783702850341,1.08949,324.0,2.1267,0.477966,0.943223,2.1267,-0.477966,3.74237,459.1,4.136036036,459.1,4.136036036,,,,,,,,,,,,,,,,,,,Cedric Mullins,17929,656775,OF,Cedric Mullins,-8.39672226807128,-7.549848701702415,0.6008529375506192,0.4918397821777039,0.5280588459285204,1.3532657660514125,-0.848907080502182,2.337304250047442,4.93721430821242,-2.599910058164978,0.0,0.0,False,7,OF,OF 7
Brayan Rocchio,CLE,121.218,467.37,418.666,96.991,65.866,21.5083,1.71226,7.90438,50.1951,44.8579,34.8512,0.430934,90.8101,6.78905,4.01561,3.04787,7.915,10.8633,4.15501,0.231667,0.0745687,0.1943,0.383781,0.298567,0.347859,0.285777,0.646426,0.116193,4.86089,0.274986,0.0432626,-0.23577,44.8724,-10.3509,82.5895,-0.192507,0.49857,-9.78306309878826,4.291835337877274,1.08399,999.0,1.86143,-0.0912177,0.634149,1.86143,0.0912177,4.15447,410.3,3.39090909,410.3,3.39090909,,,,,,,,,,,,,,,,,,,Brayan Rocchio,23690,677587,SS,Brayan Rocchio,-5.632979024845251,-8.148033392859382,0.5147108481896585,-0.1664484282505197,0.3771420210684141,0.5313756991255205,-0.9161671329661017,0.606020424128132,6.2323935944793165,-5.626373170351185,0.0,0.0,False,7,SS,SS 7
Justin Crawford,PHI,107.088,429.868,391.154,104.261,78.0719,18.3847,2.30253,5.50172,53.7184,38.1038,30.7449,0.468893,89.5214,1.84693,2.43702,3.68422,7.86058,22.9816,5.05014,0.266546,0.0715218,0.208253,0.343437,0.321112,0.367516,0.3031,0.688628,0.10097,6.31698,0.330775,-0.297496,1.80072,47.3178,-3.47432,91.6081,1.50323,-2.59833,-2.7722712755203247,-1.042955994606018,1.07291,999.0,2.93955,-0.268745,1.5105,2.93955,0.268745,2.986,440.1,4.113084112,440.1,4.113084112,,,,,,,,,,,,,,,,,,,Justin Crawford,sa3020240,702222,OF,Justin Crawford,8.380243998097376,2.1971428972773586,0.6424914239076918,-0.43411878961392886,0.1295991386856169,1.783045285295206,0.24704735632030167,2.4806062982181247,4.93721430821242,-2.4566080099942953,0.0,0.0,False,7,OF,OF 7
Jesús Sánchez,TOR,103.821,415.567,375.324,91.5004,57.1701,18.321,1.63016,14.3792,50.7031,48.5409,34.8858,0.9727,99.3656,2.83513,2.08485,0.437119,7.47849,9.44419,2.32112,0.24379,0.0839475,0.239109,0.351085,0.311279,0.416225,0.315728,0.727504,0.172434,5.14632,0.292498,-0.236762,0.318282,50.0042,0.901769,102.641,0.0815201,-0.316439,1.3748362511396408,-5.336588233709335,1.05805,584.6199951171875,1.6253,0.179914,0.512413,1.6253,-0.179914,4.31678,460.9,4.431730769,460.9,4.431730769,,,,,,,,,,,,,,,,,,,Jesus Sanchez,19913,660821,OF,Jesus Sanchez,-0.49977736951552726,-1.9622227373428458,0.5331346362476612,0.5548843484066142,0.5121267615691236,0.3847992959642469,-0.22063286842782656,2.0102646272315097,4.93721430821242,-2.9269496809809104,0.0,0.0,False,7,OF,OF 7
Dylan Beavers,BAL,98.652,393.401,343.306,81.601,51.5281,16.816,1.75509,11.5017,48.3412,40.8033,43.2088,0.879157,94.6984,2.1457,2.76716,1.97345,3.76946,10.1419,3.02199,0.237692,0.109834,0.240717,0.456277,0.324339,0.397407,0.316365,0.721747,0.159716,5.14862,0.292235,-0.0819213,0.157046,47.5406,1.05718,103.92,0.0751246,-1.12926,1.8927783444523811,-5.14288318157196,1.05281,430.5499877929687,2.03708,0.346791,0.673797,2.03708,-0.346791,4.1016,435.3,4.396969696,435.3,4.396969696,,,,,,,,,,,,,,,,,,,Dylan Beavers,31695,687637,OF,Dylan Beavers,-2.550622535822415,3.280257660207884,0.447474901967747,0.2343140368256122,0.22853785901732077,0.45686405644768513,0.36883308045552005,1.9011674024146605,4.93721430821242,-3.0360469057977593,0.0,0.0,False,7,OF,OF 7
Jake Burger,TEX,130.006,531.379,491.714,118.527,70.1964,22.3145,0.996739,25.0195,61.996,74.3413,27.5384,0.709699,131.842,8.16253,3.75683,0.206738,7.60519,1.59554,0.780109,0.241049,0.0518245,0.248112,0.208875,0.290354,0.44313,0.314591,0.733485,0.202082,2.82057,0.276151,-0.101275,-0.694774,63.4493,0.662851,102.66,-0.796049,1.16195,0.8695904016494751,-8.963777542114258,1.04308,237.80999755859375,2.00038,-1.05035,0.777983,2.00038,1.05035,3.96269,587.9,4.522307692,587.9,4.522307692,,,,,,,,,,,,,,,,,,,Jake Burger,22275,669394,1B/3B/DH,Jake Burger,-2.002549105732468,-13.628168989434972,0.9426976208150201,1.740275933572673,1.457730969772899,-0.42586857803546474,-1.5323550982952703,2.794103599420083,4.432236963281538,-1.6381333638614546,0.0,0.0,False,7,1B,1B 7
Marcell Ozuna,PIT,124.099,519.846,448.867,108.758,68.015,19.0691,0.180563,21.4933,61.434,67.6131,63.6716,1.23071,125.867,3.00248,4.10953,0.196185,9.07547,0.264273,0.115366,0.242295,0.122482,0.242124,0.505864,0.337596,0.429233,0.334309,0.766829,0.186938,1.44229,0.285537,-0.71454,-0.875439,70.3945,8.97061,112.714,-1.58998,0.0,6.243538022041321,-13.405783653259276,1.03675,363.9100036621094,3.03014,-0.785996,0.580786,3.03014,0.785996,4.22562,614.9,4.958870967,614.9,4.958870967,,,,,,,,,,,,,,,,,,,Marcell Ozuna,10324,542303,DH,Marcell Ozuna,-1.2687625960364528,11.226180244690923,0.9223153985933713,1.3474366520098828,1.2111373420137697,-0.5633718924418879,1.2622748181116472,3.4234779526347685,0.0,3.4234779526347685,20.68,20.68,False,4,DH,DH 3
Yoán Moncada,LAA,93.3121,375.718,334.487,79.4302,49.7125,16.4643,1.32566,11.9278,42.251,42.2357,34.6791,0.8396,100.313,4.55541,1.83902,0.157484,6.57966,1.34328,0.292054,0.237469,0.092301,0.266991,0.345709,0.315967,0.401598,0.313755,0.717565,0.164129,3.40344,0.301236,-0.311502,-0.432602,44.6076,0.213631,99.5,-0.744105,-2.22249,-0.965509995818138,-1.8458747863769531,1.03542,747.4099731445312,2.37953,-0.568679,0.535164,2.37953,0.568679,4.28645,395.2,4.249462365,395.2,4.249462365,,,,,,,,,,,,,,,,,,,Yoan Moncada,17232,660162,3B/DH,Yoan Moncada,-2.5596915900291144,-0.012697891208992309,0.22659979560781024,0.28178406628335845,0.2810364043046453,-0.4519238968348973,-0.0014277544068290046,0.43294901028655247,4.432236963281538,-3.9992879529949854,0.0,0.0,False,7,3B,3B 7
Denzel Clarke,ATH,97.5744,377.9,341.149,76.7178,48.8428,16.7531,2.885,8.23687,44.9233,33.873,27.0895,0.0386638,124.244,5.83786,1.64555,2.17857,4.72346,13.9649,2.5753,0.224881,0.0716842,0.328775,0.218035,0.291825,0.363336,0.288402,0.655161,0.138455,6.97508,0.325614,-0.379842,1.19879,37.0877,-7.56412,82.8252,0.818949,2.59599,-6.852064907550812,4.101768136024475,1.02716,739.97998046875,3.04972,-0.531684,0.978739,3.04972,0.531684,3.69501,349.0,3.561224489,349.0,3.561224489,,,,,,,,,,,,,,,,,,,Denzel Clarke,29858,672016,OF,Denzel Clarke,-6.905056751006431,-9.136033434810889,0.3235168995987561,-0.12940709970227737,-0.025462886867030937,0.8517323818668205,-1.0272581315128628,0.026814261016569557,4.93721430821242,-4.910400047195851,0.0,0.0,False,7,OF,OF 7
Pedro Pagés,STL,89.6207,332.49,304.444,68.0163,45.9883,12.4134,0.742758,8.87181,31.3101,35.5889,20.7236,0.701989,87.3528,2.63505,2.82202,1.86512,6.09713,0.976001,0.229397,0.223412,0.0623284,0.262723,0.23724,0.276371,0.356488,0.27619,0.632859,0.133077,2.70559,0.280251,-0.342606,-0.351914,29.3344,-9.95187,74.4362,-0.69452,2.49201,-10.740438222885132,9.407186269760132,1.0149,999.0,1.9177,-0.192641,0.712102,1.9177,0.192641,4.05053,275.8,3.064444444,275.8,3.064444444,,,,,,,,,,,,,,,,,,,Pedro Pages,25782,686780,C,Pedro Pages,-6.609354161925041,-13.176510983260851,-0.17019709959652302,-0.05867107411227167,0.03742614821990039,-0.48985924700272754,-1.4815705469015115,-2.0565485655885576,3.475655594645327,-5.532204160233885,0.0,0.0,False,7,C,C 7
Tyler O'Neill,BAL,93.2765,385.882,339.288,78.3827,45.7494,13.611,0.919593,18.1026,48.7146,49.2408,38.6289,1.7303,107.019,4.46954,3.32923,0.166578,5.41742,5.08023,1.00602,0.231021,0.100105,0.277337,0.360952,0.31495,0.436623,0.324211,0.751572,0.205601,4.32866,0.277156,-0.221224,0.0289406,49.09,3.49501,109.325,-0.192283,-1.46199,4.048664018511772,-7.451966762542725,1.01066,521.22998046875,2.54318,-0.844443,0.49785,2.54318,0.844443,4.3362,449.0,4.827956989,449.0,4.827956989,,,,,,,,,,,,,,,,,,,Tyler O'Neill,15711,641933,OF,Tyler O'Neill,-4.784160694581515,-0.40548339115293636,0.4610171115363653,0.9696928620958242,0.5377786268627556,-0.06594346558325256,-0.04559266488322267,1.989281215221896,4.93721430821242,-2.947933092990524,0.0,0.0,False,7,OF,OF 7
Chase DeLauter,CLE,103.934,446.923,400.651,97.5578,63.5483,20.9884,0.91681,12.1043,51.1081,48.8078,40.1164,0.775987,83.5307,1.86068,3.57269,0.722184,9.04217,2.90052,1.12829,0.243498,0.0897613,0.186902,0.48026,0.312718,0.391095,0.3076,0.703813,0.147597,3.29828,0.276917,-0.0659831,-0.573472,50.8278,-1.9796,97.6222,-0.639455,0.804398,-1.8919777274131775,-3.640757143497467,1.00774,999.0,2.30468,-0.391536,0.337627,2.30468,0.391536,4.54983,456.1,4.385576923,456.1,4.385576923,,,,,,,,,,,,,,,,,,,Chase DeLauter,32127,800050,OF,Chase DeLauter,-0.6504926201457293,-1.467157186207695,0.5478228924750059,0.301447197471559,0.5219088487913988,-0.2910803836055763,-0.16496756064800577,1.1087088276165975,4.93721430821242,-3.8285054805958225,0.0,0.0,False,7,OF,OF 7
Brett Baty,NYM,111.27,441.793,399.226,96.615,63.736,15.7598,0.844931,16.2742,51.0633,51.5782,36.4759,0.571429,110.099,2.97432,2.22929,0.887346,7.74553,5.16079,1.15759,0.242006,0.0825634,0.249209,0.331302,0.308604,0.408008,0.312133,0.716612,0.166002,3.84497,0.292061,-0.29934,-0.119326,51.8705,-0.330688,99.1274,-0.418666,1.19279,-0.8743186593055725,-4.346349358558655,0.995655,294.57000732421875,0.992531,-0.569829,0.373684,0.992531,0.569829,4.50175,470.4,4.237837837,470.4,4.237837837,,,,,,,,,,,,,,,,,,,Brett Baty,26123,683146,3B,Brett Baty,-1.2438241975941402,-3.2678528430116676,0.5461981174651662,0.7659984198040072,0.6234461078419461,-0.057622620096523386,-0.36743827937190987,1.8434382496289763,4.432236963281538,-2.5887987136525616,0.0,0.0,False,7,3B,3B 7
Mike Yastrzemski,ATL,114.55,461.409,402.084,91.9409,52.9918,20.5745,2.28481,16.0898,55.9266,50.5577,50.5204,2.15455,106.015,3.88405,3.0436,1.87711,5.52701,4.56707,1.54707,0.228661,0.109492,0.229763,0.476541,0.318466,0.411244,0.317395,0.72971,0.182582,4.45268,0.268004,-0.0564251,-0.41491,56.1449,1.62587,102.54,-0.471335,-1.24509,0.9177614450454712,-6.548333525657654,0.994541,655.5499877929688,1.80099,0.536099,0.298076,1.80099,-0.536099,4.60257,504.8,4.389565217,504.8,4.389565217,,,,,,,,,,,,,,,,,,,Mike Yastrzemski,14854,573262,OF,Mike Yastrzemski,-6.618539531410583,1.137467158090624,0.7225768742810804,0.7454551824606408,0.5860440096391291,-0.11894650766331626,0.12789712251109156,2.3254216533310013,4.93721430821242,-2.6117926548814188,0.0,0.0,False,7,OF,OF 7
Carson Williams,TBR,96.099,374.968,338.025,71.5096,44.0021,13.3159,2.16393,12.0276,44.1123,41.7277,29.996,0.292936,128.695,3.2511,1.84504,1.85077,4.84964,10.1433,3.19268,0.211551,0.0799962,0.343216,0.233078,0.280761,0.370494,0.285173,0.651255,0.158943,6.02518,0.298684,-0.196623,0.213151,35.8171,-8.48822,80.6076,0.0165283,1.15131,-8.577759619802237,5.600334525108337,0.993771,747.280029296875,2.75505,-0.352471,0.728465,2.75505,0.352471,4.02871,336.7,3.507291666,336.7,3.507291666,,,,,,,,,,,,,,,,,,,Carson Williams,30038,700246,SS,Carson Williams,-11.347698400473693,-13.213795951958117,0.29410411984474005,0.29290236935747976,0.26241781940799563,0.4570086590256571,-1.4857628791155695,-0.11811558388195438,6.2323935944793165,-6.350509178361271,0.0,0.0,False,7,SS,SS 7
Willi Castro,COL,127.87,521.888,464.058,117.317,78.422,22.8394,4.12683,11.929,66.2453,50.5668,41.3376,0.779919,118.692,12.3637,2.77395,1.35434,8.43532,14.6939,4.76253,0.252807,0.0792079,0.227428,0.348277,0.328545,0.396927,0.318634,0.725472,0.14412,6.01502,0.313459,0.23736,0.121347,64.0291,2.36411,90.2071,0.358707,-3.91783,-5.698650449514389,-2.047034740447998,0.984005,258.7300109863281,3.69086,-0.642222,0.662462,3.69086,0.642222,4.11672,567.0,4.4296875,567.0,4.4296875,,,,,,,,,,,,,,,,,,,Willi Castro,17338,650489,2B/3B/SS/OF,Willi Castro,3.5664763840490536,6.546669362575839,1.096808255844293,0.2819177532942698,0.5863775315339315,0.9270290099679321,0.7361093175740323,4.507615950784691,4.290443792376481,0.2171721584082107,2.25,2.25,True,6,2B,2B 6
Parker Meadows,DET,104.32,416.108,372.144,83.7868,53.9928,15.0835,4.50997,10.2006,49.191,39.1861,37.6208,0.708369,105.452,2.35129,2.78502,1.20722,3.0289,11.0216,2.7299,0.225146,0.0904111,0.253423,0.356759,0.298285,0.372146,0.293772,0.670432,0.147,6.47093,0.283813,0.380617,0.470723,42.6519,-6.51455,86.6617,0.851339,-0.669103,-5.690197110176086,0.940769612789154,0.979371,999.0,1.31864,0.406846,0.702486,1.31864,-0.406846,4.06335,396.9,3.816346153,396.9,3.816346153,,,,,,,,,,,,,,,,,,,Parker Meadows,23800,678009,OF,Parker Meadows,-7.43379565198988,-7.371684581159794,0.47829485293564206,0.08936389524505912,0.169266253712475,0.5477261191919209,-0.8288742574091879,0.7172606502209371,4.93721430821242,-4.219953657991483,0.0,0.0,False,7,OF,OF 7
Luis Torrens,NYM,62.1749,223.612,204.394,47.7939,32.9008,9.2689,0.935098,4.68911,21.4836,23.3942,14.7672,0.181458,49.7782,2.02611,1.67113,0.753943,4.44997,1.07764,0.525965,0.233832,0.0660394,0.222609,0.296661,0.289813,0.357155,0.28391,0.646968,0.123323,3.45002,0.284337,-0.0166956,-0.326731,21.1303,-5.29126,79.74,-0.343427,2.80614,-5.6979400515556335,7.603584051132202,0.969273,999.0,1.70984,-0.558546,1.23142,1.70984,0.558546,3.3581,193.7,3.124193548,193.7,3.124193548,,,,,,,,,,,,,,,,,,,Luis Torrens,15905,620443,C,Luis Torrens,-2.307524286566285,-5.855905513952193,-0.5265777164310961,-0.5246482912277735,-0.4095188463454002,-0.47936120312951913,-0.658439638985725,-2.603899092212618,3.475655594645327,-6.079554686857945,0.0,0.0,False,7,C,C 7
Connor Norby,MIA,115.438,449.282,410.539,99.4498,63.6514,20.9782,1.68332,13.1368,52.8287,49.858,30.6488,0.300767,121.587,4.11196,3.48557,0.496475,5.20139,8.26651,2.46847,0.242242,0.0682174,0.270626,0.252072,0.299053,0.397539,0.302835,0.696591,0.155297,4.99108,0.309033,-0.436139,-0.00527908,49.3581,-3.72806,91.6958,-0.441419,-1.8768,-4.863356530666351,-0.6396859884262085,0.966309,724.760009765625,2.48367,-0.479216,0.387348,2.48367,0.479216,4.48354,452.5,3.934782608,452.5,3.934782608,,,,,,,,,,,,,,,,,,,Connor Norby,29592,681393,3B,Connor Norby,-1.1821836537499921,-7.614339832760793,0.6102244076966582,0.4164737297764709,0.5603994744970312,0.26315960737423705,-0.8561584811524634,1.181664663548901,4.432236963281538,-3.250572299732637,0.0,0.0,False,7,3B,3B 7
