Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,K,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,Pos,norm_name,Impact_AVG,Impact_OBP,R_Z,HR_Z,RBI_Z,SB_Z,Impact_OBP_Z,Total_Z,Rep_Level,Z_Above_Rep,Base_Value,Value,Target,Tier,Primary_Pos,Pos_Tier
Dansby Swanson,CHC,153.098,629.206,568.565,137.336,88.7425,24.699,1.97261,21.9217,78.2902,75.0452,52.6658,1.06267,159.358,3.2076,3.88348,0.884177,8.7286,15.8019,3.7272,0.241548,0.0837019,0.253269,0.330487,0.3075,0.407596,0.310902,0.715096,0.166048,5.07415,0.295049,0.461196,0.686341,73.2459,-1.09969,98.2819,1.14754,2.40525,-0.130129337310791,9.493101119995115,3.1367,149.36000061035156,3.25992,-0.453916,0.588287,3.25992,0.453916,4.21562,676.1,4.418954248,676.1,4.418954248,,,,,,,,,,,,,,,,,,,Dansby Swanson,18314,621020,SS,Dansby Swanson,-2.0318177201913934,-5.3487520584509705,1.533644249505388,1.395162914905209,1.483529438097213,1.0414716216771662,-0.6014151638887528,5.168150247266775,6.2323935944793165,-1.0642433472125417,0.0,1.0,True,6,SS,SS 6
Austin Riley,ATL,147.393,632.367,573.75,148.165,89.2079,28.7383,2.17655,28.0417,81.8828,86.3497,46.8477,1.01595,165.104,7.15489,4.40718,0.207619,9.62061,2.42866,0.876899,0.258239,0.0740831,0.261089,0.283746,0.319804,0.462538,0.336114,0.782342,0.204299,3.31354,0.311999,-0.0966639,-0.812096,86.5582,11.8392,115.363,-0.90876,-3.04438,10.605932474136353,-1.1489036083221436,3.12013,62.310001373291016,2.46383,-0.46518,0.914839,2.46383,0.46518,3.78021,776.5,5.282312925,776.5,5.282312925,,,,,,,,,,,,,,,,,,,Austin Riley,18360,663586,3B,Austin Riley,7.526114470019141,2.4050204923356353,1.6639381490667668,2.076966670552726,1.8978479281841723,-0.3398176496354673,0.27042117072309163,6.054534726572071,4.432236963281538,1.6222977632905335,10.33,10.33,False,5,3B,3B 6
Nick Kurtz,ATH,141.904,576.605,514.344,134.531,69.322,26.1323,1.65079,37.4256,93.5755,94.7282,54.4464,3.56652,177.228,3.56373,3.66544,0.584836,7.10729,3.09333,1.02055,0.261558,0.0944259,0.307366,0.30721,0.334261,0.537075,0.367731,0.871336,0.275517,3.84813,0.320103,0.038315,-0.616329,93.7268,25.5966,137.32,-0.578014,-2.69083,24.855449974536896,-13.88907504081726,3.1186,18.510000228881836,2.93583,0.567152,1.31139,2.93583,-0.567152,3.25149,853.5,6.01056338,853.5,6.01056338,,,,,,,,,,,,,,,,,,,Nick Kurtz,35110,701762,1B,Nick Kurtz,8.453969297599182,10.528924734540517,2.0880007999049712,3.1223879552946774,2.2049263013270437,-0.2711655099921671,1.183875215302074,8.792611327096127,5.94346703347981,2.849144293616317,17.38,17.38,False,4,1B,1B 3
Freddie Freeman,LAD,142.993,617.716,540.042,150.325,93.0417,33.2619,1.78103,22.2408,83.9038,84.0976,64.6499,7.59577,114.456,7.8666,4.91437,0.242672,10.3734,7.62912,2.15122,0.278359,0.10466,0.185289,0.564846,0.360893,0.470096,0.355828,0.830989,0.191737,4.16872,0.313733,-0.759038,-0.397953,94.4395,21.4516,129.143,-1.15699,0.137741,20.119914293289185,-10.943134844303133,3.07786,66.66999816894531,2.52306,0.170435,0.791198,2.52306,-0.170435,3.94507,842.5,5.891608391,842.5,5.891608391,,,,,,,,,,,,,,,,,,,Freddie Freeman,5361,518692,1B,Freddie Freeman,17.949597825391,27.73063247943255,1.737234361006183,1.430712519223366,1.8153067568342816,0.19732515225027608,3.1180400016871768,8.801163615414142,5.94346703347981,2.8576965819343316,17.43,17.43,False,4,1B,1B 3
Jazz Chisholm Jr.,NYY,139.695,584.205,518.431,123.602,74.3534,19.0106,2.37499,27.863,79.6306,76.5453,56.0613,1.97576,155.344,4.93117,3.71566,1.06501,6.2406,32.3411,7.92869,0.238415,0.0959619,0.265906,0.360886,0.316553,0.445481,0.328482,0.762034,0.207066,6.23546,0.282465,0.059014,2.34082,76.3457,7.31746,110.358,2.39983,-1.73354,9.55204701423645,0.2217041254043579,3.0229,19.81999969482422,1.5924,0.557807,1.19885,1.5924,-0.557807,3.40153,727.5,5.196428571,727.5,5.196428571,,,,,,,,,,,,,,,,,,,Jazz Chisholm Jr.,20454,665862,3B/OF,Jazz Chisholm Jr.,-3.4769037242936984,0.32260014239824886,1.5822569375229998,2.0570584465111885,1.5385092396788353,2.7497651628155815,0.0362732494216932,8.693668850801231,4.432236963281538,4.261431887519693,25.5,25.5,False,3,3B,3B 3
Roman Anthony,BOS,140.417,609.279,524.829,139.428,87.3878,30.7179,2.52144,18.8009,85.2208,67.9228,74.8144,1.09117,153.203,4.99331,3.64609,0.996779,9.99412,10.9454,3.1599,0.265664,0.122792,0.25145,0.488334,0.360418,0.441271,0.349895,0.801688,0.175607,4.85007,0.338393,0.0721754,-0.201511,90.2151,18.224,121.378,-0.129335,1.18517,15.222016409039496,-6.760235905647278,3.01128,52.02000045776367,3.86094,1.03483,0.563899,3.86094,-1.03483,4.24813,791.5,5.653571428,791.5,5.653571428,,,,,,,,,,,,,,,,,,,Roman Anthony,31812,701350,OF,Roman Anthony,10.78125293926698,27.0624694321068,1.7849983942195478,1.0474875618619452,1.222488081664345,0.5398556074480186,3.042911563460746,7.937122852785115,4.93721430821242,2.999908544572695,18.25,18.25,False,4,OF,OF 5
Brendan Donovan,SEA,131.519,565.197,502.269,134.554,93.5418,27.1903,1.00529,12.8167,65.2664,57.7397,48.1859,1.98628,78.4577,9.44641,3.55749,1.73807,9.28837,4.86356,2.32509,0.267893,0.0852551,0.138815,0.614164,0.341083,0.402583,0.32603,0.743667,0.134691,3.39809,0.29366,-0.108973,-0.964344,72.7365,5.95416,115.665,-1.07332,-0.807404,9.362162232398989,0.6133298873901367,3.01092,269.3500061035156,2.64896,0.126136,0.72257,2.64896,-0.126136,4.03657,635.1,4.811363636,635.1,4.811363636,,,,,,,,,,,,,,,,,,,Brendan Donovan,24679,680977,2B/OF,Brendan Donovan,11.437373751694192,14.176386265124624,1.0613061965333113,0.3808127196158877,0.8492697512291633,-0.08832278027552676,1.5939968007152998,4.418064053296507,4.290443792376481,0.12762026092002632,1.73,1.73,False,6,2B,2B 6
Rafael Devers,SFG,149.931,649.657,556.918,140.879,80.9969,28.4319,1.05453,30.3953,88.1606,90.9161,82.2164,9.88652,159.828,5.94327,4.04145,0.537967,11.3356,2.12967,0.876566,0.252961,0.126554,0.246019,0.514407,0.352845,0.471534,0.351943,0.824379,0.218573,2.77348,0.298011,-0.539571,-0.984485,97.2735,20.5115,126.474,-1.52406,0.713229,18.803731441497803,-11.894368529319763,2.95648,59.06999969482422,1.4419,0.16836,1.13577,1.4419,-0.16836,3.48564,866.5,5.776666666,866.5,5.776666666,,,,,,,,,,,,,,,,,,,Rafael Devers,17350,646240,3B,Rafael Devers,4.3659090067435615,23.936094820712007,1.8916170007804067,2.3391714612867127,2.0652099480110633,-0.37069959591249246,2.6913811356633186,9.244822779670052,4.432236963281538,4.8125858163885145,28.67,28.67,False,3,3B,3B 3
Riley Greene,DET,148.143,629.286,564.661,145.125,86.9391,27.2461,3.01655,27.9228,81.9717,88.4703,55.8958,1.88423,176.21,4.56077,3.9812,0.187212,9.41178,3.77068,1.22723,0.257012,0.0888242,0.280016,0.317211,0.326787,0.4643,0.339816,0.791087,0.207288,4.04741,0.321533,-0.124132,-0.709055,88.0277,13.6727,118.38,-0.833187,1.6712,12.798687040805817,-5.580606460571289,2.95449,78.01000213623047,2.58917,1.03322,0.88722,2.58917,-1.03322,3.81704,793.4,5.36081081,793.4,5.36081081,,,,,,,,,,,,,,,,,,,Riley Greene,25976,682985,OF/DH,Riley Greene,6.714051275885376,6.787606959842267,1.667162311976917,2.0637205158882668,1.975569524900383,-0.2012036841426637,0.7632004077878711,6.743048861387366,4.93721430821242,1.8058345531749458,11.38,11.38,False,5,OF,OF 6
Manny Machado,SDP,146.608,628.873,570.56,149.969,96.1453,26.9586,0.47816,26.3867,79.0927,88.1794,51.1892,3.81945,121.705,2.43806,4.47139,0.213868,12.2806,9.38786,2.62266,0.262845,0.0813984,0.193529,0.420601,0.323858,0.450511,0.332283,0.774369,0.187666,3.76826,0.28946,-0.543793,-0.159988,84.1237,9.81759,112.969,-0.703781,-1.52437,8.935926377773285,-1.8194787204265592,2.9057,37.599998474121094,2.35244,0.592621,0.570123,2.35244,-0.592621,4.23984,759.4,5.165986394,759.4,5.165986394,,,,,,,,,,,,,,,,,,,Manny Machado,11493,592518,3B/DH,Manny Machado,10.112269289436375,4.941183240728411,1.5627487572151262,1.892590001337589,1.9649078194940144,0.3789811079519894,0.5555880130640557,6.835735952583644,4.432236963281538,2.403498989302106,14.82,14.82,False,5,3B,3B 5
Brice Turang,MIL,148.719,633.146,566.171,145.601,102.602,25.0482,2.74184,15.2094,80.4347,67.0174,57.5875,1.13368,131.95,2.14878,4.06241,3.17612,8.22892,29.4715,6.26173,0.257169,0.0909546,0.208404,0.436435,0.325949,0.391686,0.314575,0.717635,0.134518,6.01489,0.308201,0.0387445,2.26579,75.5924,0.781334,101.834,2.30453,1.00222,3.680614829063415,3.4453253746032715,2.88428,50.900001525878906,2.16029,0.423873,1.02089,2.16029,-0.423873,3.63881,700.5,4.701342281,700.5,4.701342281,,,,,,,,,,,,,,,,,,,Brice Turang,22186,668930,2B,Brice Turang,6.820894643255254,6.29866535799106,1.6114194729116613,0.6473734787887332,1.1893044856694108,2.453371192995349,0.7082236785628238,7.049732804410472,4.290443792376481,2.7592890120339915,16.86,16.86,False,4,2B,2B 3
Yainer Diaz,HOU,130.474,518.651,488.837,131.584,86.7187,23.7073,1.40406,19.7539,57.7211,67.6913,22.1556,1.09552,89.5569,2.95545,4.15811,0.545119,11.5242,1.14062,0.448006,0.269178,0.0427177,0.172673,0.247391,0.302438,0.444649,0.319857,0.747088,0.175472,2.52124,0.291464,0.086138,-0.686374,64.1467,2.86412,105.456,-0.600236,-0.75635,2.7352325320243835,7.476034224033356,2.87113,110.56999969482422,1.97586,-0.0780327,0.823933,1.97586,0.0780327,3.90142,590.4,4.541538461,590.4,4.541538461,,,,,,,,,,,,,,,,,,,Yainer Diaz,23003,673237,C/DH,Yainer Diaz,11.759663706277978,-7.034357881689351,0.7876585429229815,1.1536573296939854,1.214003431263608,-0.47285615287189503,-0.7909451498287512,2.2659046408904726,3.475655594645327,-1.2097509537548543,0.0,0.0,False,7,C,C 7
Pete Alonso,BAL,152.66,654.824,575.787,145.176,80.3506,27.8205,1.07808,35.9273,84.9243,102.555,59.8656,4.42669,150.126,12.7389,6.22452,0.208057,12.1217,1.96117,0.903922,0.252136,0.0914225,0.229262,0.398769,0.332685,0.491389,0.350935,0.824074,0.239253,2.68819,0.275911,-1.1765,-0.958474,97.5113,20.1388,127.734,-2.13498,-1.65768,19.269651651382446,-14.019906878471376,2.84303,24.579999923706055,2.66543,-0.979091,1.44951,2.66543,0.979091,3.06732,881.3,5.760130718,881.3,5.760130718,,,,,,,,,,,,,,,,,,,Pete Alonso,19251,624413,1B,Pete Alonso,4.038806574902259,10.92521698105159,1.7742451399691588,2.955468581587704,2.4917844514630616,-0.38810354904697436,1.22843442533439,8.589899337223233,5.94346703347981,2.646432303743423,16.22,16.22,False,5,1B,1B 4
Kyle Schwarber,PHI,149.975,656.579,548.173,126.062,63.953,19.8366,0.971448,41.3007,96.8802,104.283,97.0398,4.29379,184.39,7.20028,3.59917,0.56718,7.13496,6.33035,1.96852,0.229967,0.147796,0.280834,0.526275,0.351063,0.495726,0.362558,0.846789,0.265759,3.60846,0.259938,-1.31017,-0.62208,103.969,26.3888,132.338,-1.93225,-1.30749,23.232837796211243,-17.319581747055054,2.83997,24.06999969482422,2.56618,-1.17947,1.95731,2.56618,1.17947,2.39025,924.5,6.163333333,924.5,6.163333333,,,,,,,,,,,,,,,,,,,Kyle Schwarber,16478,656941,OF,Kyle Schwarber,-8.307336603060905,23.02110662048453,2.2078533439901706,3.554096735279921,2.555116960717806,0.06317837354124901,2.588499608835648,11.493518662628041,4.93721430821242,6.556304354415621,38.7,38.7,False,2,OF,OF 3
Matt Olson,ATL,153.677,665.028,575.871,142.403,81.856,30.1239,1.02745,29.3954,86.9167,92.6052,79.2182,3.7514,159.523,5.37287,4.33383,0.231472,11.0793,0.99614,0.268323,0.247282,0.11912,0.239875,0.496593,0.341449,0.456296,0.344192,0.797745,0.209014,2.45623,0.28881,-0.847543,-0.984719,95.3902,16.8121,120.897,-1.83226,2.79339,14.63852870464325,-9.064369678497314,2.83404,48.77000045776367,2.83932,-0.322846,1.23845,2.83932,0.322846,3.34873,838.4,5.444155844,838.4,5.444155844,,,,,,,,,,,,,,,,,,,Matt Olson,14344,621566,1B,Matt Olson,1.244117951412888,16.92376798725426,1.846504107147829,2.22777675944489,2.127116742792423,-0.4877791389186008,1.9029131630037555,8.091818818715423,5.94346703347981,2.1483517852356124,13.35,13.35,False,5,1B,1B 4
Steven Kwan,CLE,147.102,644.761,575.958,156.525,118.645,26.5394,2.75728,8.58391,80.2242,54.2207,57.5655,1.26935,58.9148,4.38575,4.07319,2.7783,9.32829,17.634,4.68858,0.271765,0.089282,0.0913747,0.977098,0.340315,0.37213,0.315073,0.712445,0.100364,5.06931,0.288648,0.704569,0.422891,77.24,1.05654,102.771,1.12746,1.93211,3.232926368713379,2.0993772745132446,2.81604,169.27999877929688,2.50398,-0.765106,1.19727,2.50398,0.765106,3.40364,689.4,4.689795918,689.4,4.689795918,,,,,,,,,,,,,,,,,,,Steven Kwan,24610,680757,OF,Steven Kwan,15.34548562115604,15.676850269565733,1.6037852064033744,-0.09074481614673581,0.7202957349864273,1.2307047524646102,1.7627093892366432,5.64760674544822,4.93721430821242,0.7103924372358001,5.08,5.08,False,6,OF,OF 6
Andy Pages,LAD,139.665,573.624,524.212,134.032,81.6377,28.1941,1.67619,22.5238,72.8131,75.8709,35.2287,0.645497,126.975,8.3039,4.98125,0.8978,7.10018,9.89054,3.58763,0.255682,0.0614144,0.221356,0.277446,0.310034,0.444762,0.324765,0.754796,0.18908,4.64256,0.293678,0.277224,-0.31316,73.2317,5.4536,107.805,-0.0359354,1.05811,5.255412075668573,2.8124427795410156,2.81173,133.72000122070312,2.2691,-1.98909,0.259223,2.2691,1.98909,4.65437,672.0,4.8,672.0,4.8,,,,,,,,,,,,,,,,,,,Andy Pages,24816,681624,OF,Andy Pages,5.535894087778093,-3.4226975805863114,1.3350046243626985,1.4622403726299427,1.5137919687058032,0.4309016964483773,-0.38484906458088725,4.759062311714291,4.93721430821242,-0.17815199649812907,0.0,0.0,False,7,OF,OF 7
Nico Hoerner,CHC,145.934,606.998,554.862,154.418,117.763,26.8991,2.92897,6.8273,74.2272,55.6276,38.4845,1.00772,56.7136,9.04467,3.916,0.690892,9.70065,26.0009,6.30719,0.2783,0.0634013,0.0934329,0.678576,0.333077,0.37425,0.311562,0.707327,0.0959499,5.94861,0.29802,0.54807,1.53273,70.9856,-0.735909,98.7349,2.0808,3.41563,1.17319256067276,5.762516260147095,2.81146,104.11000061035156,2.37248,0.849047,1.50593,2.37248,-0.849047,2.99209,642.2,4.398630136,642.2,4.398630136,,,,,,,,,,,,,,,,,,,Nico Hoerner,21479,663538,2B,Nico Hoerner,18.40943939605448,10.365221472545812,1.3862902123406935,-0.2864414330107857,0.7718596859531524,2.0949014022028694,1.1654683751521153,5.524965710506131,4.290443792376481,1.2345219181296505,8.1,8.1,False,6,2B,2B 5
Masyn Winn,STL,143.86,611.729,558.803,140.044,96.2352,28.4138,2.39327,13.0013,72.625,60.0825,41.0747,0.172967,110.92,5.0463,4.13929,2.66532,8.3056,13.5451,3.72486,0.250613,0.0671454,0.181322,0.37031,0.305657,0.379826,0.300053,0.685483,0.129212,5.00965,0.289376,0.59306,0.244981,65.8225,-6.45792,90.8287,0.838041,5.84614,-5.792907893657684,12.506317138671877,2.8051,325.6000061035156,3.25112,0.711082,0.490188,3.25112,-0.711082,4.34642,593.2,4.119444444,593.2,4.119444444,,,,,,,,,,,,,,,,,,,Masyn Winn,27479,691026,SS,Masyn Winn,3.0686168521788217,-6.32760018791275,1.3281827453593316,0.40137823812773926,0.9351351462997749,0.8083722659863724,-0.7114771188586652,3.0652166603574575,6.2323935944793165,-3.167176934121859,0.0,0.0,False,7,SS,SS 7
