Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brady Singer","CIN",10,10,15,4.23738,29,29,0,0,,168,721,168,86,79,23,49,,7,156,8.37722,2.64979,3.16147,1.23268,0.216798,0.068575,0.14822274446487427,0.252484,1.29322,0.298406,0.70722,,,4.098,2.61967,2.44061,351.0400085449219,,,,,,,667.5000000000002,3.973214285714287,685,4.0773809523809526,,,,,,,,,,,,,,,,,,,"Brady Singer","25377",663903
"Shane McClanahan","TBR",8,6,15,3.61748,34,26,0,1,,159,642,138,70,64,18,45,,6,162,9.20736,2.56684,3.58704,1.02866,0.252583,0.0704155,0.1821674183011055,0.234224,1.1575,0.293019,0.720303,,,3.5846,2.61949,2.46434,122.87000274658203,,,,,,,771.4000000000001,4.851572327044026,736,4.628930817610063,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Spencer Schwellenbach","ATL",12,9,16,3.70367,29,29,0,0,,166,687,150,75,68,20,45,,7,158,8.58018,2.45936,3.48879,1.08064,0.230312,0.066015,0.16429724544286728,0.237139,1.1803,0.286014,0.722023,,,3.76412,2.60118,3.00464,83.52999877929688,,,,,,,752.4000000000001,4.532530120481928,730,4.397590361445783,,,,,,,,,,,,,,,,,,,"Spencer Schwellenbach","31846",680885
"Joe Ryan","MIN",11,8,16,3.60518,28,28,0,0,,155,632,131,68,62,23,37,,6,167,9.66213,2.13702,4.52132,1.35954,0.263801,0.058346,0.2054550237953663,0.222949,1.08302,0.270445,0.740653,,,3.81392,2.58051,2.75893,91.08999633789062,,,,,,,728.4999999999999,4.699999999999999,681,4.393548387096774,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Bryce Miller","SEA",12,9,18,3.49534,31,31,0,0,,171,702,146,72,66,22,46,,7,167,8.7805,2.42114,3.6266,1.14424,0.237348,0.0654465,0.17190159112215042,0.224382,1.1218,0.268973,0.739152,,,3.79764,2.55781,2.90737,77.31999969482422,,,,,,,790.2000000000002,4.621052631578948,744,4.350877192982456,,,,,,,,,,,,,,,,,,,"Bryce Miller","29837",682243
"Carlos Rodón","NYY",11,10,17,3.86309,31,31,0,0,,170,709,142,80,73,26,59,,7,189,10.0025,3.11991,3.20603,1.3665,0.266174,0.0830228,0.18315104395151138,0.221136,1.18363,0.271703,0.736115,,,4.08923,2.53937,2.49939,124.04000091552734,,,,,,,749,4.405882352941177,692,4.070588235294117,,,,,,,,,,,,,,,,,,,"Carlos Rodon","16137",607074
"Shota Imanaga","CHC",11,9,16,3.81037,29,29,0,0,,173,711,158,80,73,25,38,,7,167,8.68357,1.96699,4.41466,1.3096,0.234728,0.0531702,0.18155785650014877,0.236714,1.13055,0.279496,0.720875,,,3.90165,2.52938,2.60557,75.94000244140625,,,,,,,760.9000000000001,4.398265895953758,739,4.271676300578035,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
"Jared Jones","PIT",8,7,16,3.67949,36,28,0,1,,157,656,137,70,64,17,55,,7,158,9.08961,3.17288,2.86478,1.00285,0.241116,0.0841655,0.15695026516914368,0.231652,1.23095,0.287201,0.729723,,,3.78539,2.51216,2.94053,143.05999755859375,,,,,,,730.5,4.6528662420382165,698,4.445859872611465,,,,,,,,,,,,,,,,,,,"Jared Jones","27863",683003
"Ranger Suárez","PHI",7,6,15,3.96082,40,28,0,1,,163,685,156,79,72,18,51,,7,146,8.0394,2.79381,2.87757,0.983995,0.213049,0.0740378,0.13901128619909286,0.248824,1.26578,0.298223,0.705578,,,3.8611,2.46739,2.18837,259.2300109863281,,,,,,,701.1999999999999,4.301840490797545,703,4.3128834355828225,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"MacKenzie Gore","WSN",11,10,16,4.0924,31,31,0,0,,166,706,154,82,75,20,63,,8,171,9.29394,3.40143,2.73236,1.10379,0.242552,0.08877,0.15378166735172272,0.242643,1.30822,0.30151,0.71409,,,3.96608,2.41861,2.13721,201.5500030517578,,,,,,,711.0000000000001,4.283132530120483,699,4.210843373493976,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
