Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Dylan Cease","SDP",14,9,20,3.30828,32,32,0,0,,187,776,147,75,69,22,71,,8,221,10.6107,3.41215,3.10969,1.04065,0.284738,0.0915648,0.1931731402873993,0.210508,1.16152,0.275284,0.76031,,,3.58322,3.47635,3.98933,46.83000183105469,,,,,,,935.9999999999998,5.005347593582886,854,4.566844919786096,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Max Fried","NYY",12,9,17,3.41243,29,29,0,0,,175,726,154,72,66,17,52,,7,164,8.43557,2.66761,3.16222,0.870983,0.225883,0.0714318,0.15445143729448318,0.23164,1.17917,0.283048,0.733026,,,3.56536,3.47316,3.70058,100.72000122070312,,,,,,,836.5000000000001,4.78,805,4.6,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Tyler Glasnow","LAD",11,6,16,2.9356,24,24,0,0,,142,569,108,50,46,15,43,,6,172,10.9016,2.74292,3.97445,0.944842,0.301745,0.0759212,0.22582398355007172,0.206929,1.06383,0.2781,0.771741,,,3.14681,3.47135,3.97896,101.0199966430664,,,,,,,782.5,5.51056338028169,712,5.014084507042254,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Roki Sasaki","LAD",0,0,10,5.29412,24,24,0,0,,146,657,149,89,86,13,32,,4,129,7.94118,1.95882,4.05405,0.794118,0.195822,0.0483029,0.14751959219574928,0.240332,1.24118,0.284436,0.563158,,,3.29001,3.46336,0.105338,88.4000015258789,,,,,,,683.1,4.678767123287671,711,4.86986301369863,,,,,,,,,,,,,,,,,,,"Roki Sasaki","sa3025686",808963
"Corbin Burnes","ARI",13,9,19,3.41666,31,31,0,0,,187,769,163,77,71,19,54,,8,187,9.00177,2.6171,3.4396,0.918926,0.242942,0.0706308,0.17231103032827377,0.231157,1.16563,0.288086,0.734334,,,3.49064,3.40639,4.24007,38.90999984741211,,,,,,,914.3,4.889304812834224,876,4.684491978609626,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Aaron Nola","PHI",12,10,17,3.72096,31,31,0,0,,187,770,170,84,77,25,44,,7,186,8.95368,2.13968,4.18459,1.19126,0.241332,0.0576716,0.18366055563092232,0.237329,1.1502,0.287066,0.724054,,,3.73044,3.39705,3.38279,86.16999816894531,,,,,,,853.3,4.563101604278074,829,4.433155080213904,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Cristopher Sánchez","PHI",12,9,17,3.64452,29,29,0,0,,172,718,163,76,70,16,48,,7,152,7.9533,2.49481,3.18794,0.838947,0.211642,0.0663885,0.14525387436151505,0.246087,1.22626,0.2972,0.715461,,,3.56736,3.34378,3.24712,172.8699951171875,,,,,,,791.2,4.6000000000000005,791,4.598837209302325,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Yoshinobu Yamamoto","LAD",12,8,16,3.41171,28,28,0,0,,160,641,134,66,61,17,46,,7,167,9.39343,2.57893,3.64237,0.977498,0.260928,0.071637,0.18929143995046616,0.226942,1.12008,0.287604,0.729366,,,3.47234,3.26986,3.35903,58.02000045776367,,,,,,,801.5000000000001,5.009375,754,4.7125,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Sonny Gray","STL",13,9,18,3.61589,31,31,0,0,,180,739,161,79,72,20,51,,7,181,9.08682,2.57543,3.52827,0.990151,0.245626,0.0696167,0.17600972205400467,0.237161,1.18332,0.295557,0.723315,,,3.56012,3.2619,3.27222,106,,,,,,,855.4,4.752222222222222,828,4.6,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Jacob deGrom","TEX",12,7,16,3.0067,26,26,0,0,,132,515,99,48,44,16,33,,5,160,10.9455,2.23462,4.89816,1.09429,0.310511,0.0633935,0.24711784720420837,0.207423,1.00118,0.275441,0.765737,,,3.17563,3.2539,3.49539,42.619998931884766,,,,,,,728.6000000000003,5.519696969696971,658,4.984848484848484,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Blake Snell","LAD",13,8,18,3.27478,29,29,0,0,,161,670,120,64,59,18,71,,8,206,11.5256,3.99138,2.88762,1.01666,0.307656,0.106543,0.2011130452156067,0.202647,1.18761,0.277016,0.767576,,,3.54522,3.20197,3.6514,43.130001068115234,,,,,,,833,5.173913043478261,746,4.633540372670807,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Sandy Alcantara","MIA",11,9,16,3.71608,28,28,0,0,,176,730,170,79,73,19,40,,7,152,7.78325,2.02719,3.83943,0.967331,0.208626,0.0543377,0.1542879343032837,0.248374,1.18902,0.294456,0.710652,,,3.62888,3.19416,3.36528,168.5500030517578,,,,,,,789.7,4.4869318181818185,796,4.5227272727272725,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Hunter Greene","CIN",12,9,17,3.60977,29,29,0,0,,170,706,135,74,68,24,63,,8,202,10.6803,3.32383,3.21323,1.27568,0.285686,0.0889091,0.19677667319774628,0.212046,1.16238,0.270077,0.751402,,,3.87716,3.18133,3.79223,93.95999908447266,,,,,,,802.8,4.72235294117647,729,4.288235294117647,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Hunter Brown","HOU",12,9,17,3.55759,29,29,0,0,,167,705,149,72,66,17,59,,7,177,9.56973,3.16102,3.02742,0.913103,0.251795,0.0831714,0.16862372308969498,0.23309,1.24332,0.296955,0.736941,,,3.54577,3.07614,3.04384,98.79000091552734,,,,,,,795.3000000000001,4.7622754491017965,770,4.610778443113772,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
