Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Austin Riley","ATL",157,679,608,171,98,34,2,36,91,107,55,4,162,10,6,0,,2,1,0.280697,0.0815978,0.238248,0.342491,0.347045,0.52323,0.369663,0.870275,0.242533,2.97052,0.323052,0.0657521,-1.17887,111.936,32.5081,137.282,-1.11312,-3.73392,29.158352971076965,-1.3089227676391602,5.21148,30.829999923706055,,,,,,,994,6.331210191,994,6.331210191,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"José Ramírez","CLE",156,672,600,161,95,35,3,27,89,92,63,3,83,3,5,0,,34,8,0.26855,0.094205,0.122914,0.766428,0.339014,0.47555,0.349131,0.814564,0.207,5.85996,0.269992,1.02511,2.02883,99.6772,21.0679,130.62,3.05394,-0.727177,26.59798002243042,1.072823166847229,5.17135,5.230000019073486,,,,,,,914.2,5.86025641,914.2,5.86025641,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Francisco Lindor","NYM",159,686,611,155,95,30,2,28,84,89,59,3,130,10,5,0,,24,7,0.254057,0.0865275,0.188874,0.458124,0.327821,0.449128,0.335355,0.776949,0.195071,5.11596,0.276923,0.707021,0.807858,94.1476,13.9007,118.897,1.51488,2.77043,17.016812205314636,9.870425939559937,5.13618,15.34000015258789,,,,,,,851.6,5.355974842,851.6,5.355974842,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Kyle Tucker","CHC",154,665,576,160,94,33,3,30,94,94,80,4,98,3,6,0,,24,4,0.276999,0.121014,0.147069,0.822838,0.364919,0.500778,0.370207,0.865698,0.223779,5.51533,0.285598,0.85294,1.77213,109.92,32.1291,141.387,2.62507,-1.28532,35.53660225868225,-9.61032235622406,4.96471,8.130000114440918,,,,,,,998.2,6.481818181,998.2,6.481818181,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Michael Harris II","ATL",146,630,582,168,107,33,4,25,82,84,36,3,122,6,5,0,,20,4,0.288855,0.0576366,0.194018,0.297068,0.334534,0.483889,0.349619,0.818423,0.195034,5.74093,0.326141,0.955742,1.06352,93.6947,19.9985,123.791,2.01926,3.93697,19.942559957504272,6.18697190284729,4.86533,37.810001373291016,,,,,,,865.1,5.925342465,865.1,5.925342465,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"William Contreras","MIL",156,626,552,153,95,31,2,25,80,84,66,3,132,4,4,0,,7,2,0.276791,0.105118,0.210584,0.499172,0.355775,0.477085,0.358301,0.832861,0.200295,3.83805,0.31936,-0.796931,-0.669089,97.5365,24.2614,130.456,-1.46602,-2.41833,21.346894025802612,3.581667423248291,4.72891,23.979999542236328,,,,,,,858.8,5.505128205,858.8,5.505128205,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Corey Seager","TEX",126,546,486,137,82,26,1,28,71,83,52,3,93,4,4,0,,3,1,0.281781,0.0949623,0.169975,0.558685,0.353452,0.513609,0.369804,0.867061,0.231828,2.9186,0.294648,-1.20458,-0.860041,90.0725,26.2025,143.936,-2.06462,-1.66485,25.38383150100708,2.185145854949951,4.72704,51.599998474121094,,,,,,,796.4,6.32063492,796.4,6.32063492,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Manny Machado","SDP",154,665,605,166,101,31,1,33,80,98,53,3,126,2,5,0,,9,3,0.274222,0.0798363,0.189578,0.421127,0.331984,0.491289,0.351412,0.823273,0.217068,3.31114,0.294976,-0.724279,-0.587058,99.8596,22.0692,129.868,-1.31134,-0.484218,22.439804792404175,0.29078203439712524,4.63467,38.470001220703125,,,,,,,904.1,5.87077922,904.1,5.87077922,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Cal Raleigh","SEA",146,584,517,122,65,25,1,31,70,87,58,3,158,4,5,0,,4,2,0.236494,0.0998665,0.271161,0.368293,0.316252,0.468257,0.335976,0.784509,0.231763,3.11971,0.274581,-1.07768,-0.815128,80.4134,12.1216,126.503,-1.89281,1.15252,15.810746788978577,8.502520561218262,4.52094,86.80999755859375,,,,,,,723.8,4.957534246,723.8,4.957534246,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Mike Trout","LAA",120,518,448,120,63,21,2,32,76,85,60,3,136,7,3,0,,10,2,0.267492,0.115664,0.261799,0.441803,0.360251,0.543816,0.383274,0.904067,0.276325,5.00899,0.308662,-0.176243,0.00989654,91.0691,30.4745,151.621,-0.166346,2.09755,30.42962184548378,-3.9524474143981934,4.51788,132.52999877929688,,,,,,,811.5,6.7625,811.5,6.7625,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"Bryce Harper","PHI",154,665,572,159,90,35,1,32,90,100,84,4,144,4,4,0,,11,4,0.277014,0.126082,0.217029,0.580946,0.370914,0.509783,0.37683,0.880697,0.232769,3.78526,0.316361,-1.43529,-0.686898,113.464,35.6738,142.71,-2.12218,1.67032,31.840999364852905,-10.404677152633667,4.501,22.059999465942383,,,,,,,1000.1,6.494155844,1000.1,6.494155844,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Corbin Carroll","ARI",156,672,583,154,90,30,10,23,111,80,69,3,130,11,6,3,,39,8,0.263428,0.102849,0.192914,0.533131,0.349469,0.470244,0.352276,0.819712,0.206816,8.42434,0.298938,2.41703,3.24676,101.378,22.769,125.138,5.66379,1.9043,25.864194869995117,-4.695700526237488,4.49741,8.90999984741211,,,,,,,931.3,5.969871794,931.3,5.969871794,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Willy Adames","SFG",156,672,599,151,87,35,1,28,80,92,66,3,163,3,5,0,,14,5,0.252029,0.0985863,0.242662,0.40627,0.32698,0.452895,0.335985,0.779876,0.200866,4.10138,0.298743,0.692666,-0.430225,92.5666,13.9573,117.774,0.262441,-0.672988,14.545473158359528,6.52701210975647,4.4875,94.88999938964844,,,,,,,836.6,5.362820512,836.6,5.362820512,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Rafael Devers","BOS",157,679,599,165,93,37,2,32,92,102,67,3,145,7,5,0,,5,2,0.275026,0.0992806,0.212965,0.466183,0.352443,0.504203,0.366043,0.856646,0.229178,3.82168,0.310853,-0.257549,-1.00968,109.958,30.5295,135.477,-1.26723,-1.74389,26.2955185174942,-5.918888807296753,4.44212,34.619998931884766,,,,,,,970.4,6.180891719,970.4,6.180891719,,,,,,,,,,,,,,,,,,,"Rafael Devers","17350",646240
"Matt Chapman","SFG",157,679,597,145,79,34,3,29,87,94,70,3,182,8,4,0,,10,3,0.24237,0.102925,0.268452,0.383401,0.327215,0.455352,0.337348,0.782567,0.212982,4.52355,0.29619,1.34017,-0.610862,94.2759,14.8478,118.692,0.72931,1.70016,15.906206250190735,4.125157356262207,4.40405,132.02000427246094,,,,,,,847.9,5.400636942,847.9,5.400636942,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Riley Greene","DET",147,637,565,156,97,28,6,24,93,80,62,3,164,5,5,0,,8,2,0.275259,0.0975951,0.257384,0.379181,0.349084,0.475825,0.354029,0.824909,0.200566,5.47496,0.343582,0.389745,-0.440807,96.997,22.4819,134.013,-0.0510616,2.93771,24.73970413953066,-4.087293386459351,4.32601,112.51000213623047,,,,,,,860.2,5.85170068,860.2,5.85170068,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Carlos Correa","MIN",130,560,493,136,85,28,2,21,72,73,58,3,108,4,4,0,,2,1,0.275291,0.104034,0.191973,0.541918,0.354029,0.469458,0.35488,0.823487,0.194167,2.83156,0.310436,-0.445992,-1.17802,85.6552,20.1475,134.096,-1.62401,-1.90444,20.223341822624207,2.5955578088760376,4.28466,246.08999633789062,,,,,,,745.6,5.735384615,745.6,5.735384615,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Junior Caminero","TBR",146,630,586,160,98,28,3,31,79,91,35,2,139,4,5,0,,4,1,0.273202,0.0555091,0.221249,0.25089,0.316207,0.488871,0.342707,0.805078,0.215669,3.65816,0.307264,-0.183861,-0.8268,90.1896,16.4934,128.908,-1.01066,-0.0607579,19.827433228492737,0.5892421081662178,4.27756,78.79000091552734,,,,,,,821.5,5.626712328,821.5,5.626712328,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Oneil Cruz","PIT",146,630,565,149,83,31,4,31,86,93,56,3,180,4,5,0,,20,4,0.263497,0.0891003,0.285685,0.311883,0.331537,0.49454,0.352244,0.826077,0.231044,6.01838,0.329246,0.47717,1.16015,95.0255,21.3293,124.164,1.63732,-1.33131,19.841391801834106,0.5186929702758789,4.26947,43.63999938964844,,,,,,,880.3,6.029452054,880.3,6.029452054,,,,,,,,,,,,,,,,,,,"Oneil Cruz","21711",665833
"Ketel Marte","ARI",147,637,563,153,92,32,3,25,86,85,64,3,113,5,5,0,,7,2,0.272449,0.0999585,0.177095,0.564433,0.349187,0.477598,0.354941,0.826785,0.205149,4.59581,0.297696,-0.198109,-0.555459,97.4642,22.9492,126.931,-0.753568,-0.954127,19.76082855463028,-0.2791268229484558,4.20283,32.130001068115234,,,,,,,853.4,5.805442176,853.4,5.805442176,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Dansby Swanson","CHC",157,679,612,149,97,28,2,22,76,75,58,1,166,4,4,0,,16,4,0.242964,0.0860644,0.2446,0.351858,0.311174,0.401969,0.310946,0.713143,0.159005,4.71065,0.296143,1.57714,0.379454,79.8474,0.419303,101.5,1.95659,5.12283,3.1747645139694214,12.3978271484375,3.94355,175.33999633789062,,,,,,,727,4.630573248,727,4.630573248,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Trea Turner","PHI",156,672,623,172,115,32,3,22,80,80,40,2,130,5,4,0,,24,5,0.276791,0.0591372,0.192721,0.306854,0.323905,0.444395,0.331173,0.7683,0.167604,5.52386,0.316241,1.28016,1.56408,89.9642,11.355,111.979,2.84424,-4.39347,12.470526695251465,2.8065309524536133,3.88896,26.510000228881836,,,,,,,823.5,5.278846153,823.5,5.278846153,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Jackson Merrill","SDP",154,665,621,167,107,32,4,23,81,82,34,2,115,1,6,3,,16,4,0.268566,0.0510853,0.172767,0.295688,0.304806,0.44644,0.321241,0.751246,0.177874,5.49559,0.2939,0.181466,0.544538,83.7112,5.92082,109.561,0.726004,4.74426,8.328808069229126,6.91925835609436,3.86189,25.56999969482422,,,,,,,770.2,5.001298701,770.2,5.001298701,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Wyatt Langford","TEX",144,623,552,147,90,30,4,24,84,80,62,3,124,5,4,0,,21,5,0.267055,0.0995294,0.199519,0.498845,0.343581,0.463364,0.347575,0.806945,0.196309,5.77252,0.303245,0.533141,1.09119,91.6289,18.7516,128.3,1.62433,1.11264,21.797584772109985,-5.262357831001282,3.8526,45.83000183105469,,,,,,,833.5,5.788194444,833.5,5.788194444,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Bo Bichette","TOR",143,616,569,161,109,31,2,18,71,72,38,2,114,4,4,0,,11,3,0.282705,0.0624568,0.184654,0.338238,0.329904,0.441898,0.332952,0.771802,0.159193,4.42141,0.322805,0.317629,-0.109681,83.3494,11.2909,119.344,0.207948,-3.88854,13.842421427369118,2.7114572525024414,3.83042,128.02000427246094,,,,,,,741.6,5.186013986,741.6,5.186013986,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Brandon Lowe","TBR",123,532,469,117,66,23,2,26,69,76,52,2,133,7,3,0,,7,2,0.250182,0.0982719,0.249285,0.394215,0.331647,0.474459,0.346091,0.806106,0.224277,4.52406,0.291079,0.759869,-0.156932,77.6093,15.3769,131.288,0.602937,-1.76304,19.64867913722992,-0.3130449056625366,3.82852,234.27999877929688,,,,,,,693.4,5.637398373,693.4,5.637398373,,,,,,,,,,,,,,,,,,,"Brandon Lowe","18882",664040
"Shea Langeliers","ATH",128,506,458,109,60,21,2,26,62,73,40,1,136,4,4,0,,5,2,0.238834,0.078507,0.26948,0.291328,0.303055,0.46213,0.327427,0.765185,0.223296,4.09016,0.279104,-0.773757,-0.523962,66.2416,7.02728,118.08,-1.29772,1.1254,9.174155116081238,10.700395345687866,3.79535,126.43000030517578,,,,,,,605,4.7265625,605,4.7265625,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
"Adley Rutschman","BAL",146,586,510,131,87,26,1,16,69,62,68,2,93,3,5,0,,3,1,0.256747,0.115764,0.158632,0.729765,0.344947,0.407342,0.329845,0.752289,0.150595,2.85643,0.283339,0.428485,-1.14695,77.851,9.27848,118.435,-0.718462,-0.704708,11.6462242603302,5.445292234420776,3.78335,66.05999755859375,,,,,,,671,4.59589041,671,4.59589041,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Luis Robert Jr.","CHW",151,651,598,153,90,32,1,30,75,94,41,2,184,8,4,0,,28,7,0.25635,0.0624783,0.282828,0.220906,0.310679,0.465572,0.332528,0.776251,0.209222,5.07505,0.317218,0.39234,1.56454,87.8629,11.7101,117.187,1.95688,0.35203,14.758826851844788,0.07702994346618652,3.77349,86.11000061035156,,,,,,,819.9,5.429801324,819.9,5.429801324,,,,,,,,,,,,,,,,,,,"Luis Robert Jr.","20043",673357
