Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Logan Gilbert","SEA",12,10,19,3.36092,32,32,0,0,,196,793,171,80,73,24,44,,5,201,9.23652,1.99723,4.62467,1.11818,0.254145,0.0549541,0.1991906464099884,0.230206,1.09444,0.283476,0.748635,,,3.47299,3.48657,3.54933,24.639999389648438,,,,,,,965.6,4.926530612244898,923,4.709183673469388,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"George Kirby","SEA",12,10,18,3.42136,31,31,0,0,,179,729,168,74,68,21,27,,7,169,8.47406,1.33297,6.35727,1.07496,0.231111,0.0363538,0.194757342338562,0.241552,1.08744,0.289946,0.734747,,,3.39206,3.47305,3.12961,44.83000183105469,,,,,,,865.5000000000002,4.835195530726258,858,4.793296089385475,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Tyler Glasnow","LAD",10,6,14,3.31874,24,24,0,0,,140,562,112,56,52,17,40,,2,173,11.1104,2.54688,4.36235,1.0846,0.308009,0.0706063,0.2374029979109764,0.215438,1.08275,0.288153,0.745931,,,3.15121,3.46087,3.16628,101.0199966430664,,,,,,,755.7,5.397857142857143,699,4.992857142857143,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Blake Snell","LAD",11,7,17,3.45025,29,29,0,0,,160,666,123,66,61,18,70,,4,209,11.7904,3.96022,2.97721,1.02547,0.314089,0.105498,0.2085912823677063,0.208332,1.21252,0.288332,0.757843,,,3.41636,3.44437,3.39443,43.130001068115234,,,,,,,838.8,5.2425,762,4.7625,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Max Fried","NYY",12,9,17,3.42392,29,29,0,0,,174,722,158,72,66,17,50,,6,162,8.33883,2.57927,3.23302,0.87304,0.223859,0.0692415,0.15461762249469757,0.23803,1.19545,0.290496,0.735999,,,3.53639,3.38852,3.5187,100.72000122070312,,,,,,,823.7000000000003,4.733908045977013,805,4.626436781609195,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Michael King","SDP",13,9,18,3.46157,31,31,0,0,,178,748,154,74,69,20,63,,7,193,9.75019,3.18915,3.0573,1.00193,0.25834,0.0844992,0.17384041845798492,0.227305,1.2175,0.28887,0.754155,,,3.63563,3.33402,3.61619,61.63999938964844,,,,,,,846.8000000000001,4.757303370786517,806,4.52808988764045,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Sandy Alcantara","MIA",10,9,16,3.65019,28,28,0,0,,179,742,171,79,73,19,43,,7,157,7.88498,2.16281,3.64572,0.929683,0.211799,0.0580952,0.15370361134409904,0.247639,1.19547,0.296026,0.718289,,,3.59552,3.31339,3.54615,168.5500030517578,,,,,,,810.3000000000001,4.526815642458101,812,4.5363128491620115,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Framber Valdez","HOU",13,9,18,3.34628,29,29,0,0,,181,753,163,74,67,16,59,,9,171,8.47201,2.91312,2.90823,0.800825,0.226823,0.0779936,0.14882974326610565,0.237942,1.22235,0.294805,0.742598,,,3.56024,3.28082,3.7752,61,,,,,,,856.8000000000002,4.733701657458565,835,4.613259668508287,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Cristopher Sánchez","PHI",11,9,16,3.6803,29,29,0,0,,171,714,166,77,70,18,46,,6,147,7.73265,2.4409,3.16795,0.945239,0.205663,0.06492,0.140743188560009,0.25023,1.24055,0.297057,0.724536,,,3.72496,3.07708,3.14348,172.8699951171875,,,,,,,750.4,4.3883040935672515,759,4.43859649122807,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Reynaldo López","ATL",11,7,18,3.56507,31,31,0,0,,173,717,152,73,68,19,58,,4,184,9.59727,3.02026,3.17763,1.00786,0.256545,0.0807345,0.17581024020910263,0.231879,1.21587,0.293472,0.746284,,,3.57051,3.05053,3.65243,164.5500030517578,,,,,,,833.3,4.816763005780347,800,4.624277456647399,,,,,,,,,,,,,,,,,,,"Reynaldo Lopez","16400",625643
"Kevin Gausman","TOR",13,11,18,3.78648,32,32,0,0,,192,806,182,87,81,24,54,,4,189,8.85439,2.51466,3.5211,1.14846,0.234443,0.0665822,0.16786064207553864,0.243575,1.22883,0.294934,0.73868,,,3.7534,3.05006,2.95404,168.57000732421875,,,,,,,856.4000000000001,4.460416666666667,852,4.4375,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Gerrit Cole","NYY",11,9,17,3.82242,31,31,0,0,,183,756,163,84,78,27,51,,6,191,9.39809,2.48927,3.77545,1.31655,0.252396,0.066852,0.18554408103227615,0.233047,1.16886,0.282764,0.737059,,,3.9053,3.0296,2.79606,60,,,,,,,809.3,4.422404371584699,775,4.2349726775956285,,,,,,,,,,,,,,,,,,,"Gerrit Cole","13125",543037
"Hunter Greene","CIN",9,9,16,3.89885,29,29,0,0,,169,702,135,79,73,23,60,,16,195,10.3838,3.1861,3.2591,1.21175,0.278276,0.0853843,0.19289185851812363,0.215705,1.15216,0.27511,0.713866,,,3.94698,3.02803,3.13764,93.95999908447266,,,,,,,778.7000000000003,4.607692307692309,708,4.189349112426036,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Shane McClanahan","TBR",11,8,15,3.34508,34,26,0,1,,159,646,137,64,59,19,43,,3,172,9.7379,2.45069,3.97354,1.05746,0.266504,0.0670697,0.1994340941309929,0.228542,1.1336,0.289511,0.754505,,,3.4038,3.00373,3.08131,122.87000274658203,,,,,,,796.7,5.010691823899371,758,4.767295597484277,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Joe Ryan","MIN",10,9,15,3.7686,28,28,0,0,,158,643,138,71,66,22,36,,7,172,9.79546,2.06639,4.74037,1.26797,0.267108,0.0563475,0.21076064929366112,0.229478,1.10126,0.28444,0.719386,,,3.64998,2.9897,2.60242,91.08999633789062,,,,,,,754.8,4.777215189873417,719,4.550632911392405,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Roki Sasaki","LAD",11,7,14,3.47978,24,24,0,0,,135,548,111,56,52,17,40,,8,169,11.3188,2.65682,4.26028,1.15237,0.309068,0.0725464,0.23652144521474838,0.222407,1.12139,0.299753,0.745154,,,3.37884,2.98759,2.82541,88.4000015258789,,,,,,,695.3,5.15037037037037,648,4.8,,,,,,,,,,,,,,,,,,,"Roki Sasaki","sa3025686",808963
"Spencer Strider","ATL",9,6,13,3.24493,21,21,0,0,,119,484,92,46,43,13,37,,5,159,12.0391,2.8224,4.26555,0.998678,0.328871,0.0770994,0.25177180022001266,0.209299,1.09013,0.294303,0.748316,,,3.00573,2.96655,2.98371,117.27999877929688,,,,,,,673.5,5.659663865546219,618,5.19327731092437,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Justin Steele","CHC",10,7,17,3.45923,29,29,0,0,,166,686,152,69,64,17,45,,6,159,8.60379,2.4688,3.48501,0.93519,0.231205,0.0663427,0.16486217081546783,0.239527,1.19021,0.293784,0.740865,,,3.53829,2.96421,3.36478,120.72000122070312,,,,,,,789.1000000000001,4.753614457831326,774,4.662650602409639,,,,,,,,,,,,,,,,,,,"Justin Steele","17312",657006
"Tanner Houck","BOS",11,9,15,3.899,40,29,0,1,,178,756,173,84,77,17,54,,13,160,8.0753,2.73095,2.95696,0.855488,0.211726,0.0716028,0.14012355357408524,0.250723,1.27179,0.304292,0.704321,,,3.73435,2.89168,2.97031,216.8300018310547,,,,,,,781.3000000000002,4.38932584269663,792,4.449438202247191,,,,,,,,,,,,,,,,,,,"Tanner Houck","19879",656557
"Ranger Suárez","PHI",11,9,15,3.62006,40,28,0,1,,166,696,156,73,67,17,52,,5,149,8.0802,2.81622,2.86916,0.904736,0.213667,0.0744702,0.13919683545827866,0.244414,1.25598,0.294579,0.73218,,,3.7079,2.89154,3.01927,259.2300109863281,,,,,,,744.7000000000002,4.486144578313254,740,4.457831325301205,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Shota Imanaga","CHC",11,9,17,3.57524,29,29,0,0,,172,707,158,74,68,24,38,,6,174,9.09354,1.986,4.57882,1.24316,0.24572,0.0536646,0.1920558325946331,0.237969,1.13891,0.287849,0.750657,,,3.70122,2.88526,3.20564,75.94000244140625,,,,,,,782.8,4.551162790697674,764,4.441860465116279,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
