Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Chase Silseth","LAA",1.33751,1.12425,0,4.27998,31.445,3.814,0,0.6347,,55.262,236.522,48.4995,28.11,26.28,7.71295,22.8973,1.43324,3.05939,53.73,8.7505,3.72906,2.34657,1.25613,0.227167,0.0968082,0.13035877794027328,0.23033,1.29197,0.27351,0.714319,,,4.44545,0.273465,0.300113,732.6599731445312,,,,,,,217.8,3.9600000000000004,205,3.727272727272727,,,,,,,,,,,,,,,,,,,"Chase Silseth","30074",681217
"Nick Sandlin","TOR",2.37755,1.86899,0,3.97029,57.41,0.195,0,12.0715,,71.5188,301.819,55.9509,33.75,31.55,9.51825,31.5994,1.83531,4.7713,77.0857,9.70055,3.9765,2.43947,1.19779,0.255404,0.104697,0.15070737153291702,0.210779,1.22416,0.259626,0.72483,,,4.26658,0.272893,0.360826,750.8699951171875,,,,,,,355.20000000000005,4.933333333333334,321,4.458333333333333,,,,,,,,,,,,,,,,,,,"Nick Sandlin","20517",680704
"Richard Lovelady","TOR",0.967435,0.702967,0,3.58866,23.494,0,0,0.6576,,29.3675,122.81,26.0071,12.6,11.71,2.56253,9.39317,0.854266,1.42193,25.9072,7.93956,2.87864,2.75809,0.785317,0.210954,0.0764853,0.134468212723732,0.232216,1.20542,0.280688,0.716702,,,3.64128,0.272751,0.217543,999,,,,,,,136.10000000000002,4.6931034482758625,132,4.551724137931035,,,,,,,,,,,,,,,,,,,"Richard Lovelady","19337",663992
"Elvis Peguero","MIL",2.42786,1.72731,0,4.10006,52.928,0,0,9.1804,,66.16,282.628,60.6977,32.23,30.14,6.64246,25.335,1.46054,3.78923,57.1104,7.76895,3.44642,2.25421,0.9036,0.202069,0.0896409,0.11242835223674774,0.239435,1.30037,0.284875,0.701165,,,4.06587,0.272439,0.244413,999,,,,,,,306.70000000000005,4.646969696969697,302,4.575757575757576,,,,,,,,,,,,,,,,,,,"Elvis Peguero","21652",665625
"Keegan Thompson","CHC",1.82662,1.49322,-0.420561,4.07075,42.758,0.809,1,12.848,,52.5309,224.844,43.9854,25.49,23.76,6.42939,23.7227,0.932647,3.00639,54.9052,9.40679,4.06436,2.31446,1.10153,0.244193,0.105508,0.1386851668357849,0.22202,1.28892,0.274572,0.719133,,,4.19366,0.271696,0.324866,999,,,,,,,290,5.471698113207547,273,5.150943396226415,,,,,,,,,,,,,,,,,,,"Keegan Thompson","19795",624522
"Daniel Robert","TEX",1.31572,0.721878,0,3.84886,30.567,0,0,0.633,,38.2088,160.172,30.8107,17.48,16.34,4.85923,14.4936,0.753695,2.22725,41.6829,9.81832,3.41393,2.87596,1.14458,0.260238,0.0904876,0.16975077986717224,0.214782,1.18571,0.267793,0.722683,,,3.95077,0.270197,0.288627,999,,,,,,,179.1,4.713157894736842,165,4.342105263157895,,,,,,,,,,,,,,,,,,,"Daniel Robert","21229",642016
"Seranthony Domínguez","BAL",3.04993,2.08984,0,4.15055,60.073,0,5,11.7135,,75.0912,319.565,64.7026,37,34.63,9.83676,29.9717,1.26868,4.86699,75.8217,9.08755,3.59224,2.52978,1.17898,0.237265,0.0937891,0.14347632229328156,0.227245,1.26079,0.275614,0.712884,,,4.24185,0.269772,0.211944,609,,,,,,,383,5.1066666666666665,365,4.866666666666666,,,,,,,,,,,,,,,,,,,"Seranthony Dominguez","19249",622554
"Caden Dana","LAA",3.39035,4.52537,4.29552,4.9893,11.925,11.925,0,0,,62.1069,267.668,60.8107,36.78,34.43,11.6352,21.6327,0.160794,2.85435,51.6906,7.49056,3.13482,2.38947,1.68607,0.193115,0.0808191,0.11229541897773743,0.250064,1.32744,0.273418,0.690258,,,5.12017,0.269102,0.158349,573.8099975585938,,,,,,,181.59999999999994,2.929032258064515,183,2.9516129032258065,,,,,,,,,,,,,,,,,,,"Caden Dana","31508",702674
"Alexis Díaz","CIN",2.51931,2.03155,0,4.34014,61.646,0,23,3.1864,,77.0575,332.539,63.9041,39.64,37.16,9.98119,36.7235,1.88302,5.68388,82.0868,9.5874,4.28916,2.23526,1.16576,0.246848,0.110434,0.1364147588610649,0.220259,1.30588,0.27225,0.703807,,,4.37083,0.269082,0.0101172,148.19000244140625,,,,,,,442.4000000000001,5.745454545454547,417,5.415584415584416,,,,,,,,,,,,,,,,,,,"Alexis Diaz","21132",664747
"Michel Otañez","ATH",2.22991,1.8482,0,4.07996,53.93,0,1,13.0852,,67.4125,297.041,51.695,32.58,30.56,6.94139,43.4038,1.93773,5.62227,85.9064,11.4691,5.79469,1.97924,0.92672,0.289207,0.146121,0.1430865228176117,0.208435,1.4107,0.288422,0.732235,,,4.13816,0.267596,0.194847,744.5499877929688,,,,,,,356.49999999999994,5.320895522388059,326,4.865671641791045,,,,,,,,,,,,,,,,,,,"Michel Otanez","22533",671305
"Alex Wood",,3.49599,5.10743,3.56061,5.18633,11.966,11.101,0,0,,58.3418,258.957,62.2273,36.1,33.62,8.64721,23.1494,0.262105,4.17857,44.6461,6.88726,3.57111,1.9286,1.33395,0.172407,0.0893949,0.08301244676113129,0.26865,1.46339,0.300445,0.67253,,,4.96803,0.267143,0.00449519,999,,,,,,,166.30000000000007,2.867241379310346,182,3.1379310344827585,,,,,,,,,,,,,,,,,,,"Alex Wood","13781",622072
"Josh Sborz","TEX",1.03577,0.60127,0,4.03876,24.869,0,1,0.576,,31.0863,131.462,26.2649,14.94,13.95,3.63033,12.3108,0.504891,1.43548,35.3101,10.2229,3.56419,2.86821,1.05104,0.268596,0.0936457,0.17495030909776688,0.223122,1.24093,0.287332,0.705686,,,3.7395,0.266551,0.117936,999,,,,,,,152.6,4.922580645161291,143,4.612903225806452,,,,,,,,,,,,,,,,,,,"Josh Sborz","18323",622250
"Domingo Germán",,1.61228,2.32434,1.82756,4.86469,7.245,5.281,0,0,,32.9867,142.082,32.1267,19.06,17.83,5.27458,11.6846,0.193756,1.51324,26.4892,7.22724,3.18798,2.26703,1.4391,0.186436,0.0822381,0.10419803112745285,0.249268,1.32815,0.276483,0.679478,,,4.83941,0.265348,0.125776,999,,,,,,,109.50000000000004,3.3181818181818197,110,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Domingo German","17149",593334
"Graham Ashcraft","CIN",1.98917,2.08047,0.3208,4.32248,37.074,2.358,0,4.289,,52.6365,227.014,52.6587,27.1,25.28,5.68235,17.9488,1.17553,3.19715,40.6959,6.95834,3.06895,2.26733,0.971592,0.179266,0.0790644,0.10020111501216888,0.255788,1.34142,0.29454,0.694429,,,4.2288,0.263156,0.179546,726.7000122070312,,,,,,,215.60000000000002,4.067924528301887,222,4.188679245283019,,,,,,,,,,,,,,,,,,,"Graham Ashcraft","27552",668933
"Ryan Loutos","STL",0.911908,0.739542,0,4.01846,23.4,0,0,0.6474,,29.25,125.006,27.5208,14.01,13.06,2.69204,10.2943,0.93715,1.4103,27.323,8.40709,3.16749,2.65418,0.828322,0.218574,0.0823507,0.1362229809165001,0.242899,1.29283,0.298113,0.699199,,,3.69518,0.26301,0.113667,999,,,,,,,129.90000000000003,4.479310344827588,131,4.517241379310345,,,,,,,,,,,,,,,,,,,"Ryan Loutos","29521",702795
"Phil Maton",,2.97919,3.36163,0,4.37001,54.453,0,0,0,,68.0663,294.397,63.0799,35.5,33.05,8.22467,26.4111,1.40945,5.62419,66.3131,8.76819,3.49219,2.5108,1.0875,0.225251,0.0897127,0.13553821295499802,0.240431,1.31476,0.292057,0.692401,,,4.20077,0.260333,-0.0604074,750.8300170898438,,,,,,,277.00000000000006,4.0735294117647065,272,4,,,,,,,,,,,,,,,,,,,"Phil Maton","18064",664208
"Riley O'Brien","STL",1.61523,1.35012,0,4.19013,41.257,0,0,4.4024,,51.5713,224.571,43.845,25.65,24.01,5.17537,26.5582,1.45323,3.73064,54.3948,9.49276,4.63483,2.04813,0.903183,0.242217,0.118262,0.12395462393760681,0.225677,1.36516,0.287055,0.708595,,,4.12354,0.255492,0.111157,999,,,,,,,239.9,4.6134615384615385,226,4.346153846153846,,,,,,,,,,,,,,,,,,,"Riley O'Brien","20348",676617
"Hunter Stratton","PIT",0.762989,0.589059,0,4.07128,23.008,0,0,0.6021,,28.76,123.189,25.2948,13.89,13.01,2.85495,11.7187,0.538932,1.79285,27.5633,8.62552,3.6672,2.35207,0.893414,0.223748,0.095128,0.12861984968185425,0.230628,1.28698,0.283119,0.700361,,,3.9496,0.255325,0.113667,999,,,,,,,130.70000000000002,4.506896551724139,124,4.275862068965517,,,,,,,,,,,,,,,,,,,"Hunter Stratton","23455",676702
"Jalen Beeks",,2.12816,2.39476,0,4.31024,38.91,0.54,0,0,,47.9625,206.981,46.4211,24.63,22.97,5.53096,17.8589,0.999904,2.41031,42.4718,7.96969,3.35117,2.37818,1.03787,0.205197,0.0862832,0.11891379952430725,0.248625,1.34022,0.294792,0.701315,,,4.1624,0.253143,0.0554439,999,,,,,,,185.80000000000004,3.870833333333334,186,3.875,,,,,,,,,,,,,,,,,,,"Jalen Beeks","17192",656222
"Robert Suarez","SDP",2.43751,1.82156,0,4.17038,59.96,0,28,3.5655,,74.95,317.4,68.0347,37.25,34.73,10.1923,25.6977,1.74446,3.49626,69.5936,8.3568,3.08578,2.70816,1.22389,0.219261,0.0809631,0.13829819113016129,0.236062,1.2506,0.277527,0.7108,,,4.2458,0.250756,0.211944,89.20999908447266,,,,,,,464.2,6.189333333333333,454,6.053333333333334,,,,,,,,,,,,,,,,,,,"Robert Suarez","30115",663158
"Spencer Bivens","SFG",1.6838,1.27505,0.257667,4.07109,31.522,0.62,0,0.6315,,42.0698,178.935,39.2559,20.47,19.03,4.30484,14.5345,1.15914,2.21297,32.1839,6.8851,3.10937,2.21431,0.920934,0.179863,0.0812277,0.09863533079624176,0.242039,1.2786,0.278053,0.69761,,,4.16096,0.247958,0.251538,999,,,,,,,177.20000000000002,4.219047619047619,175,4.166666666666667,,,,,,,,,,,,,,,,,,,"Spencer Bivens","30226",702352
"Jhony Brito","SDP",1.79188,1.7653,0.652376,4.31657,28.051,2.484,0,0.5943,,43.5554,185.62,42.9099,22.43,20.89,5.17657,13.2338,0.850322,1.8992,31.5385,6.5169,2.73454,2.38318,1.06965,0.169909,0.0712949,0.0986139327287674,0.25169,1.28902,0.282072,0.689491,,,4.30566,0.246658,0.21628,748.469970703125,,,,,,,175.3,3.9840909090909093,178,4.045454545454546,,,,,,,,,,,,,,,,,,,"Jhony Brito","25386",666745
"Patrick Sandoval","BOS",0.713277,0.935978,-0.198264,3.78965,7.732,2.229,0,0.6474,,17.0042,73.1814,15.4573,7.74,7.16,1.40947,7.54572,0.397382,0.761202,16.5581,8.76388,3.9938,2.19437,0.746005,0.226261,0.10311,0.12315095961093903,0.238265,1.35279,0.299484,0.725782,,,3.76208,0.244921,0.194398,748.530029296875,,,,,,,85.50000000000001,5.029411764705883,83,4.882352941176471,,,,,,,,,,,,,,,,,,,"Patrick Sandoval","19447",663776
"Héctor Neris",,3.02932,3.32289,0,4.27993,54.27,0,3,0,,67.8375,290.491,59.1669,34.58,32.26,9.07992,28.2445,1.29281,3.8623,70.1201,9.30283,3.7472,2.48261,1.20463,0.241385,0.0972303,0.14415431022644043,0.228988,1.28854,0.279528,0.707252,,,4.25908,0.243449,0.0423282,741.3400268554688,,,,,,,298.1,4.383823529411765,282,4.147058823529412,,,,,,,,,,,,,,,,,,,"Hector Neris","11804",593576
"Zach Pop","TOR",1.46748,1.14841,0,3.89071,36.197,0,0,0.6576,,45.2463,191.604,42.5209,21,19.56,4.10552,14.5716,1.03478,2.73766,33.731,6.70948,2.89846,2.31484,0.816635,0.176045,0.0760506,0.09999452531337738,0.24396,1.26182,0.281517,0.702944,,,4.00274,0.24158,0.251462,999,,,,,,,190,4.222222222222222,191,4.2444444444444445,,,,,,,,,,,,,,,,,,,"Zach Pop","20185",647315
"Alex Lange","DET",1.45246,1.09799,0,4.08055,33.966,0,2,0.5785,,42.4575,184.21,35.6801,20.67,19.25,3.85445,21.9107,0.67825,3.05771,45.3726,9.61793,4.64456,2.0708,0.817053,0.246309,0.118944,0.12736469507217407,0.224063,1.35643,0.289286,0.707369,,,3.97359,0.241294,0.08978,744.3599853515625,,,,,,,197.00000000000003,4.690476190476192,187,4.4523809523809526,,,,,,,,,,,,,,,,,,,"Alex Lange","19883",656638
"Carlos Rodriguez","MIL",0.78866,1.08542,-0.237207,3.79727,8.704,2.374,0,0.5961,,18.7951,78.5609,15.2025,8.48,7.93,2.37245,7.00691,0.365319,1.03375,18.4052,8.81331,3.35525,2.62672,1.13605,0.23428,0.0891908,0.14508885890245438,0.215576,1.18166,0.257929,0.726886,,,4.13234,0.240419,0.309069,999,,,,,,,93,4.894736842105263,85,4.473684210526316,,,,,,,,,,,,,,,,,,,"Carlos Rodriguez","30161",692230
