Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,NameASCII,PlayerId,MLBAMID
"Sean Reid-Foley","NYM",2.72467,2.69384,0,3.77134,46.8928,0,0,8.9359,0.78095,48.7064,209.09,42.4445,22.1846,20.4098,5.05602,23.4563,0,1.45371,52.8076,9.75782,4.33428,2.25131,0.934256,0.252559,0.112183,0.14037591964006424,0.230451,1.35302,0.295991,0.743191,,,3.88186,0.249243,0.363796,999,0.75064,-2.84572,0.664086,0.75064,2.84572,4.11455,261.90000000000003,5.344897959183674,250,5.1020408163265305,"Sean Reid-Foley","17034",656887
"Huascar Brazobán","NYM",2.52807,2.46038,0,3.94142,48.6847,0,0.038525,7.40446,3.4109,54.6869,236.407,48.6332,26.0319,23.9494,5.2386,26.0563,0.780846,2.57812,55.7511,9.17514,4.28816,2.13964,0.862133,0.235827,0.110218,0.12560927867889404,0.23407,1.36576,0.295639,0.7224,,,3.94368,0.24485,0.272719,999,1.8378,-1.75664,0.580394,1.8378,1.75664,4.22614,271.1,4.92909090909091,263,4.781818181818182,"Huascar Brazoban","6107",623211
"Alexis Díaz","CIN",3.48731,4.05795,0,4.33278,62.3625,0,25.3602,2.87399,4.2425,63.5007,276.654,54.8472,33.2288,30.5705,8.26335,32.4126,1.16707,4.7904,67.7368,9.60039,4.59387,2.08983,1.17117,0.244844,0.11716,0.12768380343914032,0.229054,1.37416,0.285003,0.713835,,,4.48236,0.242767,0.265896,137.88999938964844,2.67278,1.20832,1.88251,2.67278,-1.20832,2.48999,394.20000000000005,6.159375000000001,378,5.90625,"Alexis Diaz","21132",664747
"Tyler Ferguson","ATH",3.34671,3.592,0,4.00921,60.6751,0,2.38173,15.7675,3.36494,64.5058,279.355,56.5465,31.234,28.7352,6.59486,31.8585,2.50065,3.23862,69.439,9.6883,4.44497,2.17961,0.92013,0.248569,0.114043,0.13452588021755219,0.231503,1.3705,0.296935,0.72211,,,3.97488,0.241496,0.131774,726.8200073242188,1.33362,-0.486798,0.475556,1.33362,0.486798,4.36593,353.7,5.441538461538461,341,5.246153846153846,"Tyler Ferguson","19481",621053
"Max Lazar","PHI",2.53348,1.77363,0,4.22343,37.6388,0,0,2.67919,1.01029,41.291,175.461,41.2828,21.0616,19.3766,5.10241,12.6917,0,1.3295,34.5395,7.52841,2.76634,2.72143,1.11215,0.19685,0.0723334,0.12451690435409546,0.255717,1.30717,0.297053,0.7028,,,4.11865,0.241428,0.0618067,999,2.14155,1.02592,0.719071,2.14155,-1.02592,4.04124,175.30000000000004,4.275609756097562,180,4.390243902439025,"Max Lazar","23426",676661
"Adam Ottavino",,1.70446,2.5475,0,4.0742,44.8068,0,1.94007,8.40272,1.99134,44.2768,190.1,39.8347,21.7865,20.0436,4.93742,18.0606,1.23416,3.45342,46.2974,9.41072,3.67111,2.56345,1.00361,0.243543,0.0950058,0.14853674173355103,0.236288,1.30758,0.297376,0.708252,,,3.98257,0.240027,0.094053,999,1.44839,0.377001,0.782051,1.44839,-0.377001,3.95727,231.10000000000002,5.252272727272728,226,5.136363636363637,"Adam Ottavino","1247",493603
"Hans Crouse","LAA",4.73767,3.64736,0,4.24787,59.461,0.302375,1.14943,6.29205,2.15632,62.4103,268.593,54.2813,32.0182,29.4568,8.66166,29.6854,2.45125,3.01225,72.1113,10.399,4.28084,2.42919,1.24907,0.268478,0.110522,0.1579563096165657,0.230108,1.3454,0.294088,0.72311,,,4.23156,0.239315,0.0535759,999,3.06292,1.82529,0.209426,3.06292,-1.82529,4.72076,281.69999999999993,4.543548387096773,267,4.306451612903226,"Hans Crouse","22192",668968
"Gabe Speier","SEA",1.53527,2.47984,0,3.82047,45.8224,0,0.00141685,11.905,1.15676,43.3127,182.774,38.3356,19.9849,18.3861,4.98994,16.0877,1.83577,2.31058,47.1489,9.79712,3.34288,2.93075,1.03687,0.257963,0.0880196,0.1699434593319893,0.233219,1.25652,0.297101,0.725976,,,3.76137,0.239289,0.0878584,999,3.24878,-0.70268,0.875379,3.24878,0.70268,3.83283,245.89999999999998,5.71860465116279,238,5.534883720930233,"Gabe Speier","17170",642100
"Justin Wilson","BOS",1.91999,3.70848,0,4.36779,49.2872,0,0.569151,7.45485,1.49831,46.1797,197.44,45.8261,24.3603,22.4115,6.88975,15.4506,0.746951,1.77991,48.794,9.50951,3.01119,3.15806,1.34275,0.247134,0.078255,0.16887890547513962,0.254294,1.32692,0.312679,0.715004,,,4.11214,0.23907,0.104364,999,3.8509,-0.925053,0.628102,3.8509,0.925053,4.16253,214.70000000000007,4.667391304347828,219,4.760869565217392,"Justin Wilson","4301",458677
"Michael Tonkin","MIN",3.57349,2.98412,0,4.10274,54.1914,0,0.268766,5.30364,1.60305,63.2757,269.456,58.6372,31.3531,28.8448,7.45822,22.8168,0.791538,3.86951,63.6699,9.05608,3.24534,2.79049,1.06082,0.236291,0.0846772,0.151613749563694,0.241535,1.28729,0.298174,0.705523,,,3.95155,0.237406,0.133029,999,1.26217,-1.80297,0.404485,1.26217,1.80297,4.46069,293.70000000000005,4.661904761904762,291,4.619047619047619,"Michael Tonkin","10315",543859
