Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,NameASCII,PlayerId,MLBAMID
"Lance Lynn",,8.3451,9.3186,10.9069,4.37825,25.92,25.92,0,0,,143.85,615.271,140.706,74.8879,69.9793,22.137,45.8685,0.531,6.2142,134.097,8.38975,2.86976,2.9235,1.385,0.217947,0.0745501,0.14339713752269745,0.249839,1.29701,0.291358,0.717861,0.38,,4.38883,1.57549,1.42779,583.8200073242188,,,,,,,540.4000000000001,3.752777777777778,546,3.7916666666666665,"Lance Lynn","2520",458681
"Jake Irvin","WSN",9.1935,11.1079,13.5514,4.33444,29.16,29.16,0,0,,168.845,719.714,168.739,87.5287,81.3165,24.1448,54.401,0.5276,7.4253,141.073,7.51964,2.89975,2.5932,1.287,0.196012,0.075587,0.12042506039142609,0.256486,1.32157,0.293491,0.716242,0.423,,4.45296,1.57416,1.81828,436.42999267578125,,,,,,,615.0000000000001,3.6390532544378704,632,3.739644970414201,"Jake Irvin","21504",663623
"Ronel Blanco","HOU",9.3368,9.8141,12.7604,4.35806,27.54,27.54,0,0,,159.671,687.941,150.094,82.9627,77.3174,23.1878,66.4359,0.3515,5.1823,157.967,8.90391,3.74471,2.37773,1.307,0.229622,0.0965721,0.1330500990152359,0.243531,1.3561,0.291625,0.725644,0.394247,,4.42133,1.55599,1.44669,238.25,,,,,,,614.1,3.8381250000000002,604,3.775,"Ronel Blanco","19407",669854
"Bowden Francis","TOR",9.1642,9.925,12.5986,4.34779,27.54,27.54,0,0,,158.484,674.976,153.835,81.6589,76.5619,25.7977,44.0672,0.3841,8.664,145.771,8.27804,2.50248,3.30793,1.465,0.215965,0.0652871,0.15067794173955917,0.247226,1.24872,0.284101,0.718504,0.344517,,4.44119,1.5487,1.30366,226.07000732421875,,,,,,,582.0000000000001,3.683544303797469,585,3.7025316455696204,"Bowden Francis","20548",670102
"Shane Bieber","CLE",5.8568,5.3099,8.0116,3.62133,24.58,14.58,0,0.6528,,95.664,398.512,91.4922,42.0056,38.4923,11.1077,23.0448,0.2738,3.2335,96.024,9.03387,2.16804,4.16684,1.045,0.240956,0.0578271,0.18312924727797508,0.245792,1.19728,0.303221,0.732742,0.466259,,3.49248,1.5385,1.49938,445.6400146484375,,,,,,,456.5000000000001,4.755208333333335,455,4.739583333333333,"Shane Bieber","19427",669456
"Shane Baz","TBR",8.6688,9.9171,10.8191,4.23786,43.3,24.3,0,0.6668,,156.519,669.995,147.873,79.1517,73.7007,21.8257,58.2385,0.7333,7.187,149.816,8.61453,3.34877,2.57245,1.255,0.223607,0.0869238,0.1366831213235855,0.244592,1.31684,0.29115,0.723189,0.395565,,4.31893,1.53848,1.24694,176.88999938964844,,,,,,,615.3999999999999,3.9197452229299357,608,3.872611464968153,"Shane Baz","22264",669358
"David Festa","MIN",6.6607,6.6094,7.0705,3.90042,40.2,16.2,0,0.6055,,112.029,474.6,102.357,52.5156,48.551,13.4185,40.1081,0.7543,4.5827,116.196,9.33475,3.22215,2.89706,1.078,0.244828,0.0845093,0.1603190153837204,0.238091,1.27169,0.296171,0.727282,0.428027,,3.84597,1.52217,1.29385,289.7900085449219,,,,,,,504.7000000000002,4.506250000000002,492,4.392857142857143,"David Festa","30056",701581
"Aaron Civale","MIL",8.1902,9.4256,10.5586,4.44677,25.92,25.92,0,0,,142.91,616.521,143.53,75.5429,70.6096,23.1672,42.5375,0.3428,6.4747,135.127,8.50989,2.67888,3.17666,1.459,0.219177,0.068996,0.15018093585968018,0.252912,1.302,0.294131,0.719405,0.381284,,4.41172,1.48634,1.31093,379.17999267578125,,,,,,,523.9000000000001,3.6636363636363645,539,3.769230769230769,"Aaron Civale","19479",650644
"DJ Herz","WSN",8.4887,9.0743,9.5288,3.99421,46.68,22.68,0,0.5962,,145.731,626.837,123.292,69.5257,64.6757,19.3175,70.5728,0.8278,6.8946,158.25,9.77312,4.3584,2.24236,1.193,0.252458,0.112586,0.1398722529411316,0.224424,1.33029,0.27965,0.745347,0.365634,,4.31263,1.45623,1.93421,322.3599853515625,,,,,,,612.9000000000001,4.197945205479453,569,3.8972602739726026,"DJ Herz","26389",687792
"Andre Pallante","STL",9.2067,9.535,11.4053,4.00671,45.3,24.3,0,0.6351,,158.215,682.945,162.85,77.733,70.4359,13.3604,63.842,1.036,5.7156,117.078,6.65992,3.63162,1.83387,0.76,0.171431,0.0934804,0.07795064151287079,0.265492,1.4328,0.309534,0.716192,0.577346,,4.10319,1.45126,1.71865,504.8599853515625,,,,,,,613.5,3.882911392405063,649,4.10759493670886,"Andre Pallante","26108",669467
"Jose Quintana",,9.5875,10.8253,13.8768,4.34533,29.16,29.16,0,0,,171.061,746.991,176.944,89.4658,82.5907,21.3636,62.9676,0.4736,7.2466,137.716,7.24563,3.3129,2.18709,1.124,0.184361,0.084295,0.10006599128246307,0.261451,1.40249,0.300524,0.7164,0.449,,4.41128,1.4462,1.70111,513,,,,,,,612.9000000000001,3.58421052631579,648,3.789473684210526,"Jose Quintana","11423",500779
"Chris Paddack","MIN",7.2859,7.6492,6.8968,4.09009,56.2,16.2,0,0.6055,,129.528,543.232,128.884,63.2022,58.8646,18.2923,30.9477,1.375,4.2204,118.675,8.24591,2.15034,3.8347,1.271,0.218462,0.0569696,0.16149196028709412,0.253677,1.23395,0.298013,0.71992,0.397557,,3.98447,1.42484,1.21293,599.2100219726562,,,,,,,542.2,4.170769230769231,553,4.253846153846154,"Chris Paddack","20099",663978
