Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,NameASCII,PlayerId,MLBAMID
"Carson Kelly","CHC",84.7913,307.142,273.314,63.5332,42.6906,10.9723,0.966947,8.90334,31.963,32.6279,27.221,0,61.7442,4.14489,1.98722,0.474963,5.80153,0.799533,0.246075,0.232455,0.0886268,0.201029,0.440867,0.309453,0.377403,0.303048,0.686857,0.144948,2.84501,0.266939,-0.249719,-0.52424,34.1659,-1.76293,95.1502,-0.773959,0.88467,-2.516768991947174,7.427205443382263,1.56402,530.3900146484375,1.95036,2.02733,0.817784,,,,302.5,3.558823529,302.5,3.558823529,"Carson Kelly","13620",608348
"Heliot Ramos","SFG",136.405,562.245,511.659,128.534,81.3423,23.3911,3.45592,20.3444,64.0455,68.4582,42.4724,1.05807,149.909,4.30689,3.31613,0.489918,14.1452,7.10374,2.23842,0.25121,0.0755408,0.266625,0.283322,0.312081,0.429719,0.320847,0.7418,0.17851,4.53649,0.313845,-0.424965,-0.488664,70.5976,4.82734,107.394,-0.91363,0.00118902,3.9505422711372375,-7.586672517936677,1.55917,211.7899932861328,0.916266,-2.85431,0.267344,,,,627.9,4.616911764,627.9,4.616911764,"Heliot Ramos","22515",671218
"Trevor Larnach","MIN",118.735,474.152,416.535,101.716,61.8247,20.379,1.22534,18.2871,60.6499,60.0302,50.5127,1.69926,123.683,3.1262,3.58545,0.393023,9.46055,3.84274,1.06568,0.244196,0.106533,0.260851,0.408404,0.32792,0.430713,0.329186,0.758633,0.186517,3.82403,0.299943,-0.696714,-0.560937,62.7191,7.25369,116.023,-1.25765,-1.0194,7.435311436653137,-8.323639154434204,1.54068,338.4599914550781,2.20018,1.18004,0.239329,,,,553.9,4.654621848,553.9,4.654621848,"Trevor Larnach","21501",663616
"Nolan Schanuel","LAA",137.526,577.11,494.331,127.356,91.5666,21.5873,1.04089,13.1615,69.7969,57.9943,68.9989,1.09199,94.8457,8.23068,4.00329,1.54658,10.5353,8.17388,1.8463,0.257634,0.119559,0.164346,0.727486,0.355453,0.385389,0.329295,0.740842,0.127756,4.00011,0.292562,-1.19231,-0.436577,76.3884,8.87918,113.651,-1.62888,-1.35094,7.385669112205505,-11.962517142295837,1.5142,310.32000732421875,2.78314,-1.04532,0.409211,,,,649.5,4.706521739,649.5,4.706521739,"Nolan Schanuel","33189",694384
"Jonah Heim","TEX",103.556,390.121,358.775,83.9702,55.5788,15.3586,1.00619,12.0266,40.7531,47.2148,26.0978,0.312049,72.9117,2.39483,2.29717,0.556807,9.24702,1.58796,0.396887,0.234047,0.0668966,0.186895,0.357937,0.288689,0.383029,0.292908,0.671718,0.148982,2.96989,0.260539,-0.172998,-0.504214,40.2126,-5.42303,89.8455,-0.677212,-1.31714,-5.209998786449432,6.673309564590454,1.49424,323.32000732421875,5.24855,0.447098,0.455642,,,,361.2,3.473076923,361.2,3.473076923,"Jonah Heim","16930",641680
"Jorge Soler","LAA",128.678,542.561,472.931,111.509,61.975,22.4446,1.04906,26.0406,70.8101,69.8219,59.4285,1.2003,138.473,6.15611,3.61273,0.432119,12.9693,0.939786,0.252667,0.235783,0.109533,0.255221,0.429171,0.326664,0.452864,0.3372,0.779528,0.217081,2.58787,0.273911,-1.52015,-0.911656,75.2673,11.7996,119.212,-2.43181,-0.952334,9.495049238204956,-13.302832067012787,1.47468,229.25,2.25655,-0.631815,0.867629,,,,665,5.155038759,665,5.155038759,"Jorge Soler","14221",624585
"Jesús Sánchez","MIA",131.99,516.598,464.55,117.127,72.0263,23.3706,2.11269,19.6172,60.251,65.548,43.6832,1.59715,132.838,4.36224,3.12696,0.875418,12.4167,10.4,2.50663,0.252129,0.0845594,0.25714,0.328846,0.320273,0.438218,0.327808,0.758492,0.186089,4.79503,0.309336,-1.20252,0.129754,67.7607,7.33006,107.682,-1.07277,-0.557001,3.6728124618530273,-6.66764760017395,1.46741,241.86000061035156,3.91931,-0.539023,0.268277,,,,610.9,4.628030303,610.9,4.628030303,"Jesus Sanchez","19913",660821
"Jake Meyers","HOU",113.156,412.991,372.916,86.2501,56.4491,17.4692,1.93768,10.3941,45.9255,45.3167,29.2556,0,100.45,6.66965,2.83596,1.31387,9.0872,8.52484,1.97527,0.231286,0.0708384,0.243226,0.291245,0.296775,0.37214,0.294005,0.668915,0.140855,5.19437,0.286349,0.508698,0.175916,42.9345,-5.37633,92.1448,0.684613,2.18127,-3.0273433923721313,3.2171740531921387,1.44146,458.9599914550781,4.01975,1.54974,0.532804,,,,382.8,3.387610619,382.8,3.387610619,"Jake Meyers","20308",676694
"Kristian Campbell","BOS",78.0302,309.974,272.491,72.3664,47.5416,15.6183,1.46091,7.7457,38.9895,34.5887,30.1024,0.161895,68.2395,4.24167,2.31686,0.821775,0,8.73292,2.71614,0.265573,0.0971126,0.220146,0.441128,0.345171,0.418889,0.334626,0.76406,0.153316,5.22066,0.325016,-0.0291819,0.0015324,42.3594,6.09921,113.378,-0.0276495,-0.95544,4.7171934973448515,-1.127463921904564,1.43792,999,5.08165,-0.612285,1.15456,,,,369.2,4.733333333,369.2,4.733333333,"Kristian Campbell","sa3023011",692225
"Dylan Crews","WSN",136.3,576.306,520.653,127.375,82.3285,25.3809,4.05525,15.6107,70.5452,61.7378,42.8935,0,123.535,7.66444,3.97953,1.11529,17.2567,28.0754,7.2906,0.244645,0.0744283,0.214357,0.347217,0.309346,0.398919,0.309378,0.708265,0.154274,6.6705,0.289931,-0.687633,1.61355,67.0434,-0.371734,98.2627,0.925919,0.933168,-0.2713484764099121,-5.0765498876571655,1.42974,137.75,2.30997,-1.56702,1.00679,,,,622.5,4.577205882,622.5,4.577205882,"Dylan Crews","33541",686611
