Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Zach DeLoach","CHW",9.027,31.901,28.8738,6.3803,4.41535,1.29592,0.115668,0.55336,3.0907,2.79133,2.51577,0.0298584,9.43495,0.299867,0.182763,0.0288293,0.506334,0.401398,0.123425,0.220972,0.0788618,0.295757,0.266644,0.288525,0.331361,0.27529,0.619886,0.110389,4.38517,0.305584,,-0.0265427,2.83591,-0.895803,76.9241,-0.0265427,0,-0.8688444513827562,-0.9751389026641846,-0.0806131,999,,,,,,,25.9,2.877777777,25.9,2.877777777,,,,,,,,,,,,,,,,,,,"Zach DeLoach","27471",676113
"Anthony Rizzo",,83.432,348.142,307.983,68.5141,45.97,12.3465,0.913952,9.28369,36.4776,36.9215,28.5114,1.26075,67.9093,8.94799,2.33431,0.365461,6.72691,2.57646,0.79805,0.222461,0.0818959,0.195062,0.419845,0.304717,0.358915,0.293565,0.663632,0.136454,3.72508,0.254073,,-0.456433,36.0696,-4.6554,88.6269,-0.456433,-0.86,-5.089028060436249,-7.297654032707214,-0.0812998,671.530029296875,,,,,,,320.4,3.860240963,320.4,3.860240963,,,,,,,,,,,,,,,,,,,"Anthony Rizzo","3473",519203
"Mitch Haniger","SEA",82.672,331.874,296.882,62.1564,39.9388,11.0046,0.727005,10.486,32.0147,37.7907,28.5822,0.319946,93.7944,3.88986,2.17081,0.349085,5.71081,0.388533,0.103154,0.209364,0.0861237,0.28262,0.304733,0.285434,0.35729,0.283646,0.642724,0.147926,2.20077,0.265286,,-0.533044,31.7347,-7.08726,89.6926,-0.533044,-0.29,-4.447091281414032,-7.460889369249344,-0.0872477,653.2999877929688,,,,,,,280.8,3.38313253,280.8,3.38313253,,,,,,,,,,,,,,,,,,,"Mitch Haniger","14274",571745
"Alexander Canario","CHC",43.815,141.915,129.993,26.9351,16.7133,5.32821,0.322204,4.57138,14.5545,16.3815,9.73558,0.106546,46.96,1.09422,0.802969,0.289236,1.94051,1.99604,0.564718,0.207204,0.0686015,0.330902,0.207317,0.266653,0.358649,0.273644,0.625302,0.151445,4.38849,0.28214,,-0.0460472,12.4278,-4.17315,76.393,-0.0460472,0,-4.0522317960858345,-1.5643186569213867,-0.0919832,744.469970703125,,,,,,,116.7,2.652272727,116.7,2.652272727,,,,,,,,,,,,,,,,,,,"Alexander Canario","22842",672744
"Tim Elko","CHW",11.7,46.18,43.2039,9.74803,6.68501,1.72121,0.0870697,1.25475,4.28418,4.93305,2.28892,0.067874,15.3848,0.412056,0.219033,0.056107,0.877577,0.0715305,0.025927,0.225629,0.0495652,0.333148,0.148778,0.269904,0.356626,0.273383,0.62653,0.130997,2.37998,0.31711,,-0.069737,4.0344,-1.36765,75.5827,-0.069737,0,-1.3599375486373901,-1.0833332538604736,-0.0933462,999,,,,,,,34.2,2.85,34.2,2.85,,,,,,,,,,,,,,,,,,,"Tim Elko","sa3020188",671284
"David Hensley","DET",20.39,54.844,49.3959,10.4886,7.26218,2.25283,0.163398,0.810172,5.31358,4.46907,4.88648,0.0415164,16.3251,0.225262,0.268273,0.0681161,1.08154,0.964458,0.277507,0.212337,0.0890977,0.297665,0.299322,0.284803,0.313765,0.267667,0.598568,0.101428,4.49057,0.297533,,-0.0168332,4.53897,-1.87658,67.2025,-0.0168332,0,-2.167786944657564,-0.6045414805412292,-0.0976975,999,,,,,,,39.1,1.955,39.1,1.955,,,,,,,,,,,,,,,,,,,"David Hensley","25111",682073
"Juan Yepez","WSN",32.729,129.52,118.175,27.9015,18.2664,5.90904,0.191476,3.53457,12.7855,14.9149,8.96184,0.0717023,24.9452,1.21049,0.975651,0.197114,2.43714,0.785413,0.244748,0.236103,0.0691927,0.192597,0.359261,0.294409,0.379075,0.294507,0.673484,0.142972,2.87401,0.268741,,-0.165926,13.5173,-1.63371,88.254,-0.165926,-0.01,-1.985165297985077,-3.312427530065179,-0.101671,617.22998046875,,,,,,,125.7,3.809090909,125.7,3.809090909,,,,,,,,,,,,,,,,,,,"Juan Yepez","18400",660766
"Ildemaro Vargas","ARI",59.236,187.113,172.532,39.9391,30.2795,7.72759,0.727501,1.20452,17.2907,14.2406,10.5847,0.3106,22.6206,0.960798,1.35919,1.67634,4.60905,2.96904,0.934747,0.231488,0.0565684,0.120893,0.467921,0.27764,0.305655,0.258144,0.583294,0.0741668,4.47483,0.258117,,-0.11242,14.0516,-7.83648,64.2605,-0.11242,0,-7.936645232141018,0.6875110268592834,-0.104812,750.719970703125,,,,,,,128.2,2.172881355,128.2,2.172881355,,,,,,,,,,,,,,,,,,,"Ildemaro Vargas","13324",545121
"Rece Hinds","CIN",24.381,60.735,56.1325,11.6068,6.81652,2.53041,0.254012,2.00584,6.71871,6.85281,3.62104,0.22684,23.3053,0.604506,0.316371,0.0605477,0.635286,1.50887,0.444704,0.206775,0.0596204,0.383722,0.155374,0.260939,0.368107,0.272532,0.629046,0.161332,5.80215,0.308338,,0.0363076,5.26437,-1.84029,66.625,0.0363076,0,-2.387628260999918,-0.6694775223731995,-0.106848,732.260009765625,,,,,,,57.5,2.395833333,57.5,2.395833333,,,,,,,,,,,,,,,,,,,"Rece Hinds","27493",677956
"Andrés Chaparro","WSN",26.612,106.784,97.3248,22.2411,14.2625,4.62214,0.171624,3.18482,10.2929,12.7809,7.33171,0.389772,23.9681,1.24396,0.797436,0.0860675,1.80122,0.535645,0.16241,0.228524,0.0686593,0.224454,0.305895,0.288822,0.377714,0.290231,0.666536,0.14919,2.95181,0.268514,,-0.13582,10.7769,-1.71447,85.3756,-0.13582,0,-2.0032505840063095,-2.6694135665893555,-0.115325,749.719970703125,,,,,,,94.8,3.511111111,94.8,3.511111111,,,,,,,,,,,,,,,,,,,"Andres Chaparro","21797",665953
"Adam Duvall",,63.431,241.702,221.151,44.31,23.812,9.29818,0.784659,10.4151,25.2706,31.4495,15.2133,0.0486135,74.0003,3.3845,1.60701,0.203302,2.35662,1.13604,0.339668,0.20036,0.0629423,0.306163,0.205584,0.260643,0.390786,0.282386,0.651429,0.190426,3.43919,0.245006,,-0.244693,22.867,-5.40681,80.9367,-0.244693,-0.7,-5.635671317577362,-3.6366202235221863,-0.125916,746.1900024414062,,,,,,,207.1,3.287301587,207.1,3.287301587,,,,,,,,,,,,,,,,,,,"Adam Duvall","10950",594807
"Sean Bouchard","COL",43.567,161.591,144.182,34.2896,20.6823,8.28474,0.640533,4.68206,19.0188,17.2572,14.3047,0.265985,44.8754,1.6612,1.125,0.318134,2.28508,3.40303,1.00309,0.237822,0.0885242,0.277709,0.318766,0.311618,0.401587,0.311255,0.713205,0.163765,5.02959,0.309218,,-0.0127936,19.0426,0.139956,86.0576,-0.0127936,0.02,-2.706913085654378,-3.952860575169325,-0.132054,744.1500244140625,,,,,,,173.2,3.936363636,173.2,3.936363636,,,,,,,,,,,,,,,,,,,"Sean Bouchard","21270",656248
"Nick Pratto","KCR",18.843,72.007,64.3047,13.1863,8.04251,3.09363,0.289536,1.76057,7.39266,7.11919,6.23789,0.129376,24.8749,0.824521,0.440005,0.199918,0.863549,0.827336,0.223094,0.205059,0.086629,0.345452,0.25077,0.281987,0.344309,0.276853,0.626296,0.13925,4.4768,0.299815,,-0.0430808,6.4918,-1.93144,74.066,-0.0430808,0.04,-2.1798148564994335,-1.510864220559597,-0.133258,999,,,,,,,59.2,3.115789473,59.2,3.115789473,,,,,,,,,,,,,,,,,,,"Nick Pratto","22117",668472
"Weston Wilson","PHI",33.338,112.948,102.442,20.7719,12.898,4.1171,0.221357,3.53537,12.3653,11.6649,8.80429,0.359309,34.1775,0.722256,0.660691,0.318391,1.41491,3.07672,0.881668,0.202766,0.0779499,0.302595,0.257605,0.269009,0.35081,0.271443,0.619819,0.148043,4.97041,0.263594,,0.0841142,9.691,-3.52144,71.7765,0.0841142,0.02,-3.7278710678219795,-1.4376801066100597,-0.14503,749.469970703125,,,,,,,97.7,2.96060606,97.7,2.96060606,,,,,,,,,,,,,,,,,,,"Weston Wilson","19358",642215
