Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId,weighted_zscore,auction_value
David Bednar,PIT,3.3036,3.1608,0.0,3.80854,66.0,0.0,29.533,3.1498,66.0,279.188,58.0959,30.0116,27.9293,7.73667,24.8862,,2.6721,70.9212,9.67107,3.39357,2.84982,1.055,0.254027,0.0891378,0.1648889258503914,0.230879,1.2573,0.291141,0.734164,0.370036,,3.79389,0.569994,0.555677,155.3800048828125,,,,19569,1.787765560064555,-4.906309876487014e+16
Chris Sale,ATL,13.8597,7.8576,19.9808,3.06831,30.78,30.78,0.0,0.0,186.772,754.33,152.245,69.4423,63.675,19.6318,46.9714,,8.9705,230.405,11.1025,2.26341,4.90521,0.946,0.305443,0.062269,0.2431739270687103,0.217995,1.06663,0.29578,0.755679,0.425511,,2.96425,4.4809,5.05359,34.790000915527344,,,,10603,1.7827826179664514,-4.892634784754625e+16
Trevor Megill,MIL,3.4389,2.9286,0.0,3.48334,65.0,0.0,27.983,2.1899,65.0,269.04,53.0419,27.0464,25.1575,7.58333,23.0279,,2.5989,79.9174,11.0655,3.18848,3.47046,1.05,0.297047,0.0855929,0.2114536613225937,0.217909,1.1703,0.291565,0.748985,0.373943,,3.40692,0.712642,0.723228,100.45999908447266,,,,17722,1.7724607577895997,-4.864307667563948e+16
Lucas Erceg,KCR,3.5825,2.981,0.0,3.41781,67.0,0.0,28.909,2.9168,67.0,281.987,57.5407,27.7606,25.4437,6.03,25.938,,3.6286,76.4674,10.2717,3.48421,2.94808,0.81,0.271174,0.091983,0.1791905462741851,0.227956,1.24595,0.303141,0.742545,0.448193,,3.37775,0.710265,0.827133,99.75,,,,19360,1.7715230305074003,-4.861734186605997e+16
Ben Joyce,LAA,3.4248,2.8449,0.0,3.33961,64.0,0.0,27.07,3.6063,64.0,269.247,50.2671,25.9208,23.7483,6.17956,29.8161,,3.6887,80.0845,11.2619,4.19289,2.68595,0.869,0.297439,0.110739,0.1866999417543411,0.213229,1.2513,0.294943,0.758239,0.447895,,3.4896,0.64093,0.782694,172.3300018310547,,,,31461,1.767322609957925,-4.850206632161696e+16
Andrés Muñoz,SEA,3.6094,2.7586,0.0,2.81879,65.0,0.0,28.538,2.7482,65.0,267.6,48.7294,22.5744,20.3579,5.33722,25.2788,,3.1298,84.2399,11.664,3.50014,3.33243,0.739,0.314798,0.0944649,0.2203329503536224,0.203726,1.13859,0.290027,0.773021,0.47833,,2.95309,0.825738,0.897515,63.91999816894531,,,,20373,1.7662482166933764,-4.8472580876753064e+16
Zack Wheeler,PHI,13.4939,9.3928,20.5951,3.31941,32.0,32.0,0.0,0.0,198.518,809.947,171.134,79.7855,73.2181,22.6972,50.9449,,8.6616,212.39,9.6289,2.30963,4.16901,1.029,0.262227,0.0628991,0.1993279755115509,0.228075,1.11868,0.288085,0.747721,0.426213,,3.41383,4.64195,4.75355,20.790000915527344,,,,10310,1.7609805236855458,-4.832801530950001e+16
Robert Suarez,SDP,3.4276,2.9398,0.0,3.59406,65.0,0.0,29.829,2.6684,65.0,270.158,57.0639,28.0743,25.9571,7.81444,21.9773,,2.2893,68.7166,9.51461,3.04301,3.12671,1.082,0.254357,0.0813498,0.1730072647333145,0.23207,1.21602,0.290797,0.748402,0.411584,,3.73501,0.533354,0.557421,69.58000183105469,,,,30115,1.7269076109314627,-4.739292475791784e+16
Logan Gilbert,SEA,12.2223,10.7457,20.3027,3.41282,32.0,32.0,0.0,0.0,198.742,807.565,175.972,81.7211,75.3633,24.9311,42.8155,,6.102,207.639,9.40289,1.93889,4.84962,1.129,0.257117,0.053018,0.2040989808738231,0.231955,1.10087,0.287108,0.745396,0.405621,,3.44613,3.52374,3.4748,26.670000076293945,,,,22250,1.7225198692243593,-4.727250840717295e+16
Félix Bautista,BAL,3.6843,2.3895,0.0,2.73989,62.0,0.0,25.563,3.6175,62.0,251.114,42.7318,20.5871,18.8748,5.82111,23.3596,,2.3233,90.1956,13.0929,3.39091,3.86118,0.845,0.359182,0.0930239,0.2661580219864845,0.189556,1.06599,0.285213,0.785344,0.387776,,2.72022,1.11365,1.08125,56.380001068115234,,,,20666,1.708492808440906,-4.688755241295716e+16
