Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId,weighted_zscore,auction_value
Rafelin Nivar,NYY,0.0407,0.0571,0.0,6.05871,1.0,0.0,0.0,0.0,1.0,4.873,1.0639,0.7168,0.67319,0.153333,0.8675,,0.0527,0.6854,6.1686,7.8075,0.790086,1.38,0.140653,0.178022,-0.0373691767454147,0.269151,1.9314,0.292404,0.707507,0.413069,,6.54961,-0.0235256,-0.0491724,999.0,,,,sa3018833,0.09586864580983465,-2631000922544020.5
Juan Reynoso,MIA,0.0366,0.0612,0.0,6.3495,1.0,0.0,0.0,0.0,1.0,4.866,1.0976,0.7491,0.7055,0.149667,0.8327,,0.0637,0.6491,5.8419,7.4943,0.779512,1.347,0.133395,0.171126,-0.037731185555458,0.276501,1.9303,0.298954,0.686438,0.415996,,6.50315,-0.0244814,-0.0448165,999.0,,,,sa3017790,0.09553212044252124,-2621765384226129.5
David  Landeta,HOU,0.0352,0.0718,0.0108,6.98562,0.6916,0.0656,0.0,0.0,1.0,4.934,1.168,0.8216,0.77618,0.170556,0.8578,,0.0531,0.5185,4.6665,7.7202,0.604453,1.535,0.105087,0.173855,-0.0687677413225174,0.290323,2.0258,0.29917,0.673858,0.427996,,7.0794,-0.0311815,-0.0496274,999.0,,,,sa3019523,0.0951889452325834,-2612347348889198.5
Steve Hajjar,PIT,0.0381,0.0662,0.0098,6.09228,0.7831,0.0461,0.0,0.0,1.0,4.805,1.0523,0.716,0.67692,0.158556,0.8052,,0.0473,0.7186,6.4674,7.2468,0.892449,1.427,0.149553,0.167575,-0.0180228948593139,0.266237,1.8575,0.290616,0.697942,0.343966,,6.348,-0.0224296,-0.0446018,999.0,,,,sa3018177,0.09515900755701964,-2611525745002321.0
Hunter Furtado,PIT,0.0377,0.0601,0.0,6.46677,1.0,0.0,0.0,0.0,1.0,4.943,1.1173,0.7628,0.71853,0.142333,0.9118,,0.0504,0.5822,5.2398,8.2062,0.638517,1.281,0.117783,0.184463,-0.0666801631450653,0.280672,2.0291,0.299412,0.69203,0.411162,,6.73901,-0.0267364,-0.0446113,999.0,,,,sa3023447,0.09483244428718612,-2602563604597154.0
Ovis Portes,CIN,0.0361,0.0781,0.0234,6.50565,0.45,0.117,0.0,0.0,1.0,4.778,1.1352,0.7653,0.72285,0.191667,0.7003,,0.0535,0.6767,6.0903,6.3027,0.9663,1.725,0.141628,0.146568,-0.0049393028020858,0.282093,1.8355,0.298981,0.682888,0.411394,,6.56615,-9.99029e-05,-0.000679999,999.0,,,,sa3019644,0.09433484424635447,-2588907563506483.5
Dylan Lesko,TBR,0.0374,0.0839,0.0436,6.06879,0.2018,0.1698,0.0,0.0,1.0,4.722,1.0271,0.713,0.67431,0.174333,0.7295,,0.0636,0.7717,6.9453,6.5655,1.05785,1.569,0.163427,0.15449,0.0089368969202041,0.261422,1.7566,0.285888,0.689968,0.350251,,6.26871,-9.99029e-05,-0.000679999,999.0,,,,sa3020677,0.0941989619055362,-2585178434331555.5
Jake Bird,COL,2.255,2.6399,0.0,4.63237,50.0,0.0,0.0,3.6253,50.0,219.877,52.7187,27.7428,25.7354,6.16667,20.3087,,3.0209,43.6394,7.85509,3.65557,2.1488,1.11,0.198472,0.0923639,0.1061079576611518,0.268224,1.46055,0.317239,0.703242,0.482855,,4.42401,0.0942084,0.174809,999.0,,,,21267,0.09302703984048526,-2553016427574781.0
Cristobal Abreu,ATL,0.0325,0.0829,0.0151,7.4043,0.4113,0.1253,0.0,0.0,1.0,4.975,1.2338,0.867,0.8227,0.189,0.8188,,0.0517,0.4496,4.0464,7.3692,0.549096,1.701,0.0903719,0.164583,-0.0742110460996627,0.300597,2.0526,0.301451,0.663087,0.402979,,7.33578,-9.99029e-05,-0.000679999,999.0,,,,sa3022169,0.09292062629035647,-2550096034299221.5
Danny Wilkinson,PHI,0.0437,0.0542,0.0,5.38803,1.0,0.0,0.0,0.0,1.0,4.669,0.9581,0.6368,0.59867,0.152556,0.7691,,0.0489,0.8734,7.8606,6.9219,1.13561,1.373,0.187064,0.164725,0.0223388224840164,0.248793,1.7272,0.285144,0.720391,0.361183,,5.8569,-0.0149636,-0.045974,999.0,,,,sa3020747,0.09281401824753528,-2547170303403121.0
José Ruiz,PHI,3.0052,2.8715,0.0,4.09036,60.0,0.0,0.0,9.6081,60.0,255.973,55.9295,29.3789,27.2691,8.04667,23.0388,,2.378,58.0838,8.71257,3.45582,2.52113,1.207,0.226914,0.0900048,0.1369089782238006,0.242585,1.31614,0.291213,0.732455,0.417626,,4.24464,0.112584,0.302172,999.0,,,,14552,0.09276264040334545,-2545760299597185.0
Kenta Maeda,DET,3.5603,3.6785,1.1631,3.89909,55.24,3.24,0.0,6.02,68.8686,287.646,64.5347,32.0071,29.8361,9.48091,17.3834,,2.8419,66.1989,8.65111,2.27173,3.80817,1.239,0.23014,0.0604333,0.169706854969263,0.241323,1.18948,0.287126,0.72709,0.368774,,3.91472,0.53526,0.433588,740.25,,,,18498,0.09276096180421034,-2545714232441070.0
Cam Booser,CHW,2.242,2.458,0.0,4.01704,48.0,0.0,0.0,0.5853,48.0,205.744,43.8362,22.9744,21.4242,6.69867,19.502,,1.7521,49.5595,9.29241,3.65663,2.54125,1.256,0.240879,0.0947877,0.1460917443037033,0.237608,1.31955,0.289613,0.748031,0.36839,,4.2441,0.122769,0.211242,999.0,,,,16061,0.09218431191158138,-2529888762219021.5
Josue Arias,MIA,0.026,0.0958,0.0285,6.89247,0.2068,0.1688,0.0,0.0,1.0,5.003,1.1706,0.8127,0.76583,0.148,0.9147,,0.0665,0.4955,4.4595,8.2323,0.541708,1.332,0.0990406,0.18283,-0.0837897211313247,0.291064,2.0853,0.302697,0.6776,0.441676,,7.04308,-9.99029e-05,-0.000679999,999.0,,,,sa3018350,0.0920661053304912,-2526644723239729.0
Jank Pichardo,HOU,0.031,0.0827,0.0168,7.13682,0.4682,0.1132,0.0,0.0,1.0,4.963,1.19,0.838,0.79298,0.175556,0.8546,,0.0536,0.4861,4.3749,7.6914,0.568804,1.58,0.0979448,0.172194,-0.0742494463920593,0.293479,2.0446,0.298969,0.670772,0.414999,,7.2011,-9.99029e-05,-0.000679999,999.0,,,,sa3022231,0.09158380705623259,-2513408620927062.5
Mathew Peters,CHC,0.039,0.0588,0.0,6.39981,1.0,0.0,0.0,0.0,1.0,4.864,1.1062,0.7549,0.71109,0.155111,0.8406,,0.0503,0.6305,5.6745,7.5654,0.750059,1.396,0.129626,0.172821,-0.043194904923439,0.278422,1.9468,0.298382,0.689101,0.417091,,6.59462,-0.0269816,-0.0496453,999.0,,,,sa3020629,0.09152756563451372,-2511865142022384.5
Erick Reynoso,ARI,0.0255,0.0948,0.0163,7.49682,0.2604,0.1574,0.0,0.0,1.0,4.963,1.2189,0.8753,0.83298,0.203556,0.8035,,0.0559,0.4512,4.0608,7.2315,0.561543,1.832,0.0909128,0.161898,-0.0709852874279022,0.297032,2.0224,0.294401,0.660231,0.369998,,7.4885,-9.99029e-05,-0.000679999,999.0,,,,sa3021749,0.09024168046496883,-2476575553452737.5
Johan Rodriguez,SFG,0.0328,0.0792,0.0187,6.78852,0.5242,0.1012,0.0,0.0,1.0,4.952,1.1548,0.8,0.75428,0.155889,0.8616,,0.0509,0.5432,4.8888,7.7544,0.630455,1.403,0.109693,0.17399,-0.0642972439527511,0.285877,2.0164,0.299038,0.676471,0.429872,,6.84414,-0.0328751,-0.0507336,999.0,,,,sa3021807,0.09015405935184392,-2474170896252058.5
Sam Long,KCR,2.9438,3.03,0.0,4.30802,61.0,0.0,0.0,11.9337,61.0,265.333,60.3315,31.3494,29.1988,7.686,24.8702,,2.3384,54.3752,8.02257,3.66937,2.18636,1.134,0.204932,0.093732,0.1111998781561851,0.253361,1.39675,0.299015,0.72342,0.389688,,4.35981,-0.0632394,0.200391,999.0,,,,25379,0.0900620336896377,-2471645361442246.0
Aneudis George,COL,0.0361,0.0616,0.0,7.19478,1.0,0.0,0.0,0.0,1.0,4.988,1.1938,0.8436,0.79942,0.177111,0.873,,0.0521,0.4665,4.1985,7.857,0.534364,1.594,0.0935245,0.17502,-0.0814955905079841,0.29383,2.0668,0.297339,0.672515,0.402003,,7.31122,-0.0332473,-0.0476629,999.0,,,,sa3016514,0.08992232143195866,-2467811124755797.0
Juan Sanchez,ATL,0.0414,0.0565,0.0,6.29955,1.0,0.0,0.0,0.0,1.0,4.84,1.1034,0.7431,0.69995,0.155111,0.7995,,0.0618,0.6636,5.9724,7.1955,0.830019,1.396,0.137107,0.165186,-0.0280784964561462,0.277327,1.9029,0.300092,0.688005,0.414951,,6.43962,-0.0255104,-0.0462655,999.0,,,,sa3018360,0.08891411252668027,-2440142030887857.5
Marc Church,TEX,2.2297,2.2752,0.0,4.30976,46.0,0.0,0.0,0.6344,46.0,199.307,43.2807,23.5865,22.0277,6.46556,19.2441,,1.9249,45.1424,8.83221,3.76515,2.34578,1.265,0.226497,0.0965551,0.129941739141941,0.242962,1.35923,0.29096,0.728186,0.378577,,4.41158,-0.0721467,-0.0507699,749.7899780273438,,,,26353,0.08866845760365838,-2433400323798554.5
Orlando Ribalta,WSN,2.1735,2.5256,0.0,4.58952,48.0,0.0,0.0,0.6015,48.0,210.434,45.016,26.1155,24.4774,7.104,23.5471,,2.0157,43.2143,8.10268,4.41508,1.83523,1.332,0.205358,0.111898,0.093460164964199,0.243499,1.4284,0.281763,0.724146,0.356287,,4.88756,-0.149389,-0.0697832,999.0,,,,26247,0.08841658525995455,-2426487986995940.0
Rudit Pina,ATL,0.0269,0.0949,0.0216,7.26678,0.2068,0.1688,0.0,0.0,1.0,4.947,1.1998,0.8511,0.80742,0.188778,0.819,,0.0529,0.48,4.32,7.371,0.586081,1.699,0.0970285,0.165555,-0.06852637976408,0.294422,2.0188,0.296808,0.665542,0.394982,,7.27629,-9.99029e-05,-0.000679999,999.0,,,,sa3022030,0.08832707702836762,-2424031540074309.0
Victor Cabreja,PIT,0.0367,0.0611,0.0,6.77448,1.0,0.0,0.0,0.0,1.0,4.99,1.1526,0.7972,0.75272,0.149556,0.9274,,0.0476,0.5109,4.5981,8.3466,0.550895,1.346,0.102385,0.185852,-0.0834669321775436,0.287073,2.08,0.299011,0.685761,0.40514,,7.0139,-0.0297402,-0.0446113,999.0,,,,sa3018342,0.08821202642904921,-2420874113259849.0
Carlos Hernández,KCR,2.3601,2.341,0.0,4.16487,48.0,0.0,0.0,0.6288,48.0,206.274,44.6012,23.7613,22.2126,5.968,19.6967,,1.7389,47.9854,8.99726,3.69313,2.43622,1.119,0.232629,0.095488,0.1371413841843605,0.241298,1.33954,0.295169,0.724609,0.357714,,4.12315,0.134406,0.196488,999.0,,,,22713,0.08805726728577346,-2416626932700541.5
Juan Severino,STL,0.0335,0.0738,0.0107,7.05501,0.6825,0.0675,0.0,0.0,1.0,4.981,1.1684,0.8285,0.78389,0.169889,0.8943,,0.054,0.4831,4.3479,8.0487,0.540199,1.529,0.0969886,0.179542,-0.0825536996126174,0.289731,2.0627,0.295443,0.676328,0.406653,,7.25374,-0.0338879,-0.0485637,999.0,,,,sa3016290,0.0870726456971353,-2389605164674295.0
Khristian Guevara,CIN,0.0323,0.0778,0.012,7.1991,0.5877,0.0877,0.0,0.0,1.0,4.962,1.2208,0.8444,0.7999,0.195667,0.8155,,0.0504,0.4779,4.3011,7.3395,0.586021,1.761,0.096312,0.164349,-0.0680370926856994,0.29804,2.0363,0.299525,0.676306,0.411989,,7.35205,-0.0291303,-0.0417032,999.0,,,,sa3019122,0.08621601975985205,-2366096085014006.5
Bryan King,HOU,3.1507,2.8245,0.0,3.76275,61.0,0.0,0.0,12.0796,61.0,260.35,55.6153,27.7599,25.5031,6.75744,24.5403,,3.0333,60.9695,8.9955,3.6207,2.48446,0.997,0.234183,0.0942589,0.1399239525198936,0.238922,1.31403,0.296019,0.74115,0.453679,,3.96367,0.262801,0.322867,999.0,,,,25890,0.08614612115013731,-2364177800833704.5
Chris Stratton,KCR,2.8129,3.0621,0.0,4.55991,60.0,0.0,0.0,10.3757,60.0,264.434,61.56,32.6366,30.3994,7.55333,25.5567,,2.3722,49.9264,7.48896,3.8335,1.95355,1.133,0.188805,0.0966468,0.0921579748392105,0.26029,1.45195,0.30167,0.711767,0.40527,,4.53527,-0.1316,-0.0509078,999.0,,,,13761,0.0861033050006553,-2363002762552571.0
Reimy Beltre,HOU,0.0318,0.0848,0.02,7.10271,0.3742,0.1332,0.0,0.0,1.0,4.907,1.1814,0.8334,0.78919,0.184333,0.8092,,0.0525,0.5128,4.6152,7.2828,0.633712,1.659,0.104504,0.164907,-0.0604035109281539,0.292043,1.9906,0.297795,0.667924,0.40893,,7.12231,-9.99029e-05,-0.000679999,999.0,,,,sa3008680,0.08548143965297805,-2345936407962746.0
Luis A. Reyes,CHC,0.039,0.0588,0.0,6.41241,1.0,0.0,0.0,0.0,1.0,4.852,1.1029,0.7554,0.71249,0.160556,0.8242,,0.0516,0.6329,5.6961,7.4178,0.767896,1.445,0.130441,0.169868,-0.039427027106285,0.277375,1.9271,0.296079,0.688295,0.403045,,6.6153,-0.0272134,-0.0496453,999.0,,,,sa3019049,0.08466948160544849,-2323653185392200.5
Daniel Palencia,CHC,1.9733,1.7491,0.0,3.66595,38.0,0.0,0.0,0.6185,38.0,161.29,31.7421,16.7603,15.4785,4.13778,17.3558,,1.8869,43.0119,10.187,4.11058,2.47824,0.98,0.266674,0.107606,0.1590681597590446,0.223461,1.29205,0.290885,0.74674,0.412071,,3.83741,0.151065,0.254714,999.0,,,,27914,0.08453101007651875,-2319852999030093.5
Hunter Mann,COL,0.0374,0.0604,0.0,6.53112,1.0,0.0,0.0,0.0,1.0,4.771,1.1738,0.768,0.72568,0.172222,0.6792,,0.0527,0.6564,5.9076,6.1128,0.966431,1.55,0.137581,0.14236,-0.0047788619995117,0.290609,1.853,0.311972,0.673123,0.418547,,6.28827,-0.0181572,-0.0353161,999.0,,,,sa3023231,0.08444320244040004,-2317443222927769.0
Justin Wilson,BOS,2.9107,2.6726,0.0,3.82739,57.0,0.0,0.0,7.2965,57.0,239.899,52.1405,26.0937,24.2401,7.011,19.6086,,2.3054,59.1471,9.33902,3.09609,3.01639,1.107,0.24655,0.0817369,0.1648130938410759,0.239193,1.25876,0.297243,0.737166,0.397985,,3.84351,0.503468,0.530684,999.0,,,,4301,0.08430082084917917,-2313535729558159.5
Jaison Brete,DET,0.0365,0.0667,0.0074,6.72822,0.8211,0.0381,0.0,0.0,1.0,4.91,1.1447,0.7918,0.74758,0.165222,0.8469,,0.0481,0.5584,5.0256,7.6221,0.659346,1.487,0.113727,0.172485,-0.0587576404213905,0.285106,1.9916,0.297589,0.681593,0.412999,,6.88257,-0.028577,-0.0476629,999.0,,,,sa3016771,0.08378207370503002,-2299299331377144.5
Ronny Lopez,CHC,0.0309,0.086,0.0211,7.02657,0.3659,0.1349,0.0,0.0,1.0,4.921,1.1741,0.8244,0.78073,0.180889,0.8201,,0.0511,0.5187,4.6683,7.3809,0.632484,1.628,0.105405,0.166653,-0.0612477213144302,0.289916,1.9942,0.296462,0.67193,0.398988,,7.09424,-9.99029e-05,-0.000679999,999.0,,,,sa3021754,0.08357713721717161,-2293675093295301.5
Daniel Keaney,TEX,0.0335,0.0797,0.0184,6.95736,0.4846,0.1096,0.0,0.0,1.0,4.91,1.1798,0.8163,0.77304,0.184889,0.7905,,0.0527,0.5396,4.8564,7.1145,0.682606,1.664,0.109898,0.160998,-0.0510997995734214,0.290105,1.9703,0.297672,0.67428,0.398862,,7.02044,-9.99029e-05,-0.000679999,999.0,,,,sa3023598,0.0831516121738923,-2281997064759734.0
Carlos Rey,ARI,0.0438,0.0541,0.0,5.46246,1.0,0.0,0.0,0.0,1.0,4.726,1.0182,0.6485,0.60694,0.124778,0.777,,0.0542,0.8197,7.3773,6.993,1.05495,1.123,0.173445,0.16441,0.009035125374794,0.261426,1.7952,0.302822,0.707616,0.412798,,5.64279,-0.0169609,-0.0455292,999.0,,,,sa3022732,0.08311972150231133,-2281121863220781.0
Kendal Meza,SEA,0.0293,0.0929,0.0269,7.00749,0.1903,0.1723,0.0,0.0,1.0,4.921,1.1778,0.8234,0.77861,0.175667,0.8238,,0.0515,0.5163,4.6467,7.4142,0.62673,1.581,0.104918,0.167405,-0.0624873042106628,0.291124,2.0016,0.298811,0.671084,0.414995,,7.04345,-9.99029e-05,-0.000679999,999.0,,,,sa3022125,0.08284666395952112,-2273628123834770.5
Carmen Mlodzinski,PIT,2.899,3.0744,0.0,4.21591,61.0,0.0,0.0,11.2135,61.0,263.499,59.4745,30.7857,28.5745,7.29967,23.8696,,2.5061,55.6444,8.20983,3.52174,2.33118,1.077,0.211175,0.0905871,0.120587944984436,0.250817,1.3663,0.299547,0.718752,0.418171,,4.19491,0.07743,0.183963,999.0,,,,27572,0.08280597458430644,-2272511452343030.5
Huascar Brazobán,NYM,2.775,2.5145,0.0,3.84216,54.0,0.0,0.0,7.0918,54.0,231.362,47.9431,25.0494,23.053,5.88,24.1808,,2.4504,54.4618,9.07697,4.03013,2.25227,0.98,0.235396,0.104515,0.1308814734220504,0.234176,1.33563,0.291318,0.736784,0.446437,,4.04444,0.117638,0.199833,999.0,,,,6107,0.08259959471602685,-2266847602402820.0
Tanner Rainey,PIT,1.8746,2.2369,0.0,4.83279,42.0,0.0,0.0,0.5909,42.0,184.697,40.7768,23.8874,22.553,6.53333,19.7542,,1.9598,37.2184,7.97537,4.23304,1.88408,1.4,0.201511,0.106955,0.0945559367537498,0.25019,1.44121,0.287202,0.713128,0.314882,,4.9674,-0.200924,-0.13891,999.0,,,,17610,0.08227007706607779,-2257804382550417.0
Noah Dean,BOS,0.0426,0.0765,0.0449,5.72346,0.2711,0.1551,0.0,0.0,1.0,4.726,1.0389,0.6789,0.63594,0.137333,0.756,,0.068,0.7837,7.0533,6.804,1.03664,1.236,0.165827,0.159966,0.0058612078428268,0.266248,1.7949,0.302441,0.696354,0.433819,,5.85641,-9.99029e-05,-0.000679999,999.0,,,,sa3020740,0.08177047948548184,-2244093521357529.5
Joseph Yabbour,CHW,0.0365,0.0612,0.0,6.25338,1.0,0.0,0.0,0.0,1.0,4.798,1.0872,0.736,0.69482,0.171333,0.779,,0.0503,0.6817,6.1353,7.011,0.875096,1.542,0.14208,0.162359,-0.0202792733907699,0.273944,1.8662,0.293955,0.694937,0.389951,,6.51831,-0.0214954,-0.0474294,999.0,,,,sa3021980,0.0814522719036283,-2235360692867620.5
Reny Artiles,CLE,0.0379,0.0599,0.0,6.42006,1.0,0.0,0.0,0.0,1.0,4.866,1.1182,0.7571,0.71334,0.158444,0.8066,,0.057,0.6301,5.6709,7.2594,0.78118,1.426,0.12949,0.165762,-0.0362720787525177,0.279382,1.9248,0.298631,0.685681,0.416961,,6.55686,-0.026818,-0.0504424,999.0,,,,sa3008716,0.08135628320242366,-2232726397167604.0
Jose Varela,HOU,0.0319,0.0883,0.0258,6.96087,0.2505,0.1595,0.0,0.0,1.0,4.858,1.1679,0.8163,0.77343,0.187778,0.7651,,0.0504,0.5565,5.0085,6.8859,0.727356,1.69,0.114553,0.157493,-0.0429394766688346,0.288905,1.933,0.297167,0.668638,0.395247,,6.94109,-9.99029e-05,-0.000679999,999.0,,,,sa3021987,0.08123165006089947,-2229305988883334.0
Pedro Avila,CLE,2.8354,2.8449,0.0,3.96651,58.0,0.0,0.0,10.4119,58.0,249.785,55.5897,27.7608,25.562,6.54756,22.3235,,2.6437,56.1708,8.71616,3.46399,2.51622,1.016,0.224877,0.0893709,0.1355057284235954,0.247266,1.34333,0.302544,0.729525,0.45924,,3.98852,0.107017,0.110257,999.0,,,,18864,0.08121706353052899,-2228905678911942.8
Sunayro Martina,NYY,0.0341,0.0798,0.0196,6.91542,0.4624,0.1144,0.0,0.0,1.0,4.937,1.1659,0.8132,0.76838,0.184,0.8262,,0.0593,0.5312,4.7808,7.4358,0.642944,1.656,0.107596,0.167349,-0.059752881526947,0.28777,1.9921,0.294308,0.679677,0.419029,,7.15258,-9.99029e-05,-0.000679999,999.0,,,,sa3022106,0.08069564440731072,-2214595951444418.5
Jorge Gonzalez,LAD,0.0421,0.0558,0.0,6.21819,1.0,0.0,0.0,0.0,1.0,4.782,1.0844,0.7322,0.69091,0.172778,0.759,,0.0559,0.6973,6.2757,6.831,0.918709,1.555,0.145818,0.15872,-0.0129025429487228,0.273348,1.8434,0.294354,0.693845,0.395866,,6.46269,-0.0224305,-0.0485605,999.0,,,,sa3009504,0.08067508723749306,-2214031784377091.2
Jimmy Reyes,SDP,0.0306,0.082,0.0127,7.41708,0.5086,0.1046,0.0,0.0,1.0,4.986,1.2056,0.8686,0.82412,0.191778,0.8692,,0.0581,0.4253,3.8277,7.8228,0.489301,1.726,0.0852988,0.174328,-0.0890292823314666,0.297041,2.0748,0.294577,0.66777,0.40424,,7.59089,-0.0358732,-0.050061,999.0,,,,sa3022277,0.08066967316227253,-2213883201524171.5
Koen Moreno,CHC,0.0402,0.0577,0.0,6.09075,1.0,0.0,0.0,0.0,1.0,4.805,1.0571,0.7191,0.67675,0.153556,0.8105,,0.0607,0.7001,6.3009,7.2945,0.863788,1.382,0.145702,0.168678,-0.0229760706424713,0.268722,1.8676,0.293345,0.694956,0.403043,,6.3761,-0.0245271,-0.0496453,999.0,,,,sa3014509,0.0800125902889198,-2195850343842963.5
Cristian Hernandez,MIN,0.0284,0.0936,0.0245,7.11918,0.2018,0.1698,0.0,0.0,1.0,4.919,1.1874,0.8345,0.79102,0.185778,0.8031,,0.0517,0.5054,4.5486,7.2279,0.629311,1.672,0.102744,0.163265,-0.0605204254388809,0.292161,1.9905,0.296951,0.668049,0.396003,,7.13519,-9.99029e-05,-0.000679999,999.0,,,,sa3021788,0.07984101950490247,-2191141787805501.5
Jesus Rivero,MIL,0.0372,0.0781,0.0281,6.24258,0.4113,0.1253,0.0,0.0,1.0,4.752,1.0751,0.7328,0.69362,0.183,0.6902,,0.0787,0.7322,6.5898,6.2118,1.06085,1.647,0.154083,0.145244,0.0088384002447128,0.269915,1.7653,0.290785,0.684183,0.364002,,6.38778,-9.99029e-05,-0.000679999,999.0,,,,sa3017012,0.07910579034502468,-2170964298266776.5
Will Stevens,TBR,0.0377,0.06,0.0,6.40494,1.0,0.0,0.0,0.0,1.0,4.878,1.1044,0.7564,0.71166,0.149556,0.8616,,0.0536,0.6084,5.4756,7.7544,0.706128,1.346,0.124723,0.17663,-0.051906518638134,0.278692,1.966,0.297938,0.688594,0.43153,,6.6395,-0.0278222,-0.0520911,999.0,,,,sa3023001,0.07904336983647517,-2169251241675727.5
Diego Palmero,DET,0.026,0.0958,0.0205,7.3332,0.2068,0.1688,0.0,0.0,1.0,4.987,1.2197,0.8606,0.8148,0.178667,0.8462,,0.0603,0.4383,3.9447,7.6158,0.517963,1.608,0.0878885,0.169681,-0.0817926600575447,0.298909,2.0659,0.30057,0.663797,0.424999,,7.33205,-9.99029e-05,-0.000679999,999.0,,,,sa3021573,0.07868124893871054,-2159313264477415.2
Christopher Hernandez,TEX,0.0298,0.0914,0.0263,6.9912,0.22,0.166,0.0,0.0,1.0,4.907,1.1755,0.8207,0.7768,0.179667,0.8043,,0.0527,0.5256,4.7304,7.2387,0.653488,1.617,0.107112,0.163909,-0.0567964166402816,0.290247,1.9798,0.297732,0.670672,0.404009,,7.02195,-9.99029e-05,-0.000679999,999.0,,,,sa3024217,0.07832769657166078,-2149610440409985.5
Nick Hernandez,HOU,2.343,2.3579,0.0,4.3205,48.0,0.0,0.0,0.6365,48.0,205.656,44.0311,24.5579,23.0427,7.36533,18.7511,,2.3093,47.4059,8.88861,3.51583,2.52817,1.381,0.230511,0.091177,0.1393336355686187,0.238527,1.30796,0.282426,0.728488,0.344307,,4.50229,0.00249308,-0.05849,999.0,,,,19281,0.07827445954790252,-2148149413632792.0
Keuri Almonte,PIT,0.0307,0.0911,0.0292,6.86817,0.2018,0.1698,0.0,0.0,1.0,4.958,1.1591,0.808,0.76313,0.164556,0.8729,,0.0601,0.5122,4.6098,7.8561,0.58678,1.481,0.103308,0.176059,-0.0727511048316955,0.287975,2.032,0.297035,0.679388,0.412013,,7.0803,-9.99029e-05,-0.000679999,999.0,,,,sa3021779,0.07667133406206117,-2104153542025625.5
Deybi Salcedo,BOS,0.0278,0.0924,0.0194,7.32285,0.2604,0.1574,0.0,0.0,1.0,4.909,1.2311,0.8577,0.81365,0.183889,0.7715,,0.049,0.4706,4.2354,6.9435,0.609981,1.655,0.0958647,0.15716,-0.0612955689430236,0.301113,2.0026,0.304953,0.656045,0.408056,,7.07734,-9.99029e-05,-0.000679999,999.0,,,,sa3022389,0.07643796107955109,-2097748898180975.5
Angel Beltran,ARI,0.0272,0.0927,0.0196,7.31124,0.2653,0.1563,0.0,0.0,1.0,4.954,1.2126,0.8563,0.81236,0.189111,0.8142,,0.0532,0.4592,4.1328,7.3278,0.563989,1.702,0.0926928,0.164352,-0.0716592594981193,0.296726,2.0268,0.297674,0.664285,0.397992,,7.30872,-9.99029e-05,-0.000679999,999.0,,,,sa3024556,0.07618372277189714,-2090771630312704.8
Bladimir Pichardo,PIT,0.0313,0.0822,0.0168,7.11486,0.4772,0.1112,0.0,0.0,1.0,4.958,1.1933,0.8357,0.79054,0.174444,0.8462,,0.0549,0.4774,4.2966,7.6158,0.564169,1.57,0.0962888,0.170674,-0.074384830892086,0.294141,2.0395,0.299218,0.670537,0.418995,,7.18276,-9.99029e-05,-0.000679999,999.0,,,,sa3022123,0.07618047253694582,-2090682431481500.5
Keegan Zinn,CLE,0.0301,0.0889,0.0233,7.03926,0.2958,0.1498,0.0,0.0,1.0,4.92,1.1824,0.8262,0.78214,0.179556,0.8109,,0.0546,0.5097,4.5873,7.2981,0.628561,1.616,0.103598,0.164817,-0.0612195059657096,0.291627,1.9933,0.298,0.670007,0.406005,,7.0778,-9.99029e-05,-0.000679999,999.0,,,,sa3023088,0.07510047309045728,-2061043131624331.5
Casey Legumina,CIN,2.5715,2.9113,0.0,4.78613,56.0,0.0,0.0,6.8102,56.0,243.69,58.3089,31.8104,29.7804,9.30222,19.9373,,2.548,47.0995,7.56956,3.20421,2.36238,1.495,0.193276,0.0818142,0.1114621013402938,0.263597,1.39725,0.297365,0.711953,0.410986,,4.84837,-0.216243,-0.0964442,999.0,,,,25921,0.07487829562377647,-2054945735391519.5
Luis Sánchez,BAL,0.041,0.0568,0.0,6.05466,1.0,0.0,0.0,0.0,1.0,4.794,1.0717,0.7153,0.67274,0.155556,0.783,,0.0598,0.7062,6.3558,7.047,0.901916,1.4,0.147309,0.163329,-0.0160200148820877,0.271234,1.8547,0.29654,0.696062,0.413411,,6.3047,-0.0234847,-0.0510339,999.0,,,,sa3015219,0.07437947482906228,-2041256192162960.0
Maikel Hernandez,TBR,0.0359,0.0619,0.0,6.99345,1.0,0.0,0.0,0.0,1.0,4.953,1.166,0.8213,0.77705,0.170667,0.8723,,0.0516,0.4924,4.4316,7.8507,0.564485,1.536,0.0994145,0.176115,-0.0767009928822517,0.289395,2.0383,0.295699,0.676349,0.408136,,7.17205,-0.0337908,-0.0520911,999.0,,,,sa3018331,0.07434988610728219,-2040444164897500.0
