Name,auction_value
Roberto Campos,-inf
Jesus Castillo,-inf
Jim Jarvis,-inf
Jefferson Rojas,-inf
Cooper Kinney,-inf
Kade Kretzschmar,-inf
Junior Franco,-inf
Matt Hogan,-inf
Chad Stevens,-inf
Jesus Ordonez,-inf
Yordys Valdes,-inf
Ben Ross,-inf
Johnfrank Salazar,-inf
Omar Alfonzo,-inf
Franklin Arias,-inf
Devin Ortiz,-inf
Will Wilson,-inf
Denzer Guzman,-inf
Aidan Miller,-inf
Andy Perez,-inf
Junior Perez,-inf
Joshua Kuroda-Grauer,-inf
Hunter Bishop,-inf
Tyresse Turner,-inf
Everett Cooper III,-inf
Luis Reyes,-inf
Jesus Hernandez,-inf
Luis Caicuto,-inf
Thomas Sosa,-inf
Samuel Munoz,-inf
Yordany De Los Santos,-inf
Jeral Toledo,-inf
John Gil,-inf
Yerlin Confidan,-inf
Carlos Sanchez,-inf
Miguel Ugueto,-inf
Alfredo Duno,-inf
Brayden Jobert,-inf
Ryan Cermak,-inf
Isaac Pena,-inf
Luis Sanchez,-inf
Eddy Rodriguez,-inf
Garrett Martin,-inf
Alexis Hernandez,-inf
Enmanuel Terrero,-inf
Devin Saltiban,-inf
Ian Lewis,-inf
Bryson Worrell,-inf
D'Andre Smith,-inf
Juan Montero,-inf
Juan Chacon,-inf
Lonnie White Jr.,-inf
Hector Osorio,-inf
Dom Johnson,-inf
Nick Vogt,-inf
Graysen Tarlow,-inf
Yohairo Cuevas,-inf
Derlin Figueroa,-inf
Raudelis Martinez,-inf
Antonio Gomez,-inf
Ty Duvall,-inf
Kyle Hess,-inf
Esmerlyn Valdez,-inf
Anthony Scull,-inf
Jordan Thompson,-inf
D.J. Stewart,-inf
Fraymi De Leon,-inf
Carlos Jimenez,-inf
Jake Vogel,-inf
Arol Vera,-inf
Jesus Baez,-inf
Josue Gonzalez,-inf
Samuel Gil,-inf
Jeremy Eierman,-inf
Luis Merejo,-inf
Brett Roberts,-inf
Brock Jones,-inf
Gleider Figuereo,-inf
Felix Reyes,-inf
Ethan Long,-inf
Juan Corniel,-inf
Luke Mann,-inf
Anthony Sherwin,-inf
T.J. White,-inf
Casey Saucke,-inf
Mikey Kane,-inf
Kemp Alderman,-inf
Jordan Sprinkle,-inf
Willy Montero,-inf
Johnny Tincher,-inf
Jonny Farmelo,-inf
Esmith Pineda,-inf
Jhonny Perdomo,-inf
Ryan Nicholson,-inf
Steven Leyton,-inf
Carter Graham,-inf
Narciso Polanco,-inf
Aramis Garcia,-inf
Peter Burns,-inf
Garret Forrester,-inf
Jefferson Valladares,-inf
Kadon Morton,-inf
