Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Mitch Keller","PIT",10.1047,11.5301,15.215,4.24838,30.78,30.78,0,0,182.036,776.602,179.804,92.5715,85.9284,22.7544,56.7463,,10.7474,164.9,8.15279,2.80559,2.90591,1.125,0.212335,0.07307,0.13926491141319275,0.253563,1.29947,0.301176,0.703385,0.429202,,4.09206,2.30753,2.31751,289.9200134277344,,,,"17594"
"Brady Singer","CIN",9.9178,10.4348,14.1173,4.23494,29.16,29.16,0,0,170.362,729.602,173.277,86.7857,80.1637,24.7404,48.4558,,8.8705,160.963,8.50344,2.55985,3.32185,1.307,0.220617,0.066414,0.1542031317949295,0.257747,1.30154,0.305271,0.721271,0.475669,,4.17421,2.28988,2.38031,350.9599914550781,,,,"25377"
"Max Scherzer",,8.4773,8.158,11.6217,3.96897,24.3,24.3,0,0,136.72,569.191,124.624,64.2947,60.2929,20.9181,35.3001,,6.1973,142.94,9.40946,2.32374,4.04927,1.377,0.251128,0.062018,0.18910999596118927,0.236167,1.16972,0.285034,0.732014,0.331,,3.97505,2.24362,2.11784,396.9599914550781,,,,"3137"
"Ryan Pepiot","TBR",9.8156,10.1965,13.928,4.00047,29.16,29.16,0,0,164.574,696.757,145.312,78.4175,73.1526,22.7295,60.6172,,8.5534,175.415,9.59285,3.31495,2.89381,1.243,0.251759,0.0869991,0.16475988179445267,0.231541,1.25129,0.285446,0.732372,0.363237,,4.09108,2.22609,2.07638,157.7100067138672,,,,"26221"
"Nick Lodolo","CIN",8.015,7.4414,10.826,3.90706,22.68,22.68,0,0,126.527,533.868,114.971,59.2943,54.9275,16.9967,40.2883,,11.184,138.655,9.86271,2.86576,3.44157,1.209,0.259718,0.0754649,0.18425285071134567,0.238334,1.22709,0.299851,0.729973,0.44084,,3.94153,2.19965,2.37999,244.75,,,,"26378"
"Reese Olson","DET",9.3146,9.617,13.7207,3.84365,27.54,27.54,0,0,155.993,661.55,149.098,72.6018,66.6205,17.4539,49.6745,,6.0161,143.24,8.26416,2.86596,2.88356,1.007,0.216521,0.0750881,0.1414330005645752,0.246094,1.27424,0.29572,0.723718,0.455412,,3.85557,2.1716,2.12227,269.7900085449219,,,,"24968"
"Germán Márquez","COL",8.0792,11.1764,11.7046,4.74093,27.54,27.54,0,0,160.31,693.683,174.22,90.7424,84.4465,23.3162,52.7171,,5.392,134.45,7.5482,2.9596,2.55041,1.309,0.193821,0.075996,0.11782500147819519,0.274115,1.41561,0.315826,0.700971,0.462324,,4.46732,2.16955,2.02583,735.25,,,,"15038"
"Jeffrey Springs","ATH",9.5065,9.0259,13.2556,3.64289,33.92,25.92,0,0.6357,153.931,640.008,141.028,67.5002,62.306,19.3098,43.3508,,5.0279,147.867,8.64543,2.53462,3.41093,1.129,0.231039,0.0677348,0.16330388188362122,0.238372,1.1978,0.286764,0.742816,0.39783,,3.81892,2.16111,2.45216,235.8300018310547,,,,"17677"
"Erick Fedde","STL",10.3361,11.1273,14.9204,4.2076,30.78,30.78,0,0,179.374,765.901,178.687,90.5707,83.8594,24.5543,56.0578,,5.9518,153.931,7.7234,2.81267,2.74593,1.232,0.20098,0.073192,0.12778805941343307,0.253855,1.30869,0.293358,0.719543,0.425681,,4.26682,2.1609,1.94148,316.0400085449219,,,,"17425"
"Michael Wacha","KCR",9.2671,9.8626,12.898,4.29095,27.54,27.54,0,0,159.265,676.286,159.2,81.4122,75.9333,22.0494,47.2312,,5.6064,138.36,7.81865,2.66901,2.92942,1.246,0.204588,0.0698391,0.1347489058971405,0.255354,1.29615,0.296197,0.712107,0.384692,,4.22405,2.14449,2.09115,261.5400085449219,,,,"14078"
