Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Nick Payero","SEA",0.047,0.0712,0.0571,4.89807,0.2942,0.1502,0,0,1,4.362,1.0691,0.581,0.54423,0.173111,0.3213,,0.0408,0.6831,6.1479,2.8917,2.12605,1.558,0.156602,0.0736589,0.08294360339641571,0.267282,1.3904,0.285012,0.705025,0.379705,,5.13702,-0.0000999029,-0.000679999,999,,,,"sa3022956"
"Trey Gibson","BAL",0.0513,0.0677,0.0589,4.97682,0.2604,0.1574,0,0,1,4.493,1.0739,0.5969,0.55298,0.134778,0.4872,,0.0519,0.6993,6.2937,4.3848,1.43534,1.213,0.155642,0.108435,0.04720676690340042,0.271605,1.5611,0.301018,0.702559,0.484004,,5.13729,-0.0000999029,-0.000679999,999,,,,"sa3023250"
"Charlie Barnes",,0.0488,0.0697,0.0564,5.05152,0.2769,0.1539,0,0,1,4.415,1.1064,0.5989,0.56128,0.160778,0.3506,,0.0496,0.6593,5.9337,3.1554,1.88049,1.447,0.149332,0.0794111,0.06992074102163315,0.27558,1.457,0.295995,0.69656,0.386993,,5.13859,-0.0000999029,-0.000679999,999,,,,"19865"
"Jeff Bain",,0.0476,0.068,0.0458,5.08599,0.3857,0.1307,0,0,1,4.382,1.0764,0.5999,0.56511,0.177333,0.3233,,0.0544,0.7321,6.5889,2.9097,2.26446,1.596,0.16707,0.0737791,0.09329073876142502,0.268811,1.3997,0.290503,0.694613,0.354995,,5.14071,-0.0000999029,-0.000679999,999,,,,"sa829808"
"Troy Watson",,0.0462,0.0698,0.0488,4.96503,0.3709,0.1339,0,0,1,4.456,1.0379,0.5904,0.55167,0.148667,0.4536,,0.0426,0.723,6.507,4.0824,1.59392,1.338,0.162253,0.101795,0.06045781075954437,0.262109,1.4915,0.287952,0.702138,0.396231,,5.14175,-0.0000999029,-0.000679999,999,,,,"sa3007249"
"Joe Whitman","SFG",0.0478,0.0738,0.0648,5.06799,0.1754,0.1754,0,0,1,4.5,1.1006,0.6046,0.56311,0.141444,0.4355,,0.0475,0.6543,5.8887,3.9195,1.50241,1.273,0.1454,0.0967778,0.048622213304042816,0.273986,1.5361,0.297758,0.696148,0.429867,,5.14566,-0.0000999029,-0.000679999,999,,,,"sa3023131"
"Noah Zavolas",,0.0486,0.0717,0.0597,5.13315,0.2183,0.1663,0,0,1,4.397,1.0902,0.6067,0.57035,0.173556,0.3379,,0.0475,0.7154,6.4386,3.0411,2.11719,1.562,0.162702,0.0768479,0.08585398644208908,0.271762,1.4281,0.293547,0.693093,0.374011,,5.1481,-0.0000999029,-0.000679999,999,,,,"sa3006770"
"Dan Straily",,0.0509,0.0703,0.0651,5.00571,0.1853,0.1733,0,0,1,4.391,1.0629,0.5932,0.55619,0.168889,0.3742,,0.039,0.7254,6.5286,3.3678,1.93854,1.52,0.165202,0.0852198,0.07998177409172058,0.267208,1.4371,0.289933,0.702866,0.38137,,5.15084,-0.0000999029,-0.000679999,999,,,,"9460"
"Brayan Mendoza","MIA",0.045,0.0756,0.0621,5.01876,0.2167,0.1667,0,0,1,4.497,1.1038,0.6006,0.55764,0.133778,0.4526,,0.0513,0.6328,5.6952,4.0734,1.39814,1.204,0.140716,0.100645,0.040071144700050354,0.276427,1.5564,0.30064,0.698117,0.455742,,5.15169,-0.0000999029,-0.000679999,999,,,,"sa3015477"
"Colby Morris",,0.047,0.066,0.0395,5.06943,0.4715,0.1125,0,0,1,4.436,1.0578,0.6006,0.56327,0.160778,0.421,,0.0444,0.7505,6.7545,3.789,1.78266,1.447,0.169184,0.0949053,0.07427863031625748,0.266408,1.4788,0.293209,0.70048,0.387994,,5.15179,-0.0000999029,-0.000679999,999,,,,"sa3014805"
"Braden Olthoff",,0.0479,0.0719,0.0581,5.12388,0.2398,0.1618,0,0,1,4.427,1.1409,0.6115,0.56932,0.157556,0.3414,,0.0523,0.6204,5.5836,3.0726,1.81722,1.418,0.14014,0.0771177,0.06302236765623093,0.28287,1.4823,0.302071,0.690168,0.460836,,5.155,-0.0000999029,-0.000679999,999,,,,"sa3017654"
"Mitch Ragan",,0.0464,0.066,0.0367,5.11191,0.4954,0.1074,0,0,1,4.45,1.0493,0.6045,0.56799,0.162222,0.4338,,0.0504,0.7855,7.0695,3.9042,1.81074,1.46,0.176517,0.0974832,0.07903371006250381,0.264587,1.4831,0.293921,0.699528,0.375998,,5.15697,-0.0000999029,-0.000679999,999,,,,"sa3009944"
"Jackson Ferris","LAD",0.0571,0.064,0.0688,4.85919,0.1754,0.1754,0,0,1,4.45,1.0193,0.5797,0.53991,0.153333,0.4812,,0.0522,0.8014,7.2126,4.3308,1.66542,1.38,0.18009,0.108135,0.07195505499839783,0.260251,1.5005,0.292372,0.716111,0.428051,,5.15721,-0.0000999029,-0.000679999,999,,,,"sa3020891"
"Blake Adams","COL",0.0436,0.078,0.0565,5.46714,0.1829,0.1739,0,0,1,4.41,1.1814,0.6468,0.60746,0.178,0.2962,,0.0392,0.6639,5.9751,2.6658,2.24139,1.602,0.150544,0.0671655,0.08337868750095367,0.289943,1.4776,0.310391,0.676327,0.425147,,5.15888,-0.0000999029,-0.000679999,999,,,,"sa3020174"
"Kyle Kubat",,0.0494,0.0676,0.0533,4.91976,0.3321,0.1421,0,0,1,4.432,1.0647,0.5854,0.54664,0.154111,0.4143,,0.0431,0.6915,6.2235,3.7287,1.66908,1.387,0.156024,0.0934792,0.06254512816667557,0.267876,1.479,0.291017,0.707385,0.401002,,5.15912,-0.0000999029,-0.000679999,999,,,,"sa827380"
"Matt Shoemaker",,0.0477,0.0701,0.0525,5.11533,0.3074,0.1474,0,0,1,4.423,1.124,0.6085,0.56837,0.162111,0.3502,,0.0446,0.6492,5.8428,3.1518,1.8538,1.459,0.146778,0.079177,0.06760118156671524,0.279033,1.4742,0.299012,0.69409,0.428996,,5.15992,-0.0000999029,-0.000679999,999,,,,"4776"
"Jack Perkins",,0.0468,0.0669,0.0403,5.10237,0.4525,0.1165,0,0,1,4.435,1.067,0.6041,0.56693,0.162889,0.4059,,0.0476,0.7421,6.6789,3.6531,1.82828,1.466,0.167328,0.091522,0.07580608874559402,0.267989,1.4729,0.293875,0.697912,0.38599,,5.16034,-0.0000999029,-0.000679999,999,,,,"sa3007713"
"Jack Wenninger","NYM",0.0513,0.0685,0.0612,5.00562,0.2282,0.1642,0,0,1,4.462,1.0632,0.5969,0.55618,0.151111,0.4403,,0.047,0.7146,6.4314,3.9627,1.62298,1.36,0.160152,0.0986777,0.06147468090057373,0.267492,1.5035,0.293372,0.701733,0.431031,,5.16362,-0.0000999029,-0.000679999,999,,,,"sa3023282"
"Oscar Rayo","KCR",0.0476,0.0659,0.041,5.04549,0.4558,0.1158,0,0,1,4.466,1.1213,0.602,0.56061,0.139444,0.4041,,0.0501,0.5886,5.2974,3.6369,1.45657,1.255,0.131796,0.0904837,0.04131212830543518,0.2795,1.5254,0.299004,0.694193,0.431662,,5.16466,-0.0000999029,-0.000679999,999,,,,"sa3016749"
"Ryan Carpenter",,0.052,0.0694,0.0671,4.9464,0.1754,0.1754,0,0,1,4.411,1.0843,0.5891,0.5496,0.157333,0.3868,,0.0444,0.6703,6.0327,3.4812,1.73294,1.416,0.151961,0.0876899,0.06427114456892014,0.272451,1.4711,0.294073,0.70513,0.418535,,5.16481,-0.0000999029,-0.000679999,999,,,,"12699"
"Nolan Watson",,0.049,0.0725,0.0641,5.10354,0.1754,0.1754,0,0,1,4.423,1.1057,0.6069,0.56706,0.159556,0.3561,,0.0546,0.6539,5.8851,3.2049,1.83628,1.436,0.147841,0.080511,0.06732987612485886,0.275578,1.4618,0.295777,0.690314,0.421991,,5.165,-0.0000999029,-0.000679999,999,,,,"sa874732"
"Efrain Contreras","SDP",0.0505,0.068,0.0561,4.9914,0.2826,0.1526,0,0,1,4.418,1.0188,0.5913,0.5546,0.163444,0.445,,0.049,0.8031,7.2279,4.005,1.80472,1.471,0.181779,0.100724,0.08105476945638657,0.259633,1.4638,0.28922,0.70649,0.384407,,5.16706,-0.0000999029,-0.000679999,999,,,,"sa3005692"
"Chris Campos","LAD",0.0548,0.0635,0.057,4.97916,0.276,0.154,0,0,1,4.363,1.0455,0.5886,0.55324,0.182333,0.3538,,0.0401,0.7751,6.9759,3.1842,2.19079,1.641,0.177653,0.081091,0.09656200557947159,0.26341,1.3993,0.286608,0.708633,0.370711,,5.16831,-0.0000999029,-0.000679999,999,,,,"sa3020396"
"Dylan File",,0.0489,0.0724,0.0631,5.11578,0.1837,0.1737,0,0,1,4.374,1.1442,0.6074,0.56842,0.172,0.2625,,0.0521,0.588,5.292,2.3625,2.24,1.548,0.134431,0.0600137,0.07441700622439384,0.281864,1.4067,0.29466,0.685565,0.408981,,5.17028,-0.0000999029,-0.000679999,999,,,,"sa3004197"
"Odrisamer Despaigne",,0.0508,0.0704,0.0643,5.06628,0.1812,0.1742,0,0,1,4.395,1.0805,0.6006,0.56292,0.169111,0.3669,,0.0446,0.7142,6.4278,3.3021,1.94658,1.522,0.162503,0.0834812,0.0790216252207756,0.271244,1.4474,0.293979,0.699462,0.397711,,5.17102,-0.0000999029,-0.000679999,999,,,,"16017"
"Moisés Chace","PHI",0.0522,0.0668,0.06,4.89708,0.2579,0.1579,0,0,1,4.463,0.9522,0.5819,0.54412,0.151556,0.5584,,0.0527,0.8985,8.0865,5.0256,1.60906,1.364,0.201322,0.125118,0.07620435953140259,0.247203,1.5106,0.285756,0.715253,0.395597,,5.173,-0.0000999029,-0.000679999,999,,,,"sa3015346"
"Nestor German","BAL",0.0489,0.0641,0.04,5.04549,0.4715,0.1125,0,0,1,4.457,1.076,0.6011,0.56061,0.153222,0.442,,0.0404,0.7144,6.4296,3.978,1.61629,1.379,0.160287,0.0991699,0.061117351055145264,0.270719,1.518,0.297002,0.70342,0.43343,,5.17677,-0.0000999029,-0.000679999,999,,,,"sa3023517"
"Jacob Watters","TBR",0.0469,0.0706,0.0537,4.9797,0.3148,0.1458,0,0,1,4.495,1.0547,0.5968,0.5533,0.131333,0.5107,,0.0512,0.6913,6.2217,4.5963,1.35363,1.182,0.153793,0.113615,0.04017797112464905,0.26816,1.5654,0.296858,0.701105,0.472955,,5.17691,-0.0000999029,-0.000679999,999,,,,"sa3020628"
"T.J. Sikkema","CIN",0.0499,0.0698,0.0595,5.03487,0.2389,0.1619,0,0,1,4.445,1.1003,0.6005,0.55943,0.161444,0.3785,,0.0638,0.7076,6.3684,3.4065,1.86948,1.453,0.15919,0.0851519,0.07403822988271713,0.274889,1.4788,0.299604,0.701082,0.449797,,5.17696,-0.0000999029,-0.000679999,999,,,,"sa3011191"
"Yordanny Monegro","BOS",0.0477,0.0736,0.0595,5.29821,0.1853,0.1733,0,0,1,4.497,1.0741,0.6292,0.58869,0.146667,0.4936,,0.0465,0.7567,6.8103,4.4424,1.53302,1.32,0.168268,0.109762,0.058505669236183167,0.27145,1.5677,0.303725,0.688875,0.430798,,5.18005,-0.0000999029,-0.000679999,999,,,,"sa3015476"
"Justin Lewis","CLE",0.0458,0.072,0.0503,5.20695,0.3131,0.1461,0,0,1,4.455,1.0709,0.6157,0.57855,0.167889,0.4173,,0.0423,0.7733,6.9597,3.7557,1.8531,1.511,0.17358,0.09367,0.07991021126508713,0.268033,1.4882,0.295661,0.696242,0.38119,,5.18124,-0.0000999029,-0.000679999,999,,,,"sa3008577"
"Jordan Geber","NYM",0.0506,0.067,0.0538,5.00715,0.309,0.147,0,0,1,4.403,1.0935,0.5952,0.55635,0.166444,0.3401,,0.0456,0.6521,5.8689,3.0609,1.91738,1.498,0.148104,0.0772428,0.07086078822612762,0.272198,1.4336,0.289818,0.69833,0.406576,,5.18316,-0.0000999029,-0.000679999,999,,,,"sa3019958"
"Owen Wild","TBR",0.0478,0.0733,0.0633,5.07159,0.1911,0.1721,0,0,1,4.408,1.0451,0.5998,0.56351,0.168444,0.4014,,0.0443,0.7548,6.7932,3.6126,1.88042,1.516,0.171234,0.0910617,0.08017242699861526,0.263761,1.4465,0.288463,0.69936,0.371215,,5.18376,-0.0000999029,-0.000679999,999,,,,"sa3023278"
"Nick Neidert",,0.0491,0.0724,0.064,5.11146,0.1754,0.1754,0,0,1,4.398,1.1053,0.6058,0.56794,0.170444,0.3234,,0.0495,0.6584,5.9256,2.9106,2.03587,1.534,0.149704,0.0735334,0.07617098838090897,0.274602,1.4287,0.292485,0.691467,0.391996,,5.18416,-0.0000999029,-0.000679999,999,,,,"18699"
"Pat Gallagher","TOR",0.0483,0.0731,0.0637,5.08914,0.1829,0.1739,0,0,1,4.468,1.1105,0.6083,0.56546,0.146222,0.4062,,0.0484,0.623,5.607,3.6558,1.53373,1.316,0.139436,0.0909132,0.04852283000946045,0.276698,1.5167,0.297233,0.692384,0.455685,,5.18517,-0.0000999029,-0.000679999,999,,,,"sa3020938"
"Jared Karros","LAD",0.0557,0.0655,0.0653,5.04,0.1754,0.1754,0,0,1,4.371,1.0563,0.5956,0.56,0.183333,0.3546,,0.0382,0.7713,6.9417,3.1914,2.17513,1.65,0.176458,0.0811256,0.09533288329839706,0.265522,1.4109,0.288721,0.706356,0.372063,,5.18561,-0.0000999029,-0.000679999,999,,,,"sa3020859"
"Manuel Espinoza",,0.047,0.0679,0.0431,5.12424,0.4113,0.1253,0,0,1,4.419,1.0612,0.605,0.56936,0.171333,0.3908,,0.0445,0.7567,6.8103,3.5172,1.93628,1.542,0.171238,0.0884363,0.08280152827501297,0.266386,1.452,0.291218,0.698768,0.361997,,5.18631,-0.0000999029,-0.000679999,999,,,,"sa3010242"
"Dustin Saenz","WSN",0.0492,0.0723,0.0689,4.85478,0.1754,0.1754,0,0,1,4.398,1.107,0.5811,0.53942,0.149333,0.3517,,0.0453,0.5559,5.0031,3.1653,1.58061,1.344,0.126398,0.0799682,0.04643019288778305,0.276681,1.4587,0.290575,0.702286,0.441005,,5.18701,-0.0000999029,-0.000679999,999,,,,"sa3017610"
"Felipe De La Cruz","NYM",0.0538,0.0673,0.069,4.81833,0.182,0.174,0,0,1,4.473,1.0361,0.5766,0.53537,0.143,0.4811,,0.0475,0.7112,6.4008,4.3299,1.47828,1.287,0.158998,0.107556,0.0514419823884964,0.262676,1.5172,0.28901,0.714199,0.43248,,5.18888,-0.0000999029,-0.000679999,999,,,,"sa3016065"
"Zack Godley",,0.0482,0.071,0.0564,5.1291,0.2579,0.1579,0,0,1,4.447,1.0742,0.6079,0.5699,0.164111,0.4052,,0.0546,0.7447,6.7023,3.6468,1.83786,1.477,0.167461,0.0911176,0.0763436108827591,0.269412,1.4794,0.295638,0.697398,0.397011,,5.18992,-0.0000999029,-0.000679999,999,,,,"14862"
"Grant Rogers","TOR",0.0482,0.0731,0.0633,5.10822,0.1837,0.1737,0,0,1,4.448,1.1148,0.6092,0.56758,0.153778,0.3777,,0.0454,0.6222,5.5998,3.3993,1.64734,1.384,0.139883,0.0849146,0.05496852844953537,0.276976,1.4925,0.295797,0.691585,0.438104,,5.19049,-0.0000999029,-0.000679999,999,,,,"sa3023522"
"Patrick Reilly","BAL",0.052,0.0689,0.064,5.0382,0.1895,0.1725,0,0,1,4.441,1.0131,0.5966,0.5598,0.166889,0.4649,,0.0457,0.8353,7.5177,4.1841,1.79673,1.502,0.188088,0.104684,0.08340463787317276,0.25776,1.478,0.288986,0.708318,0.377381,,5.19724,-0.0000999029,-0.000679999,999,,,,"sa3023038"
"Jake Bennett","WSN",0.0486,0.0729,0.0678,4.91157,0.1754,0.1754,0,0,1,4.454,1.0715,0.5875,0.54573,0.141667,0.4502,,0.0463,0.6492,5.8428,4.0518,1.44203,1.275,0.145757,0.101078,0.0446789488196373,0.270752,1.5217,0.293635,0.705927,0.442999,,5.19925,-0.0000999029,-0.000679999,999,,,,"sa3020737"
"Rhett Kouba","HOU",0.0503,0.0708,0.0623,5.12811,0.1895,0.1725,0,0,1,4.419,1.076,0.6092,0.56979,0.163111,0.3909,,0.0505,0.7049,6.3441,3.5181,1.80327,1.468,0.159516,0.0884589,0.0710568055510521,0.270515,1.4669,0.293572,0.692506,0.415953,,5.20132,-0.0000999029,-0.000679999,999,,,,"sa3017544"
"Emilio Vargas",,0.0438,0.0763,0.0594,5.07852,0.2323,0.1633,0,0,1,4.426,1.0751,0.6028,0.56428,0.166556,0.3966,,0.0485,0.7326,6.5934,3.5694,1.8472,1.499,0.165522,0.0896069,0.07591503858566284,0.270065,1.4717,0.294815,0.701562,0.410204,,5.2018,-0.0000999029,-0.000679999,999,,,,"sa736761"
"Hayden Mullins","BOS",0.0486,0.0717,0.0587,5.17563,0.2216,0.1656,0,0,1,4.521,1.051,0.6154,0.57507,0.142,0.5311,,0.0555,0.783,7.047,4.7799,1.4743,1.278,0.173192,0.117474,0.05571776628494263,0.267131,1.5821,0.302054,0.698836,0.425189,,5.20628,-0.0000999029,-0.000679999,999,,,,"sa3023218"
"Ethan Lindow",,0.0494,0.0705,0.0607,5.02308,0.229,0.164,0,0,1,4.404,1.1009,0.5957,0.55812,0.167,0.3403,,0.0448,0.6431,5.7879,3.0627,1.8898,1.503,0.146026,0.0772707,0.06875569373369217,0.273931,1.4412,0.291043,0.700265,0.382997,,5.20658,-0.0000999029,-0.000679999,999,,,,"sa3005028"
"Luis De León","BAL",0.0521,0.0671,0.0616,4.88133,0.2496,0.1596,0,0,1,4.56,1.0744,0.589,0.54237,0.115333,0.5749,,0.0486,0.6646,5.9814,5.1741,1.15603,1.038,0.145746,0.126075,0.019671067595481873,0.272933,1.6493,0.303832,0.712647,0.513001,,5.20711,-0.0000999029,-0.000679999,999,,,,"sa3019283"
"Jon Duplantier",,0.0494,0.0722,0.0643,5.0922,0.1754,0.1754,0,0,1,4.47,1.0153,0.6033,0.5658,0.158,0.5001,,0.0488,0.8296,7.4664,4.5009,1.65887,1.422,0.185593,0.111879,0.07371363788843155,0.258932,1.5154,0.292245,0.70476,0.385998,,5.20798,-0.0000999029,-0.000679999,999,,,,"19546"
"Mitch Myers","ATH",0.0467,0.0724,0.0575,5.01291,0.2661,0.1561,0,0,1,4.39,1.1239,0.5975,0.55699,0.154111,0.3204,,0.048,0.5326,4.7934,2.8836,1.6623,1.387,0.121321,0.0729841,0.04833713173866272,0.279466,1.4443,0.290801,0.689271,0.422956,,5.20992,-0.0000999029,-0.000679999,999,,,,"sa3018179"
"Paul Bonzagni","TEX",0.0491,0.0707,0.0588,5.11686,0.2332,0.1632,0,0,1,4.497,1.1055,0.612,0.56854,0.143444,0.4473,,0.0502,0.6564,5.9076,4.0257,1.46747,1.291,0.145964,0.0994663,0.04649768024682999,0.27641,1.5528,0.300675,0.695869,0.469402,,5.21096,-0.0000999029,-0.000679999,999,,,,"sa3022587"
"Roman Angelo","ARI",0.05,0.0713,0.0598,5.29542,0.182,0.174,0,0,1,4.504,1.091,0.6289,0.58838,0.145778,0.4676,,0.0519,0.7038,6.3342,4.2084,1.50513,1.312,0.156261,0.103819,0.0524422824382782,0.273811,1.5586,0.301514,0.686373,0.420423,,5.21249,-0.0000999029,-0.000679999,999,,,,"sa3022737"
"Gabe Morales","SDP",0.0523,0.069,0.068,4.9041,0.1754,0.1754,0,0,1,4.486,1.0072,0.5852,0.5449,0.143222,0.5529,,0.042,0.8001,7.2009,4.9761,1.4471,1.289,0.178355,0.12325,0.055104777216911316,0.258847,1.5601,0.293095,0.717055,0.425476,,5.21287,-0.0000999029,-0.000679999,999,,,,"sa3002781"
"Michael Kennedy","CLE",0.0472,0.0741,0.0627,5.13378,0.1853,0.1733,0,0,1,4.506,1.0931,0.6115,0.57042,0.147111,0.4531,,0.0536,0.6927,6.2343,4.0779,1.5288,1.324,0.153728,0.100555,0.053173549473285675,0.273323,1.5462,0.299412,0.69741,0.427013,,5.21362,-0.0000999029,-0.000679999,999,,,,"sa3021728"
"Brett Wichrowski","MIL",0.0486,0.0729,0.0634,5.13927,0.1754,0.1754,0,0,1,4.448,1.0715,0.61,0.57103,0.164333,0.41,,0.0552,0.742,6.678,3.69,1.80976,1.479,0.166817,0.0921763,0.07464028894901276,0.269032,1.4815,0.294873,0.696401,0.411148,,5.21441,-0.0000999029,-0.000679999,999,,,,"sa3023366"
"Owen Murphy","ATL",0.0533,0.068,0.0624,5.18994,0.1754,0.1754,0,0,1,4.45,1.0444,0.6128,0.57666,0.169889,0.4434,,0.0422,0.8071,7.2639,3.9906,1.82025,1.529,0.181371,0.0996405,0.08173034340143204,0.263445,1.4878,0.292732,0.700025,0.363452,,5.21764,-0.0000999029,-0.000679999,999,,,,"sa3020330"
"Miguel Ullola","HOU",0.0514,0.0692,0.0632,5.01057,0.2026,0.1696,0,0,1,4.49,0.9493,0.5944,0.55673,0.152,0.5808,,0.0566,0.9159,8.2431,5.2272,1.57696,1.368,0.203987,0.129354,0.07463252544403076,0.246405,1.5301,0.286315,0.710317,0.386204,,5.22288,-0.0000999029,-0.000679999,999,,,,"sa3016504"
"Yon Castro",,0.0464,0.0665,0.0379,5.10786,0.4772,0.1112,0,0,1,4.435,1.0566,0.6042,0.56754,0.166111,0.4133,,0.0476,0.7426,6.6834,3.7197,1.79676,1.495,0.167441,0.0931905,0.07425028085708618,0.265872,1.4699,0.290498,0.699643,0.376013,,5.22342,-0.0000999029,-0.000679999,999,,,,"sa3005848"
"Cole Percival",,0.0483,0.0715,0.0586,5.08671,0.2389,0.1619,0,0,1,4.484,1.0819,0.6076,0.56519,0.143444,0.4575,,0.0529,0.668,6.012,4.1175,1.46011,1.291,0.148974,0.102029,0.04694468528032303,0.272272,1.5394,0.296777,0.696112,0.453996,,5.22646,-0.0000999029,-0.000679999,999,,,,"sa3014919"
"Rodney Theophile",,0.0489,0.0726,0.0642,5.10021,0.1754,0.1754,0,0,1,4.49,1.0564,0.6079,0.56669,0.146222,0.4813,,0.0567,0.7269,6.5421,4.3317,1.51028,1.316,0.161893,0.107194,0.054699331521987915,0.267308,1.5377,0.29562,0.69753,0.436015,,5.22757,-0.0000999029,-0.000679999,999,,,,"sa3008228"
"Logan Clayton","ARI",0.0481,0.072,0.0537,5.42097,0.2274,0.1644,0,0,1,4.496,1.1666,0.6443,0.60233,0.148111,0.3952,,0.0452,0.5925,5.3325,3.5568,1.49924,1.333,0.131784,0.0879004,0.04388345032930374,0.287652,1.5618,0.307238,0.6774,0.440501,,5.22812,-0.0000999029,-0.000679999,999,,,,"sa3020890"
"Colton Eastman",,0.047,0.07,0.0493,5.1417,0.3354,0.1414,0,0,1,4.476,1.0831,0.612,0.5713,0.151,0.4459,,0.048,0.6905,6.2145,4.0131,1.54855,1.359,0.154267,0.0996202,0.05464700609445572,0.271992,1.529,0.29679,0.695962,0.430012,,5.23018,-0.0000999029,-0.000679999,999,,,,"sa3008312"
"Shane Murphy","CHW",0.0453,0.0746,0.0609,4.94604,0.2414,0.1614,0,0,1,4.369,1.0888,0.5862,0.54956,0.177778,0.3264,,0.0359,0.6668,6.0012,2.9376,2.04289,1.6,0.152621,0.0747082,0.0779125764966011,0.271745,1.4152,0.288105,0.710788,0.378058,,5.23089,-0.0000999029,-0.000679999,999,,,,"sa3020389"
"Wilkel Hernandez","DET",0.0473,0.0742,0.0651,5.02524,0.1812,0.1742,0,0,1,4.426,1.0663,0.597,0.55836,0.159111,0.3846,,0.0495,0.653,5.877,3.4614,1.69787,1.432,0.147537,0.0868956,0.060641661286354065,0.267116,1.4509,0.285298,0.695277,0.390829,,5.23122,-0.0000999029,-0.000679999,999,,,,"sa918026"
"Trystan Vrieling","NYY",0.052,0.069,0.0651,4.98969,0.1886,0.1726,0,0,1,4.381,1.0741,0.5921,0.55441,0.180556,0.3352,,0.0388,0.7021,6.3189,3.0168,2.09457,1.625,0.16026,0.0765122,0.08374800533056259,0.268056,1.4093,0.285994,0.706601,0.394466,,5.2315,-0.0000999029,-0.000679999,999,,,,"sa3020681"
"Hyun-il Choi","WSN",0.0475,0.0734,0.0633,5.02947,0.1994,0.1704,0,0,1,4.383,1.078,0.5967,0.55883,0.168222,0.3358,,0.0604,0.6546,5.8914,3.0222,1.94937,1.514,0.14935,0.0766142,0.07273557037115097,0.270392,1.4138,0.287542,0.693463,0.396608,,5.23277,-0.0000999029,-0.000679999,999,,,,"sa3009992"
"Madison Bumgarner",,0.0486,0.073,0.0625,5.18832,0.1754,0.1754,0,0,1,4.415,1.094,0.6116,0.57648,0.180556,0.3316,,0.0519,0.7154,6.4386,2.9844,2.15742,1.625,0.162039,0.0751076,0.08693091571331024,0.271363,1.4256,0.291319,0.694052,0.347994,,5.2334,-0.0000999029,-0.000679999,999,,,,"5524"
"Cesar Perdomo","SFG",0.0454,0.0692,0.0431,5.12325,0.4195,0.1235,0,0,1,4.523,1.1007,0.6105,0.56925,0.141889,0.4592,,0.0467,0.6471,5.8239,4.1328,1.40919,1.277,0.143069,0.101526,0.04154322296380997,0.274004,1.5599,0.297019,0.697444,0.423836,,5.23454,-0.0000999029,-0.000679999,999,,,,"sa3019248"
"Ian Mejia","ATL",0.0525,0.0686,0.0609,5.23809,0.182,0.174,0,0,1,4.448,1.0964,0.6204,0.58201,0.166667,0.3937,,0.0471,0.7098,6.3882,3.5433,1.8029,1.5,0.159577,0.0885117,0.07106564939022064,0.273608,1.4901,0.29697,0.692014,0.398003,,5.23595,-0.0000999029,-0.000679999,999,,,,"sa3019911"
"Carson Pierce","TOR",0.0461,0.0686,0.0437,5.13351,0.4137,0.1247,0,0,1,4.516,1.0827,0.6129,0.57039,0.141556,0.4879,,0.045,0.6846,6.1614,4.3911,1.40316,1.274,0.151594,0.108038,0.043556250631809235,0.271823,1.5706,0.298119,0.697817,0.449126,,5.2362,-0.0000999029,-0.000679999,999,,,,"sa3023179"
"Travis Sykora","WSN",0.0471,0.0745,0.0647,5.07501,0.1754,0.1754,0,0,1,4.47,1.0343,0.6037,0.56389,0.15,0.5009,,0.0429,0.7556,6.8004,4.5081,1.50848,1.35,0.169038,0.112058,0.056979864835739136,0.263435,1.5352,0.292756,0.702913,0.416991,,5.23668,-0.0000999029,-0.000679999,999,,,,"sa3023557"
"David Davalillo","TEX",0.0494,0.0719,0.0627,5.1453,0.1829,0.1739,0,0,1,4.468,1.1063,0.6134,0.5717,0.155111,0.4161,,0.0417,0.6596,5.9364,3.7449,1.5852,1.396,0.147628,0.0931289,0.05449865758419037,0.275872,1.5224,0.297666,0.696421,0.444064,,5.23712,-0.0000999029,-0.000679999,999,,,,"sa3020448"
"Aaron Sanchez",,0.0465,0.0689,0.0448,5.1336,0.3906,0.1296,0,0,1,4.474,1.1149,0.6128,0.5704,0.144556,0.4046,,0.0686,0.6127,5.5143,3.6414,1.51434,1.301,0.136947,0.0904336,0.046513184905052185,0.278669,1.5195,0.299162,0.688395,0.456995,,5.2399,-0.0000999029,-0.000679999,999,,,,"11490"
"Carlos Luna",,0.0486,0.0709,0.0575,5.11173,0.2464,0.1604,0,0,1,4.369,1.0805,0.6027,0.56797,0.184444,0.3083,,0.0487,0.6976,6.2784,2.7747,2.26273,1.66,0.15967,0.0705653,0.08910506963729858,0.269317,1.3888,0.286284,0.695308,0.349003,,5.24006,-0.0000999029,-0.000679999,999,,,,"sa828727"
"Kevin Miranda","TOR",0.0461,0.0681,0.0415,5.13369,0.4344,0.1204,0,0,1,4.411,1.1251,0.6094,0.57041,0.168778,0.3196,,0.0435,0.6036,5.4324,2.8764,1.88861,1.519,0.13684,0.0724552,0.06438450515270233,0.277947,1.4447,0.29196,0.691238,0.402607,,5.24269,-0.0000999029,-0.000679999,999,,,,"sa3020757"
