Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId,weighted_zscore,auction_value
Anyelo Gonzalez,SFG,0.25,1.0,0.9313,0.1412,0.1128,0.0177,0.0017,0.009,0.0649,0.0604,0.0488,0.003,0.2755,0.01,0.007,0.0029,,0.0083,0.0023,0.151616,0.0488,0.2755,0.177132,0.200582,0.203264,0.182652,0.403846,0.0516482,3.70647,0.202203,0.0,-0.000602177,0.0143364,-0.102642,14.5707,-0.000602177,0.0,-0.1027591366437263,0.0209999997168779,-0.00500465,999.0,,,,sa3021256,-0.49054011783822643,-inf
Heribert Silva,CLE,0.25,1.0,0.9338,0.1435,0.1114,0.0168,0.0013,0.014,0.0685,0.0673,0.0453,0.003,0.3204,0.011,0.007,0.0029,,0.0122,0.0034,0.153673,0.0453,0.3204,0.141386,0.200381,0.219426,0.188242,0.419807,0.0657528,3.85455,0.213555,0.0,-0.000236904,0.0188355,-0.0981426,17.447,-0.000236904,0.0,-0.0946948057971894,-0.0120000001043081,-0.00757638,999.0,,,,sa3021189,-0.4909825734720876,-inf
Givian Sirvania,BOS,0.25,1.0,0.9261,0.1358,0.1116,0.0175,0.0017,0.0051,0.0638,0.0549,0.051,0.0,0.3043,0.013,0.007,0.0029,,0.0159,0.0045,0.146636,0.051,0.3043,0.167598,0.200381,0.185833,0.178533,0.386214,0.0391966,4.41798,0.209556,0.0,-2.84379e-05,0.0110218,-0.105956,3.57922,-2.84379e-05,0.0,-0.1103540276417334,0.0040000001899898,-0.00754119,999.0,,,,sa3023765,-0.49129209024971293,-inf
Raynerd Ortega,LAD,0.25,1.0,0.9248,0.1345,0.1079,0.017,0.0012,0.0084,0.0678,0.0603,0.0533,0.0,0.3128,0.012,0.007,0.0029,,0.0098,0.0028,0.145437,0.0533,0.3128,0.170396,0.200381,0.193664,0.181486,0.394045,0.0482267,3.74234,0.206518,0.0,-0.000540985,0.0133982,-0.10358,13.5175,-0.000540985,0.0,-0.1039573761518113,0.0040000001899898,-0.00688412,999.0,,,,sa3018542,-0.49130653011235426,-inf
Wilian Trinidad,TBR,0.25,1.0,0.9233,0.1338,0.1103,0.0178,0.0017,0.004,0.0613,0.0517,0.0578,0.0,0.3423,0.009,0.007,0.0029,,0.0145,0.0042,0.144915,0.0578,0.3423,0.168858,0.201183,0.180873,0.177311,0.382056,0.035958,4.18592,0.22226,0.0,-0.000198775,0.0100377,-0.10694,12.5649,-0.000198775,0.0,-0.1002428986976156,0.0120000001043081,-0.00567071,999.0,,,,sa3021139,-0.4881373894568881,-inf
Jhonson Pena,PIT,0.25,1.0,0.9277,0.1373,0.1089,0.0168,0.0017,0.0099,0.0661,0.061,0.0514,0.0,0.3168,0.011,0.007,0.0029,,0.0165,0.0046,0.148,0.0514,0.3168,0.162247,0.200281,0.201789,0.183964,0.40207,0.0537889,4.41599,0.209539,0.0,8.49985e-05,0.0153925,-0.101586,10.9001,8.49985e-05,0.0,-0.1064613065755111,0.0040000001899898,-0.00714272,999.0,,,,sa3015666,-0.4914553424126665,-inf
Andy Encarnacion,ARI,0.25,1.0,0.9352,0.1448,0.1138,0.0195,0.0019,0.0096,0.0683,0.0642,0.0459,0.0,0.3267,0.009,0.007,0.0029,,0.0122,0.0035,0.154833,0.0459,0.3267,0.140496,0.200281,0.210543,0.18615,0.410824,0.05571,4.16312,0.223139,0.0,-0.000308974,0.0171521,-0.099826,13.3236,-0.000308974,0.0,-0.1039572417794261,-0.0120000001043081,-0.00853655,999.0,,,,sa3018498,-0.49156295205440326,-inf
Jesus Pinto,DET,0.25,1.0,0.9257,0.1352,0.1032,0.0176,0.0013,0.013,0.0671,0.0635,0.0534,0.0,0.3491,0.011,0.007,0.0029,,0.0135,0.0038,0.146052,0.0534,0.3491,0.152965,0.200181,0.209895,0.187047,0.410076,0.0638436,4.18092,0.214161,0.0,-0.000161794,0.0178738,-0.0991043,16.5539,-0.000161794,0.0,-0.0956415806722361,0.0040000001899898,-0.00602172,999.0,,,,sa3023973,-0.49183363791958074,-inf
Joel Mendez,PIT,0.25,1.0,0.9257,0.135,0.1,0.0186,0.0018,0.0145,0.0685,0.0666,0.0544,0.0,0.3788,0.01,0.007,0.0029,,0.0092,0.0026,0.145836,0.0544,0.3788,0.143611,0.19998,0.216701,0.189325,0.416681,0.0708653,3.81757,0.223396,0.0,-0.000510531,0.0197071,-0.0972709,14.5083,-0.000510531,0.0,-0.1027422047336585,-0.0120000001043081,-0.00841106,999.0,,,,sa3015682,-0.4927134781558117,-inf
Angel Mata,PHI,0.25,1.0,0.9309,0.1402,0.1113,0.0179,0.0015,0.0095,0.0674,0.0621,0.0492,0.003,0.2768,0.01,0.007,0.0029,,0.0104,0.0029,0.150607,0.0492,0.2768,0.177746,0.19998,0.203674,0.182562,0.403654,0.0530669,3.99873,0.200583,0.0,-0.000416499,0.0142642,-0.102714,11.9538,-0.000416499,0.0,-0.1057028143550269,0.0209999997168779,-0.00530866,999.0,,,,sa3018464,-0.49288333687505764,-inf
